Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Roman_Bürki   27 sui 23  1  1  1 30 419 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mile_Svilar   19 bel 19  1  1  1 30 750 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Weidenfeller  37 ger 19  1  1  1 30 244 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Bonmann     24 ger 17  1  1  1 30 760 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sokratis      29 gre  1 22  2  2 30 100 148  45 187   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Piszczek    32 pol  1 21 11  6 30 100 932 635 293   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sven_Bender   28 ger  1 21  2  2 30 100 401  86 203   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Guerreiro   24 por  1 21 11  6 30 100 357 304  95   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marc_Bartra   27 esp  1 21  2  2 30 100 221 104 289   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Schmelzer   30 ger  1 21 12  8 30 100 155 459 428   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Ginter      24 ger  1 20  2  2 30 100 914  56 260   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Erik_Durm     25 ger  1 20 12  6 30 100 395 271 291   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Riedewald   21 ned  1 20  2  2 30 100 148  49 181   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joo-Ho_Park   31 kor  1 19  8  5 30 100 378  95 181   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Julian_Weigl  22 ger  1 18 22  3 30 100 562 151 315   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dzenis_Burnic 19 ger  1 15 17  3 30 100 181 360 181   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Castro      30 ger  1 13 21  8 30 100 519 286 312   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Bertolacci  27 ita  1 13 20  7 30 100 338 340 238   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mikel_Merino  21 esp  1 12 20  8 30 100 356 182 295   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nuri_Sahin    29 tur  1 13 20  7 30 100 307   9 152   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Coutinho    25 bra  1  1 22 21 30 100 856 638  23   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
X_Shaqiri     26 sui  1  2 22 20 30 100 186   4 178   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mario_Götze   25 ger  1  2 21 18 30 100 191 738 914   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Davy_Klaassen 25 ned  1  1 20 19 30 100 818 424 229   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Schöpf      24 aut  1  1 19 17 30 100 571 711 796   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
O_Dembélé     20 fra  1  2 19 22 30 100 177 598 785   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Romelu_Lukaku 24 bel  1  1  1 22 30 100 347 330 582   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Pulisic     19 usa  1  2 17 20 30 100 162 117 780   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Emre_Mor      20 tur  1  2 17 19 30 100 163 108 273   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Vaclav_Cerny  20 cze  1  2 16 19 30 100 187 159 133   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
