Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Bernd_Leno    26 ger 23  1  1  1 30 691 100 100 100  13   0 1127   0  61  18   0   0   0   0   0   7   0   0 100
Ramazan_Özcan 33 aut 20  1  1  1 30 888 100 100 100   3   1  274   0   7   3   0   0   0   0   0   0   0   0 100
Niklas_Lomb   24 ger 18  1  1  1 30 291 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ömer_Toprak   28 tur  1 22  2  2 30 100 420 177 290  15   0  871   0   0   0  12   1   0   0   0   0   2   0 100
Jonathan_Tah  22 ger  1 22  2  2 30 125 327 246 246  12   0 1133   0   0   0  18   4   0   0   1   7   0   0  76
A_Dragovic    27 aut  1 21  2  2 30  89 638 124 255  12   0 1139   0   0   0  19   1   3   0   0   0   0   0  76
Wendell       24 bra  1 21 12  6 30  84 103 649 390  14   9  845   0   0   1  10   0   5   1   0   1   0   0  98
Tin_Jedvaj    22 cro  1 20  2  2 30 100 703 185 257   6   3  400   0   0   0   3   1   3   0   0   0   0   0 100
B_Henrichs    21 ger  1 20 12  6 30 100 380 439 363   3   1  230   0   0   0   3   0   0   0   0   0   0   0 100
R_Hilbert     33 ger  1 19 12  6 30 100 603 434 290   3   2   70   0   0   0   0   0   0   0   0   5   0   0 100
D_da_Costa    24 ger  1 19 11  6 30 100 212 164 272   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Reece_Oxford  20 eng  1 18  1  1 30 100 950 200 200   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Abu_Hanna   20 ger  1 17  2  2 30 100 691 161 281   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lars_Bender   28 ger  1 20 22  2 30 100 169 586 233  13   0 1184   0   0   0  10  31   1   0   1   3   0   0  70
Baumgartinger 30 aut  1 18 21  2 30 100 884 325 333  13   4  963   1   0   0   9  22   2   0   2   0   0   0  94
Kevin_Kampl   27 svn  1  8 22 13 30 100 631 201 756  14   0  949   0   0   0   1  21  15   1   1   2   0   0  94
M_Fellaini    30 bel  1  8 20 12 30 100 433 946 553  14   4 1061   1   0   0   0  27   9   2   1   2   0   0  88
C_Aránguiz    28 chi  1 12 20  8 30 100 361 498 372   7   3  468   0   0   0   2  11   2   0   0   0   0   0 100
V_Yurchenko   24 ukr  1  9 18 10 30 100 296 516 274   2   2   53   0   0   0   0   0   0   0   0   0   0   0 100
K_Bellarabi   27 ger  1  2 22 20 30 100 367 295 566  11   1  999   1   0   0   2  12  23   5   2   2   0   0 100
Julian_Brandt 21 ger  1  2 21 18 30 100 273 554 880   9   0  857   3   0   0   1  17  24   5   3   0   0   0  88
D_Cheryshev   27 rus  1  2 20 18 30 100 295 306 498   2   0  191   0   0   0   0   2   1   1   0   0   0   0 100
Kevin_Volland 25 ger  1  2 19 22 30 100 252 919 978  13   0 1122   1   0   0   1   5  39   6   1   0   0   0  82
H_Calhanoglu  24 tur  1  2 19 22 30 100 330 638 539  15   3  964   0   0   0   1   2  28   3   0   3   0   0  94
M_Batshuayi   24 bel  1  2  2 21 30 100 226  86 398  13   9  523   0   0   0   1   0  18   6   0   0   0   0 100
Admir_Mehmedi 27 sui  1  2 18 20 30 100 289 521 878   2   2   63   0   0   0   0   0   1   0   0   0   0   0 100
S_Kiebling    34 ger  1  2  2 19 30 100 230 110 951   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Pohjanpalo  23 fin  1  2  2 19 30 100 270 150 283   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
