Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Loris_Karius  24 ger 23  1  1  1 30 640 100 100 100  39   0 3520   1 163  55   0   0   0   0   0   1   0   0 100
Sven_Ulreich  29 ger 20  1  1  1 30 220 100 100 100   7   4  488   0  17   8   0   0   0   0   0   0   0   0 100
J_Bustillos   21 arg 17  1  1  1 30 440 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Philipp_Lahm  34 ger  1 23 20  7 30  98 778 785 711  47   1 3147   1   0   0  41  57  28   2   6  12   0   0  94
David_Alaba   25 aut  1 23 20  7 30 100 414 694 841  35   6 2629   0   0   0  25  49  18   3   4   8   0   0  94
S_Mustafi     25 ger  1 22  2  2 30 100 777 516 634  29   5 2387   1   0   0  33   3   9   2   0   6   2   0 100
A_Laporte     23 fra  1 22  2  2 30  84 752 511 590  40  12 3084   0   0   1  34   5   7   3   0   1   0   0  90
Marquinhos    23 bra  1 22  2  2 30 100 641 463 450  32   7 2607   0   0   0  28   2   3   0   0   6   0   0 100
P_Mertesacker 33 ger  1 21  2  2 30 100 608 485 430  26   5 2115   0   0   0  26   4   4   0   0   7   0   0  94
Elseid_Hysaj  24 alb  1 21 11  6 30 100 559  53 739  29   5 2399   1   0   0  24  20  13   2   3   2   0   0 100
K_Trippier    27 eng  1 20 12  7 30 100 586 673 592  13   8  848   2   0   0  11   8   7   1   4   2   0   0 100
Granit_Xhaka  25 sui  1 19 23  3 30 100 166 315 490  27   0 2554   1   0   0  18  56   4   1  12  10   0   0  94
L_Fejsa       29 srb  1 20 22  2 30 100 147 523 470  22   0 2079   2   0   0  15  56   5   0   7   1   0   0 100
Paul_Pogba    25 fra  1 11 25 12 30 100 963  78 451  44   0 3107   5   0   0   4  95  38  10  17  14   0   0 100
M_Pjanic      27 bih  1 13 23  9 30 100 865 658 688  41  12 2951   1   0   0  10  80  31   3   9   6   0   0  94
Adrien_Rabiot 22 fra  1 13 22  8 30 100 947 629 850  35  10 2607   1   0   0  17  40  13   1   3   4   0   0 100
Sergi_Darder  24 esp  1 11 21  9 30 100 554 309 443  23  17 1088   0   0   0   5  15  11   2   0   2   0   0 100
Dani_Parejo   28 esp  1  1 21 19 30 100 965 686   1  22   0 2110   2   0   0   2  34  46   6   4   1   0   0 100
Leroy_Sané    22 ger  1  2 21 20 30 100 376 579 516  25   0 2401   2   0   0   1  18  82  13   2   4   0   0  94
Sergio_Agüero 29 arg  1  2  2 25 30 100 398 442 753  42   3 3048   7   0   0   1   1 133  31   0   9   0   0 100
José_Callejón 31 esp  1  2 20 23 30 100 584  21 630  35   9 2732   4   0   0   1  10  87  25   2   6   0   0  94
Vitolo        28 esp  1  2 19 22 30 100 264 559 255  34  18 1910   3   0   0   1   4  58  12   0   0   0   0 100
M_Oyarzabal   20 esp  1  2 18 21 30 100 393 756 538  28  14 1755   1   0   0   1   5  55   7   1   5   0   0 100
