Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Sara        31 arg 20  1  1  1 30  43 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Agustín_Rossi 23 arg 19  1  1  1 30 773 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Manuel_Roffo  18 arg 17  1  1  1 30 674 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Paolo_Goltz   33 arg  1 20  1  1 30 100 709 475 486   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Roncaglia   30 arg  1 20  2  2 30 100 628 939 960   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Frank_Fabra   27 col  1 20 12  5 30 100 466 933 982   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Magallán    25 arg  1 20  1  1 30 111 350 443 499   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Leonardo_Jara 27 arg  1 20 16  7 30 100  33 726 609   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Emmanuel_Más  29 arg  1 19 11  7 30 100 904 566 525   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Vergini     30 arg  1 19  1  1 30 100 901 475 478   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Buffarini   30 arg  1 19 11  6 30 100 265 506 461   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Heredia     21 arg  1 17  1  1 30 100 730 448 448   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
W_Barrios     25 col  1 17 21  3 30 100 749 320 492   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sebastian_Prz 25 col  1 17 19  2 30 100 602 910 442   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Julián_Chicco 20 arg  1 14 18  3 30 100 658 304 452   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pablo_Pérez   33 arg  1 14 21 12 30 100 611 508 685   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Fernando_Gago 32 arg  1 14 21  7 30 100 585 476 608   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Betancur    20 uru  1 10 20  9 30 100 572 284 771   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Edwin_Cardona 26 col  1  1 21 18 30 100 504  10 879   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Reynoso     23 arg  1  1 20 17 30 100 480 123 569   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Maroni      19 arg  1  1 18 16 30 100 456 667 691   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Pavón       22 arg  1  1 17 21 30 100 406 641 989   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Benedetto   28 arg  1  1  1 21 30 100 475 475 221   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Carlos_Tévez  34 arg  1  2 12 20 30 100 471 539 510   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ramón_Ábila   29 arg  1  1  1 20 30 100 469 462 283   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Walter_Bou    25 arg  1  1  1 19 30 100 463 463 657   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Guido_Vadalá  21 arg  1  1 10 18 30 100 460 460 161   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
