Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Alban_Lafont  19 fra 22  1  1  1 30 539 100 100 100  44   0 4119   0 266  98   0   0   0   0   0   3   0   0 100
André_Onana   21 cmr 19  1  1  1 30 350 100 100 100   2   1  149   0   8   4   0   0   0   0   0   0   0   0 100
N_Alblas      23 ned 17  1  1  1 30 391 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Benkovic    20 cro  1 20  2  2 30 100 774 275 242  26   3 2188   0   0   0  40   2   4   0   0   9   0   0 100
Jorge_Meré    20 esp  1 20  1  1 30 100 734 464 450  23   0 2106   0   0   0  32   3   3   0   0   7   0   0 100
T_A-Arnold    20 eng  1 20 12  7 30 100 572 247 161  26   1 2352   1   0   0  41  27  18   2   1   6   0   0 100
T_Hernández   20 fra  1 20 10  5 30 100 516 303 844  23   0 2145   0   0   0  32  14   8   0   0   2   1   0 100
Malang_Sarr   19 fra  1 20  1  1 30 100 350 531 540  23   1 2110   0   0   0  37   1   3   0   0   2   0   0 100
A_Rahman_Baba 23 gha  1 19 11  5 30 100 828 815 643  12   9  732   0   0   0  13   3   3   2   1   1   0   0 100
O_Boscagli    20 fra  1 19  9  4 30 100 617 910 593   8   1  691   0   0   0  12   7   3   1   1   1   0   0 100
M_de_Ligt     18 ned  1 19  1  1 30 100 420 581 535  22   0 2090   0   0   0  36   3   3   0   0   3   0   0 100
Alec_Georgen  19 fra  1 19  9  5 30 100 101 619 324  22   0 2059   2   0   0  37  18   4   0   0   4   0   0 100
F_Passlack    19 ger  1 19  9  4 30 100   3 882 547  12   0  913   0   0   0  16   8   1   0   0   0   0   0 100
A_Diawara     20 gui  1 18 20  1 30 100 397 583 802  22   0 2043   0   0   0  20  40   2   0   5   8   0   0 100
T_Fosu-Mensah 20 ned  1 16 19  2 30 100 180 958 530  23   0 2186   1   0   0  19  65   1   0   5   4   0   0 100
André_Horta   21 por  1  8 20 12 30 100 147 797 668  24   0 2171   0   0   0   7  25  20   3   1  11   0   0 100
L_Pellegrini  21 ita  1 11 20  9 30 100 384 565 441  18   0 1618   0   0   0   3  29  12   2   1   7   0   0 100
Renato_S      20 por  1  7 20 12 30 100 827 355  20  21   0 1988   0   0   0   4  38  31   3   1   4   0   0 100
C_Nkunku      20 fra  1  8 20 11 30 100 324   9 628  21   0 1988   1   0   0   7  42  31   2   4   0   0   0 100
F_de_Jong     20 ned  1  8 18  9 30 100 778 936 649   5   0  475   0   0   0   1   5   4   0   0   1   0   0 100
M_Odegaard    19 nor  1  1 19 17 30 100 984 486 340  23   0 2184   1   0   0   2  29  30   4   1   3   0   0 100
Kai_Havertz   18 ger  1  1 18 16 30 100 501 993 104  22   0 2082   1   0   0   0  37  39   5   4   3   0   0 100
K_Dolberg     20 den  1  1  1 20 30 100 479 527 511  28   2 2503   0   0   0   0   1  45   5   0   4   0   0 100
L_Martínez    19 arg  1  1  1 19 30 100 578 524 283  23   0 2145   1   0   0   2   6  54   6   0   2   0   0 100
J_Kluivert    18 ned  1  1 15 19 30 100 567 786 161  21   0 1912   1   0   0   1  15  48   6   0   8   0   0 100
A_Isak        18 swe  1  1  1 19 30 100 571 517 134  28   2 2500   0   0   0   0   1  45   3   0   7   0   0 100
