Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Petr_Cech     35 cze 21  1  1  1 30 853 100 100 100  34   2 3074   0 155  63   0   0   0   0   0   2   0   0 100
Alisson       25 bra 20  1  1  1 30 356 100 100 100   8   1  741   0  40  15   0   0   0   0   0   0   0   0 100
F_Monetti     29 arg 19  1  1  1 30 600 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Javi_Martínez 29 esp  1 22 20  2 30 100 380 499 101  31   1 2107   1   0   0  30  26   8   2   5   6   5   0 100
L_Koscielny   32 fra  1 22  2  2 30  96 211  29  77  30   1 2548   1   2   3  38   1   4   0   0   6   0   0 100
H_Bellerín    23 esp  1 21 12  7 30 100 902 735 403  31   1 2739   1   0   0  37  25  15   1   1   1   0   0 100
S_de_Vrij     26 ned  1 21  2  1 30 100 489  44 976  35   6 2912   0   0   0  35   3   2   0   0   6   0   0 100
Kieran_Gibbs  28 eng  1 20 12  6 30  82 662 410  76  25   5 1998   0   0   0  22  13   4   0   3   3   0   0 100
Fede_Ricca    23 uru  1 20 12  6 30 100 460 728 564  28   4 2333   2   0   0  20  26  19   2   3   4   0   0 100
N_N'Koulou    28 cmr  1 20  1  1 30 100 342 717 620  23   6 1838   0   0   0  19   1   2   0   0   3   0   0 100
Molla_Wague   27 mli  1 19  1  1 30 100 908 674 741  18   6 1381   0   0   0  15   0   1   0   0   3   0   0 100
F_Coquelin    26 fra  1 19 21  2 30 100 444 914  97  24   2 2104   3   0   0  24  59   4   0   6   2   0   0 100
M_Elneny      25 egy  1 18 20  2 30 100 296 605 102  23   8 1594   0   0   0  13  34   6   1   2   7   0   0 100
C_Kramer      27 ger  1 17 20  1 30 100 848 317 480  12   5  777   1   0   0  10  13   1   0   1   1   0   0 100
Juraj_Kucka   31 svk  1 13 20  7 30 100 267 971 160  30   0 2241   1   0   0   9  65  12   1   6   9   0   0 100
Konrad_Laimer 21 aut  1 12 20  8 30 100 193 539 229  31   4 2458   1   0   0   6  52  22   2   2   7   0   0 100
Mario_Lemina  24 gab  1 13 20  7 30 100 189 226 117  20   2 1701   0   0   0   5  22   5   0   2   9   0   0 100
M_Fernández   31 chi  1  6 19 12 30 100 535 583 587  14  10  651   0   0   0   3  11   5   0   1   0   0   0 100
V_Jugovic     28 cro  1  6 18 12 30 100 145  42 324   4   3  161   0   0   0   0   4   1   0   1   0   0   0 100
Mesut_Özil    29 ger  1  1 24 21 30 100 784 306 546  30   1 2643   4   0   0   0  44  69  13   6  10   0   0 100
A_Schürrle    27 ger  1  2 21 20 30 100 411 859 600  23   1 2037   3   0   0   2  45  61  11   5   2   0   0 100
J_Pastore     28 arg  1  1 21 19 30 100 615 257 628  11   0  939   1   0   0   0   7  18   2   2   6   0   0 100
Y_Belhanda    28 mar  1  2 20 18 30 100   6 631 362  10   2  679   0   0   0   0   8  11   2   0   5   0   0 100
Theo_Walcott  29 eng  1  1 20 18 30 100 566 406 131  13   8  661   0   0   0   0   2  13   4   1   2   0   0 100
A_Sánchez     29 chi  1  2 20 25 30 100  91 986 150  37   2 3087   2   0   0   1  22 104  19   4   6   0   0 100
A_Yarmolenko  29 ukr  1  2 20 21 30 100 357 546 880  37   4 3019   1   0   0   2  14  97  17   3   4   0   0 100
Jérémy_Ménez  31 fra  1  1 11 20 30 100  92  99 411  26   5 1684   1   0   0   1   5  45  10   0   3   0   0 100
Alex_Iwobi    21 nga  1  1 17 19 30 100 870 149 753  27  20 1081   0   0   0   1   7  26   3   0   6   0   0 100
