Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
D_Subasic     33 cro 22  1  1  1 30 194 100 100 100  48   0 4511   0 219  90   0   0   0   0   0   1   0   0 100
L_Badiashile  20 fra 17  1  1  1 30 324 100 100 100   4   0  382   0  22  12   0   0   0   0   0   0   0   0 100
K_Koulibaly   26 sen  1 22  2  2 30 111  80   7  55  30   2 2393   0   1   1  42   1   5   0   0   1   0   0 100
Kamil_Glik    30 pol  1 21  1  1 30 144 744 677 656  35   0 3092   3   2   0  34   1   2   1   0  11   0   0 100
L_Kurzawa     25 fra  1 21 12  7 30 100 445 620 300  32   1 2790   0   0   0  39  24  15   3   1  21   0   0 100
Phil_Jones    26 eng  1 21  2  2 30 100 429   5  51  28   2 2428   0   0   0  29   1   4   1   0   2   0   0 100
Jemerson      25 bra  1 20  1  1 30 100 592 588 603  23   8 1623   1   0   0  26   0   1   0   0   2   0   0 100
B_Mendy       23 fra  1 20 12  5 30 100 478 151 852  24   6 1789   0   0   0  23  11   7   2   0   3   0   0 100
Pol_Lirola    20 esp  1 19 12  5 30 100 747  64 798  17   2 1480   0   0   0  25  17   9   0   2   4   0   0 100
Jorge         22 bra  1 19 10  5 30 100  69 894 735  16   1 1355   1   0   0  14   8   3   2   2   5   0   0 100
Almamy_Touré  21 mli  1 18 10  4 30 100 886  30 892  13   3 1010   0   0   0   9   2   4   0   1   1   0   0 100
Abdou_Diallo  21 fra  1 18  1  1 30 100 381 671 666   4   0  383   0   0   0   5   1   0   0   0   1   0   0 100
Fabinho       24 bra  1 18 21  2 30 100 379 809 842  34   1 2919   2   0   0  31  60  11   1  11   5   0   0 100
Kévin_N'Doram 22 fra  1 14 18  2 30 100 821  18 677  16   8  994   1   0   0   6  19   2   0   1   0   0   0 100
Jack_Wilshere 26 eng  1  9 22 12 30 100 653 110 813  37   7 2715   4   0   0   9  59  37   7   7   1   0   0 100
Y_Tielemans   20 bel  1  8 21 11 30 100 998  82 100  31   3 2569   1   0   0   9  50  18   3   7   9   0   0 100
João_Moutinho 31 por  1 12 20  7 30 100 909 917 707  24   2 1818   2   0   0  12  27  13   1   3  12   0   0 100
N_Barella     21 ita  1  9 19 10 30 100 131 927 107  17   6 1183   0   0   0   3  14   6   1   1   7   0   0 100
Thomas_Lemar  22 fra  1  1 21 20 30 100 486 293  52  34   3 2897   3   0   0   0  37  71  10   1   9   0   0 100
A_Halilovic   21 cro  1  2 20 19 30 100 713 724  63  11   2  844   0   0   0   0  11  19   2   2   1   0   0 100
G_Boschilia   22 bra  1  1 19 16 30 100 532 173 206  20   7 1445   1   0   0   0  20  24   6   3   1   0   0 100
D_Berardi     23 ita  1  2 19 22 30 100 366 703 304  41   5 2813   3   0   0   1  15 113  17   1   5   0   0 100
Kylian_Mbappé 19 fra  1  1 12 21 30 100 565 888 271  46  15 2983   1   0   0   1   8  81  17   0   7   0   0 100
Lucas_Pratto  30 arg  1  1  1 21 30 100 301 273  38  20  13  955   0   0   0   1   0  34   8   0   6   0   0 100
Malcom        21 bra  1  2 17 20 30 100 210 300 466  31  17 1650   1   0   0   1  10  60   6   2   7   0   0 100
