Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Jan_Oblak     25 svn 23  1  1  1 30 795 100 100 100  46   0 4365   0 199  82   0   0   0   0   0   1   0   0 100
M_Ángel_Moyá  33 esp 21  1  1  1 30 329 100 100 100   5   1  474   0  24   4   0   0   0   0   0   0   0   0 100
André_Moreira 22 por 19  1  1  1 30 174 100 100 100   2   0  179   0  10   5   0   0   0   0   0   0   0   0 100
Diego_Godín   32 uru  1 23  2  2 30 100 607 608 526  36   2 3097   0   0   0  48   4   8   0   0  13   0   0  88
Filipe_Luís   32 bra  1 22 14  8 30 100 988 511   7  33   2 2845   1   0   0  45  30  23   4   4   2   0   0  88
José_Giménez  23 uru  1 22  2  2 30 100 760 685 543  43  10 3397   0   0   0  47   5   8   0   2   4   0   0  88
Samuel_Umtiti 24 fra  1 22  2  2 30 100 452 620 750  32   0 2854   2   0   0  48   1  10   3   1   3   0   0 100
Juanfran      33 esp  1 21 13  7 30 100 846  68 674  19   0 1713   0   0   0  17  18  14   2   3   2   0   0 100
Dante         34 bra  1 21  2  2 30 100 686 482 371  19   2 1755   0   0   0  18   2   4   1   0   1   0   0 100
Nacho_Monreal 32 esp  1 20 12  8 30 100 943 757 688   7   0  667   1   0   0  11   7   9   1   0   1   0   0 100
S_Arias       26 col  1 20 12  6 30 100 800 665 266  23   2 2013   0   0   0  21  15   9   2   1   8   0   0 100
Lucas_Biglia  31 arg  1 20 24  2 30 100 691  88 715  44   5 3647   2   0   0  47  95   8   0  13   1   0   0  88
A_Fernández   31 arg  1 19 23  3 30 100 499 340 648  42   4 3560   3   0   0  30  89   7   1  10   3   0   0  88
L_Dendoncker  22 bel  1 19 22  2 30 100 418  50 702  30   1 2706   4   0   0  34  65   7   2  14   7   0   0 100
Koke          26 esp  1  7 24 15 30 100 727 368 715  33   1 2996   4   0   0   5  95  44   8  13   9   0   0  88
Saúl_Ñíguez   23 esp  1  8 22 14 30 100 911 668 407  29   4 2459   3   0   0   7  58  23   4   5   3   0   0 100
Gabi          34 esp  1 13 21  8 30 100 743 960 785  13   0 1233   1   0   0   2  41  10   1   4   1   0   0 100
Y_Carrasco    24 bel  1  2 24 21 30 100 459  94 791  39   1 3357   7   0   0   1  80 104  22   9   2   0   0  88
Nico_Gaitán   30 arg  1  2 22 20 30 100 537 643 234  38   4 3322   4   0   0   2  32  81  13   4   5   0   0  88
B_Silva       23 por  1  1 21 18 30 100 836 852 815  35   4 2879   2   0   0   0  31  65  11   6   2   0   0 100
A_Griezmann   27 fra  1  2 16 25 30 100 635 924 813  43   0 3451   6   0   0   3   8 125  25   2  12   0   0  88
Kévin_Gameiro 30 fra  1  2  2 23 30 100 449 477 765  33   2 2916   3   0   0   2   0 115  22   0   3   0   0  88
Ángel_Correa  23 arg  1  2 17 21 30 100 411 623 925  27   5 2196   2   0   0   2   5  64  13   1   9   0   0 100
F_Torres      34 esp  1  2  2 21 30 100 463 501 689  19   7 1370   1   0   0   2   0  53   7   0   5   0   0 100
