Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Roman_Bürki   27 sui 23  1  1  1 30 972 100 100 100  29   1 2640   0 159  43   0   0   0   0   0   1   2   0 100
Mile_Svilar   19 bel 20  1  1  1 30 408 100 100 100  26   1 2355   0 124  51   0   0   0   0   0   2   2   0 100
H_Bonmann     24 ger 18  1  1  1 30 141 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sokratis      29 gre  1 22  2  2 30 176 786 438 571  31   0 2635   1   4   2  39   4   6   0   0   5   0   0 100
L_Piszczek    32 pol  1 22 12  6 30 100 529 223 714  16   1 1367   0   0   0  28  17   9   0   3   2   0   0 100
R_Guerreiro   24 por  1 21 11  6 30 100 991 819 534  25   0 2316   0   0   0  31  19  21   0   1   7   0   0 100
Sven_Bender   28 ger  1 21  2  2 30 100 899 497 594  14   0 1288   0   0   0  11   3   1   0   0   0   0   0 100
Marc_Bartra   27 esp  1 21  2  2 30 100 843 585 673  26   0 2429   0   0   0  27   5   3   0   2   2   3   0 100
M_Schmelzer   30 ger  1 21 13  8 30 100 786 113 856  25   1 2194   1   0   0  30  24  12   1   5   7   3   0 100
M_Ginter      24 ger  1 21  2  2 30 100 533 440 681  22   0 2079   0   0   0  32   4   8   1   0   2   0   0 100
Erik_Durm     25 ger  1 21 12  6 30 100  45 876 712  23   0 2181   2   0   0  33  25  10   1   3   5   0   0 100
J_Riedewald   21 ned  1 20  2  2 30 100 741 450 577  23   0 2133   0   0   0  26   6   8   0   0   3   0   0 100
Joo-Ho_Park   31 kor  1 19  8  5 30 100 758 475 561   1   1   48   0   0   0   0   0   0   0   0   0   0   0 100
Julian_Weigl  22 ger  1 19 23  3 30 100 251 102 719  28   0 2589   2   0   0  29  62  12   0  10   6   0   0 100
Dzenis_Burnic 19 ger  1 15 17  3 30 100 561 740 561   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Castro      30 ger  1 13 21  8 30 100 958 870 704  20  20  648   0   0   0   4  23   5   0   3   0   0   0 100
Mikel_Merino  21 esp  1 12 20  8 30 100 871 938 831  23   0 2181   0   0   0   9  49  24   3   3   4   0   0 100
A_Bertolacci  27 ita  1 13 20  7 30 100 787 929 624  23   0 1567   0   0   0   6  24   9   0   4   1   0   0 100
Nuri_Sahin    29 tur  1 13 20  7 30 100 709 515 662  22  18  959   1   0   0   2  17  11   3   1   0   0   0 100
P_Coutinho    25 bra  1  2 23 21 30 100 235 497 743  29   0 2739   3   0   0   0  58  67   6   5   3   0   0 100
X_Shaqiri     26 sui  1  2 22 20 30 100 577 674 838  28   1 1801   1   0   0   1  33  36   8   5   3   0   0 100
Mario_Götze   25 ger  1  2 22 19 30 100 587 570 572  25   0 2333   2   0   0   2  59  35   8   5  14   0   0 100
Davy_Klaassen 25 ned  1  2 21 19 30 100 206 182 998  31   9 2230   5   0   0   1  47  54  10   4   7   0   0 100
A_Schöpf      24 aut  1  1 20 18 30 100 924 281 305  23   0 2088   0   0   0   0  31  28   3   0  11   0   0 100
O_Dembélé     20 fra  1  2 20 23 30 100 537 110 609  45  19 2311   0   0   0   1  23  76  13   1   6   0   0 100
Romelu_Lukaku 24 bel  1  1  1 23 30 100 766 700 510  33   3 2074   2   0   0   2   1  76  15   0   1   0   0 100
C_Pulisic     19 usa  1  2 17 21 30 100 569 519 632  47  24 2247   1   0   0   2   7  88   9   0   1   0   0 100
Emre_Mor      20 tur  1  2 17 20 30 100 508 544  81  40  16 2079   0   0   0   0  13  54  11   0   5   0   0 100
Vaclav_Cerny  20 cze  1  2 16 19 30 100 547 547 671  28  28  902   1   0   0   0   4  26   4   0   0   0   0 100
