Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Bernd_Leno    26 ger 24  1  1  1 30 263 100 100 100  47   0 4419   0 255  62   0   0   0   0   0   8   0   0 100
Ramazan_Özcan 33 aut 21  1  1  1 30 108 100 100 100  10   1  934   0  25  16   0   0   0   0   0   0   0   0 100
Niklas_Lomb   24 ger 18  1  1  1 30 571 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jonathan_Tah  22 ger  1 22  2  2 30 125 955 549 613  43   1 3992   1   0   0  65   6  10   1   1  10   0   0 100
Ömer_Toprak   28 tur  1 22  2  2 30 100 954 460 587  50   0 3119   0   0   0  47   3   6   0   0   8   0   1 100
A_Dragovic    27 aut  1 22  2  2 30  89 247 396 506  42   1 3869   2   0   0  63   5   6   0   0   3   0   0 100
Wendell       24 bra  1 21 13  6 30  84 575 135 701  35  16 2367   0   0   1  32  20  12   1   2   3   0   0 100
Tin_Jedvaj    22 cro  1 21  2  2 30 100 263 519 544  32  10 2476   1   0   0  32   4   8   0   1   1   0   0 100
B_Henrichs    21 ger  1 20 12  6 30 100 771 759 649  23   9 1626   2   0   0  16   8   6   0   0   3   0   0 100
R_Hilbert     33 ger  1 19 12  6 30 100 953 746 588  15   7  833   0   0   0   7   6   8   0   0  10   0   0 100
D_da_Costa    24 ger  1 19 11  6 30 100 552 444 562   8   8  336   0   0   0   4   0   2   0   0   0   0   0 100
Reece_Oxford  20 eng  1 19  1  1 30 100 220 470 475   3   1  221   0   0   0   0   0   1   0   0   0   0   0 100
J_Abu_Hanna   20 ger  1 17  2  2 30 100 971 441 561   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lars_Bender   28 ger  1 20 23  2 30 100 664 322 651  43   0 3936   2   0   0  35  85   7   3   7   8   0   0 100
Baumgartinger 30 aut  1 19 21  2 30 100 256 815 623  45  18 2975   1   0   0  22  58   6   1   2  11   0   0 100
Kevin_Kampl   27 svn  1  9 22 14 30 100  45 864 219  47   1 3591   2   0   0   7  66  45   4   5   3   0   0 100
M_Fellaini    30 bel  1  8 21 12 30 100 785 709 967  41   9 3360   2   0   0   4  77  35   4  10   8   0   0 100
C_Aránguiz    28 chi  1 12 20  8 30 100 692 862 786  23  10 1533   0   0   0   5  23  10   3   0   0   0   0 100
V_Yurchenko   24 ukr  1  9 18 10 30 100 576 864 555   6   4  239   0   0   0   0   7   1   0   1   0   0   0 100
K_Bellarabi   27 ger  1  2 22 21 30 100 688 836 422  40   1 3782   6   0   0   4  49 105  20   3   6   0   0 100
Julian_Brandt 21 ger  1  2 21 19 30 100 559 989 304  25   1 2350   4   0   0   1  36  56   7   4   2   0   0 100
D_Cheryshev   27 rus  1  2 20 18 30 100 578 662 792   5   0  425   0   0   0   0  10   4   1   1   1   0   0 100
Kevin_Volland 25 ger  1  2 20 23 30 100 603 295 647  46   0 3913   1   0   0   5  24 120  16   1   6   0   0 100
H_Calhanoglu  24 tur  1  2 20 23 30 100 662  61 402  52  15 3450   3   0   0   4  19 113  18   3   5   0   0 100
M_Batshuayi   24 bel  1  2  2 21 30 100 583 389 993  38  20 1963   1   0   0   3   0  63  13   0   1   0   0 100
Admir_Mehmedi 27 sui  1  2 18 21 30 100 572 858 280  18  12  812   0   0   0   0   5  25   3   1   1   0   0 100
S_Kiebling    34 ger  1  2  2 20 30 100 510 390 242   2   1  104   0   0   0   0   0   3   0   0   0   0   0 100
J_Pohjanpalo  23 fin  1  2  2 19 30 100 550 430 564   1   1   24   0   0   0   0   0   1   0   0   0   0   0 100
