Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Loris_Karius  24 ger 23  1  1  1 30 629 100 100 100  42   0 3729   1 171  61   0   0   0   0   0   1   0   0  91
Sven_Ulreich  29 ger 20  1  1  1 30 276 100 100 100   9   5  656   0  25  11   0   0   0   0   0   0   0   0 100
J_Bustillos   21 arg 17  1  1  1 30 480 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Philipp_Lahm  34 ger  1 23 20  7 30  98 826 843 787  50   1 3342   1   0   0  44  61  31   3   6  12   0   0  94
David_Alaba   25 aut  1 23 20  7 30 100 452 756 866  40   6 2959   0   0   0  28  55  19   3   4   8   0   0  94
A_Laporte     23 fra  1 22  2  2 30  84 848 551 631  45  13 3421   0   0   1  42   5   8   3   0   1   0   0  94
S_Mustafi     25 ger  1 22  2  2 30 100 824 598 674  32   5 2670   1   0   0  34   4   9   2   1   6   0   0 100
Marquinhos    23 bra  1 22  2  2 30 100 690 498 490  36   7 2984   0   0   0  30   2   3   0   0   6   0   0  94
P_Mertesacker 33 ger  1 21  2  2 30 100 664 525 470  28   5 2271   0   0   0  28   4   4   0   0   7   0   0 100
Elseid_Hysaj  24 alb  1 21 11  6 30 100 589  83 769  31   6 2491   1   0   0  24  20  13   2   3   7   0   0 100
K_Trippier    27 eng  1 20 12  7 30 100 626 713 632  14   9  882   2   0   0  11   8   7   1   4   2   0   0 100
Granit_Xhaka  25 sui  1 19 23  3 30 100 264 423 534  32   1 2951   1   0   0  24  66   6   1  12  11   0   0  94
L_Fejsa       29 srb  1 20 22  2 30 100 196 599 510  24   1 2204   2   0   0  16  59   5   0   8   1   0   0 100
Paul_Pogba    25 fra  1 12 25 12 30 100  55 245 494  49   0 3552   6   0   0   7 108  41  10  20  14   0   0  94
M_Pjanic      27 bih  1 13 23  9 30 100 988 792 774  46  12 3424   3   0   0  15  89  33   4  11   7   0   0  94
Adrien_Rabiot 22 fra  1 13 22  8 30 100 977 695 887  37  11 2733   1   0   0  17  43  16   1   4   4   0   0 100
Sergi_Darder  24 esp  1 11 21  9 30 100 597 366 486  24  17 1153   0   0   0   5  17  11   2   0   3   0   0 100
Dani_Parejo   28 esp  1  2 21 19 30 100   5 749  52  23   1 2141   2   0   0   2  35  49   6   5   1   0   0 100
Leroy_Sané    22 ger  1  2 21 20 30 100 414 668 643  29   0 2778   3   0   0   1  23  95  15   3   5   0   1  94
Sergio_Agüero 29 arg  1  2  2 25 30 100 436 480 854  47   4 3356   7   0   0   1   1 142  33   0  10   0   0  94
José_Callejón 31 esp  1  2 20 23 30 100 624  75 710  39   9 3107   4   0   0   1  12  92  26   2   6   0   0  94
Vitolo        28 esp  1  2 19 22 30 100 304 599 300  35  18 2006   3   0   0   1   4  59  12   0   0   0   0 100
M_Oyarzabal   20 esp  1  2 18 21 30 100 438 801 637  31  17 1850   1   0   0   1   5  59   9   1   5   0   0 100
