Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
T_Courtois    25 bel 24  1  1  1 30 255 100 100 100  45   0 4181   0 313 102   0   0   0   0   0   2   0   0 100
Keylor_Navas  31 crc 21  1  1  1 30 305 100 100 100   8   2  640   0  47  14   0   0   0   0   0   0   0   0 100
B_Dragowski   21 pol 19  1  1  1 30 530 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Smalling    28 eng  1 22  2  2 30 100 132 234 237  39   1 3268   0   0   0  60   5   7   0   0   3   0   0 100
D_Sidibé      25 fra  1 21 12  8 30  86 674 785 471  39   1 3558   1   0   0  44  40  14   2   1   9   0   0 100
Kurt_Zouma    23 fra  1 21  1  1 30 100 590 753 736  37   4 3127   0   0   0  55   0   8   0   0   4   0   0 100
Daley_Blind   28 ned  1 21 11  6 30 100 223 235 946  32   7 2479   2   0   0  39  23  10   1   1   1   0   0 100
G_Arana       21 bra  1 20 11  7 30 100 527 666 467  26   2 2211   0   0   0  39  26  10   1   3  12   0   0 100
Kenedy        22 bra  1 19 10  4 30 100 975  86 904  23   6 1826   1   0   0  33   9   9   1   1   1   0   0 100
Jorginho      26 ita  1 19 22  3 30 100 178 237 566  31   0 2906   0   0   0  33  44   8   1   2   6   0   0 100
T_Stepanenko  29 ukr  1 20 21  2 30 100 116 583 901  32  11 2157   1   0   0  17  40   2   0   3   1   0   0 100
J-P_Gbamin    23 civ  1 20 20  2 30 100  19 448 900  13   6  920   0   0   0  11  15   1   0   1   1   0   0 100
Ander_Herrera 28 esp  1 14 22  8 30 100  22 455 970  24   0 1978   1   0   0   8  32  15   4   4   7   0   0 100
D_Drinkwater  28 eng  1 11 20  9 30 100 934 553  27  13   0 1112   0   0   0   8  31   7   2   1   0   0   0 100
Álvaro_Medrán 24 esp  1 13 20  7 30 100 239  88   1  10   2  771   0   0   0   6  20   4   0   1   0   0   0 100
Marco_Reus    28 ger  1  2 24 21 30 100 561 100  80  41   2 3648   4   0   0   0  73  77  12  10  14   0   0 100
Willian       29 bra  1  1 21 21 30 100 779 936  89  31   0 2801   2   0   0   3  59  53   9   3   1   0   0 100
G_Wijnaldum   27 ned  1  2 21 20 30 100 143 786 111  28   1 2506   2   0   0   1  47  47   6   3   6   0   0 100
Victor_Moses  27 nga  1  1 19 17 30 100 707 800 275  11   7  602   0   0   0   0   9   9   3   0   0   0   0 100
C_Musonda     21 bel  1  1 19 18 30 100 718 605 106   5   0  472   1   0   0   0   4  13   3   0   0   0   0 100
Chicharito    29 mex  1  1  1 21 30 100 731 685 797  34   1 3040   0   0   0   2   0  64   6   0   3   0   0 100
Timo_Werner   22 ger  1  2  2 21 30 100 412 519 439  37   3 3166   1   0   0   1   1  65   7   0   7   0   0 100
Pedro         30 esp  1  1 18 21 30 100 755 989  72  17   3 1260   1   0   0   0   5  27   4   1   1   0   0 100
Rodrigo       27 esp  1  1  1 20 30 100 923 913 314  15   6  900   0   0   0   0   0  21   3   0   9   0   0 100
M_El_Haddadi  22 esp  1  1 18 19 30 100 933 175 511   1   1   31   0   0   0   0   0   2   0   0   0   0   0 100
