Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Cássio        31 bra 20  1  1  1 30 770 100 100 100  39   0 3533   0 142  62   0   0   0   0   0   7   0   0 100
Walter        31 bra 18  1  1  1 30 960 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Caíque_França 23 bra 18  1  1  1 30 898 100 100 100   7   3  560   0  37   7   0   0   0   0   0   0   0   0 100
Éder_Balanta  26 col  1 21  2  2 30 100 427 884 946  34   0 2587   2   0   0  34   4   6   1   0  13   0   0 100
Fágner        29 bra  1 20 11  8 30 100 588 783 534  31   0 2712   3   0   0  46  26  14   1   6  10   0   0 100
F_Balbuena    27 par  1 20  1  1 30 100 284 432 435  28   0 2431   2   0   0  35   1   1   0   0   5   0   0 100
Vilson        30 bra  1 20  1  1 30 100 193 456 442  26   0 2202   0   0   0  35   2   0   0   0   4   0   0 100
P_Henrique    23 bra  1 19  1  1 30 100 948 452 448  30   7 2246   0   0   0  31   2   2   0   0  11   0   0 100
Sidcley       25 bra  1 18 11  7 30 100 889 567 456  22   8 1481   0   0   0  21  11   6   0   2   6   0   0 100
Marllon       26 bra  1 18  1  1 30 100 868 491 449  20  10 1272   1   0   0  20   1   1   0   1   1   0   0 100
J_Capixaba    21 bra  1 18 10  6 30 100 293 475 473  13  12  597   0   0   0  10   2   4   0   0   2   0   0 100
Léo_Príncipe  22 bra  1 18 10  6 30 100 274 504 460  15   5 1015   0   0   0  11   8   4   0   0  11   0   1 100
Gabriel       26 bra  1 16 19  3 30 100 551 969 436  26   1 2144   1   0   0  10  42   3   0   3  12   0   0 100
Renê_Júnior   29 bra  1 16 19  3 30 100 641 879 500  28   3 2362   0   0   0  16  30  12   1   2   6   0   0 100
Paulo_Roberto 31 bra  1 15 19  3 30 100 508 229 462  13   6  840   0   0   0   4  11   2   0   0   4   0   0 100
Diego_Laxalt  25 uru  1 11 20  9 30 100 695 986 782  34   0 2682   0   0   0   6  60  24   4   3   8   0   0 100
Maycon        21 bra  1 10 19 11 30 100 462 462 489  27   6 2043   0   0   0   2  35  14   1   5   8   0   0 100
Rodriguinho   30 bra  1  2 19 17 30 100 521 851 649  26   4 2088   2   0   0   3  25  28   5   2   5   0   1 100
Marq_Gabriel  28 bra  1  2 19 17 30 100 513 785 659  29   6 2029   3   0   0   3  33  25   6   4   9   0   0 100
Mateus_Vital  20 bra  1  2 18 16 30 100 473 946 519  19   8 1193   1   0   0   1  16  15   1   2   2   0   0 100
Pedrinho      20 bra  1  3 18 15 30 100 460 638 510  10   8  456   0   0   0   0   4   7   1   0   0   0   0 100
Raúl_Ruidíaz  27 per  1  1  1 21 30 100 888 956 391  35   2 2560   0   0   0   1   0  51  11   0  14   0   0 100
Ángel_Romero  26 par  1  1 17 20 30 100 439 618 170  30  12 1787   1   0   0   0  17  29   6   3   3   0   0 100
Lucca         28 bra  1  1 16 20 30 100 460 544   3  23  13 1218   3   0   0   0   9  36   6   1   0   0   0 100
Clayson       23 bra  1  1  1 18 30 100 428 428 583  10   9  391   0   0   0   0   0   5   0   0   1   0   0 100
