Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Weverton      31 bra 20  1  1  1 30 822 100 100 100  35   0 3190   0 136  50   0   0   0   0   0   3   0   0 100
Júlio_César   39 bra 20  1  1  1 30 158 100 100 100  11   2 1010   0  64  29   0   0   0   0   0   2   0   0 100
G_Batista     20 bra 17  1  1  1 30 890 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Naldo         35 bra  1 20  1  1 30 100 819 887 850  30   0 1949   0   0   0  21   1   1   0   0   8   0   0 100
Réver         33 bra  1 20  1  1 30 100 195 421 499  27   0 2381   1   0   0  28   0   9   1   0   7   0   0 100
G_Siqueira    31 bra  1 20 12  6 30 100 111 368  53  27   0 2335   0   0   0  26  21  16   1   3   7   1   0 100
Renê          26 bra  1 20 11  7 30 100  21 612 554  26   2 2361   2   0   0  35  22  16   2   1   4   0   0 100
Rhodolfo      32 bra  1 19  1  1 30 100 913 440 440  23   2 1964   0   0   0  14   1   3   0   0   1   0   0 100
Pará          32 bra  1 19 11  7 30 100 788 673 491  23   5 1878   2   0   0  14  21  14   0   3   1   0   0 100
Miguel_Trauco 26 per  1 19 11  6 30 100 319 522 425  28  10 1924   0   0   0  21  17   6   0   0  11   0   0 100
Rodinei       26 bra  1 18 11  6 30 100 749 528 484  23  15 1275   0   0   0   9  14   6   1   0   5   0   0 100
G_Cuéllar     26 col  1 17 20  2 30 100 826 414 418  29   4 2501   1   0   0  35  45   3   0  11   2   0   0 100
Willian_Arão  26 bra  1 17 20  2 30 100 726 335 415  26   1 2395   0   0   0  26  49   2   0   5   3   0   0 100
Rômulo        28 bra  1 16 19  3 30 100 535 790 419  21   9 1308   0   0   0   9  22   1   0   1   6   0   0 100
Jonas         27 bra  1 16 19  2 30 100 488 234 460  21  14  975   1   0   0   6  15   2   1   1   5   0   0 100
Jean_Lucas    20 bra  1 15 17  2 30 100 462 669 465   7   5  317   0   0   0   3   7   1   1   0   5   0   0 100
Ronaldo       22 bra  1 15 17  2 30 100 442 578 428   3   2  164   0   0   0   1   0   0   0   0   1   0   0 100
R_Augusto     30 bra  1  7 21 15 30 100 982 699 365  30   0 2417   3   0   0   4  50  36   9   3   4   0   0 100
Jajá          23 bra  1 10 19 11 30 100 535  50 573  28   2 2287   0   0   0   6  30  23   3   1   7   0   0 100
É_Ribeiro     29 bra  1  2 20 18 30 100 482 857 759  24   4 1981   2   0   0   2  23  43   8   4   1   0   0 100
Diego         33 bra  1  1 20 18 30 100 419 283 688  19   1 1674   2   0   0   0  21  37   6   1   3   0   0 100
Ederson       32 bra  1  2 19 17 30 100 428 755 564  12   3  941   1   0   0   0  13  17   3   2   1   0   0 100
Lucas_Paquetá 21 bra  1  1 19 18 30 100 482 650 583  13   7  787   1   0   0   2   8  21   4   1   2   0   0 100
A_Pato        28 bra  1  1  1 20 30 100 424 431 865  27   0 2454   0   0   0   0   1  51   9   0   3   0   0 100
H_Dourado     29 bra  1  1  1 20 30 100 429 429 202  26   3 2062   1   0   0   0   0  26   4   0   3   0   0 100
Vinícius_Jr   18 bra  1  1 17 20 30 100 495 598  97  28   6 2018   1   0   0   2  17  54  10   2   3   0   0 100
Marlos_Moreno 22 col  1  1 16 18 30 100 429 492 747  22   7 1308   0   0   0   0   6  24   3   1   3   0   0 100
