Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Marcelo_Grohe 31 bra 21  1  1  1 30 205 100 100 100  47   0 4421   0 150  58   0   0   0   0   0   6   1   0 100
Paulo_Victor  31 bra 19  1  1  1 30 495 100 100 100   2   0  191   0   7   8   0   0   0   0   0   0   0   0 100
Léo           23 bra 17  1  1  1 30 660 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
W_Kannemann   27 arg  1 20  1  1 30 100 961 534 480  43   3 2823   0   0   0  39   4   2   0   1   5   0   0 100
Pedro_Geromel 33 bra  1 20  1  1 30 111 486 454 436  35   7 2508   1   1   1  36   3   3   0   0  16   0   0 100
Paulo_Miranda 30 bra  1 20  1  1 30  68 359 461 467  30   5 2536   0   0   2  40   1   4   0   0   3   0   0 100
M_Oliveira    31 bra  1 20 11  7 30 100 256 580 634  29   6 2403   1   0   0  27  17  24   3   0   2   0   0 100
Léo_Moura     40 bra  1 19 11  7 30 100 766 686 594  35   8 2740   1   0   0  23  32  17   3   1   7   0   0 100
Bressan       25 bra  1 19  1  1 30 100 220 490 570  28   9 2060   0   0   0  19   2   4   2   0   2   0   0 100
Madson        26 bra  1 19 11  6 30 100  85 619 615  21   2 1826   1   0   0  12  16  12   3   2   0   0   0 100
Bruno_Cortês  31 bra  1 19 11  6 30 100  28 609 603  18   8 1203   3   0   0  14  17  11   3   1   3   0   0 100
Ramiro        25 bra  1 15 20 10 30 100 588 651 572  29   5 2288   0   0   0  10  57  28   1   6   6   0   0 100
Michel        28 bra  1 16 20  3 30 100 664 629 457  23   0 2185   0   0   0  17  57   6   0   8   6   0   0 100
Jailson       23 bra  1 17 20  2 30 100 600 233 490  24   0 2282   1   0   0  14  42   5   1   6   4   0   0 100
Arthur        22 bra  1 12 22 12 30 100 575 560 676  52   1 3369   2   0   0   7  78  37   3  10   7   0   0 100
Maicon        33 bra  1 10 20 10 30 100 566 298 643  29   8 2193   2   0   0   7  56  30   4   7   1   0   0 100
C_Carbonero   27 col  1  7 19 13 30 100 115 919 279  41  34 1732   0   0   0   2  40  24   2   2   5   0   0 100
V_Vázquez     31 esp  1  4 20 16 30 100 516 139  79  26   1 2407   4   0   0   2  43  68  14   4   2   0   0 100
Vinícius_Lima 22 bra  1  2 18 16 30 100 460 760 460   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luan          25 bra  1  1 12 21 30 100 465 641 534  35   6 2827   4   0   0   0  18  86  18   2   5   0   0 100
Alisson       25 bra  1  1 17 20 30 100 443 644 446  29  13 1913   3   0   0   0  23  69  13   2   6   0   0 100
Everton       22 bra  1  1 17 20 30 100 416 568 369  36  28 1627   0   0   0   0  16  64  11   2  12   0   0 100
Jael          30 bra  1  1  1 19 30 100 460 460 862   1   1   33   0   0   0   0   0   2   0   0   0   0   0 100
