Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
S_Handanovic  33 svn 23  1  1  1 30 765 100 100 100  44   0 4001   0 232  89   0   0   0   0   0   3   0   0 100
J_P_Carrizo   33 arg 19  1  1  1 30 573 100 100 100   7   3  564   0  43  23   0   0   0   0   0   1   0   0 100
Andrei_Radu   20 rou 17  1  1  1 30 754 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Miranda       33 bra  1 23  2  2 30 100  35 334 336  39   3 2886   0   0   0  37   4   0   0   0   9   0   0 100
C_Ansaldi     31 arg  1 22 13  7 30 100 144 211 731  33   1 2851   1   0   0  49  34  21   1   1   8   0   0 100
L_Tonelli     28 ita  1 21  2  2 30 100 299 469 537  26   3 2197   0   0   0  33   6   7   0   0   7   0   0 100
L_Antonelli   31 ita  1 21 13  6 30 100  59  15 683  32   7 2623   0   0   0  30  22  18   2   2   4   0   0 100
Davide_Santon 27 ita  1 21 12  6 30 100  45 818 534  29   4 2027   0   0   0  29  20  14   2   3  13   0   0 100
D_D'Ambrosio  29 ita  1 20 10  6 30 100 516 668 521  26   6 2025   1   0   0  37  21  19   2   1   5   0   0 100
M_Andreolli   31 ita  1 20  2  2 30 100 489 261 423  26   9 1840   0   0   0  15   1   6   1   0   9   0   0 100
T_Sainsbury   26 aus  1 20  2  2 30 100 353 300 335  20   5 1617   0   0   0  22   0   2   0   0   1   0   0 100
Gary_Medel    30 chi  1 20 22  2 30 100 399 483 375  35   4 2968   0   0   0  36  63   7   0   5   1   0   0 100
T_Bakayoko    23 fra  1 17 21  3 30 100 958 966 346  30   2 2432   1   0   0  23  53   8   0   6  10   0   1 100
Éver_Banega   29 arg  1  6 23 16 30 100 661 237 274  40   7 3053   2   0   0   3  77  48   9   7   7   0   0 100
M_Brozovic    25 cro  1 13 22  8 30 100 875 609 764  36   1 3114   2   0   0   6  78  27   3   5   4   0   0 100
R_Gagliardini 23 ita  1 14 21  6 30 100 609 194 565  29   5 2276   1   0   0  10  59  17   3   7  12   0   0 100
Juan_Mata     29 esp  1  2 23 20 30 100 482 104 826  39  12 2786   4   0   0   2  58  95   9   9   7   0   0 100
A_Candreva    31 ita  1  2 21 20 30 100 459 649 901  38   4 2720   4   0   0   2  40  78  14   6  17   0   0 100
Brahim_Díaz   19 esp  1  2 18 16 30 100 448 634 551  19  13 1081   0   0   0   0  14  15   2   2   1   0   0 100
S_El_Shaarawy 25 ita  1  2 19 22 30 100 235 951 951  30   0 2619   4   0   0   0  19 109  17   3  11   0   0 100
Gabriel_B     21 bra  1  2 17 22 30 100 414 509 259  30   5 2300   3   0   0   2  12  93  21   0   4   0   0 100
G_Lapadula    28 ita  1  2  2 20 30 100 595 433 845  25   5 2023   1   0   0   3   1  60  12   0   2   0   0 100
G_Simeone     21 arg  1  2 13 20 30 100 606 636 476  20   2 1818   1   0   0   0   3  49   5   0   0   0   0 100
A_Pinamonti   18 ita  1  2  2 18 30 100 334 260 110   2   2   65   0   0   0   0   0   4   1   0   1   0   0 100
