Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
R_Zapata      40 col 19  1  1  1 30 826 100 100 100  36   0 3390   1 157  53   0   0   0   0   0   2   0   0 100
L_Castellanos 34 col 18  1  1  1 30 930 100 100 100   7   1  629   0  24  13   0   0   0   0   0   1   0   0 100
Y_Mosquera    22 col 17  1  1  1 30 150 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Balanta     28 col  1 19 11  7 30 100 542 190 144  31   1 2006   0   0   0  27  14   5   1   0   4   0   0 100
W_Tesillo     28 col  1 19  1  1 30 100 313  57  58  26   0 2151   1   0   0  15   2   3   0   0  16   0   0 100
Javier_López  30 col  1 19  1  1 30 100 176  73  78  28   0 2448   0   0   0  39   1   3   0   0  12   0   0 100
V_Giraldo     33 col  1 18 11  6 30 100 927 183  48  28   3 2375   1   0   0  23  19   8   0   1  18   0   1 100
Héctor_Urrego 26 col  1 18  1  1 30 100 392  77  70  25   7 1771   0   0   0  22   1   0   0   0  10   0   0 100
Carlos_Henao  30 col  1 18  1  1 30 100 307  62  94  25  12 1590   1   0   0  19   2   1   1   0  11   0   0 100
C_Arboleda    32 col  1 18 11  6 30 100 287 198  94  19   5 1437   0   0   0  14   9   3   0   2   1   0   0 100
J_D_Valencia  32 col  1 18 11  6 30 100 236 164 119  20   8 1400   1   0   0  10  14   5   1   0   2   0   0 100
Nicolás_Gil   21 col  1 17  1  1 30 100 200  78  78  15  10  757   0   0   0   6   0   0   0   0   6   0   0 100
José_Moya     26 col  1 17  1  1 30 100 174  88  90   9   7  442   0   0   0   3   0   2   0   0   1   0   0 100
B_Perlaza     26 col  1 16 18  2 30 100 307 641  97  27   3 2238   2   0   0  17  47   3   0   4   2   0   0 100
Y_Gordillo    26 col  1 15 18  3 30 100 224 394 110  27  12 1775   1   0   0   9  27   4   0   3   1   0   0 100
Seba_Salazar  23 col  1 10 17  7 30 100 177 411 164  27   2 2246   1   0   0   6  34  11   2   3  11   0   0 100
D_Mosquera    20 col  1 10 17 10 30 100 156 366 132  28   1 2079   1   0   0   5  25  15   1   4   7   0   0 100
Valdelamar    21 col  1 10 17 10 30 100 179 194 174  24   6 1757   1   0   0   7  14   8   3   0   7   0   0 100
J_D_Roa       27 col  1  4 19 15 30 100 101 366 172  20   0 1819   0   0   0   1  20  25   1   0   7   0   0 100
K_Salazar     22 col  1  3 18 15 30 100 168 332 258  13   0 1212   2   0   0   3  22  23   3   2   5   0   0 100
Jona_Herrera  22 col  1  3 17 14 30 100 141 194 107   6   1  524   0   0   0   2   5   6   0   1   3   0   0 100
Almir_Soto    24 col  1  2 17 15 30 100 127 178 174   6   0  522   0   0   0   1   4   4   2   0   0   0   0 100
B_de_Jesús    23 ecu  1  2  2 20 30 100  60 139 228  28   0 2587   0   0   0   2   1  23   1   0   3   0   0 100
Wilson_Morelo 31 col  1  1  1 19 30 100  66  66 400  30   5 2176   0   0   0   0   0  28   4   0   2   0   0 100
J_Agudelo     26 col  1  1  1 19 30 100  63  70 332  29   9 1767   1   0   0   0   1  24   6   0   1   0   0 100
A_Rentería    25 col  1  1 16 19 30 100  95 151 159  24  13 1274   0   0   0   0   5  10   0   1   0   0   0 100
Brayan_Fdez   26 col  1  1  1 18 30 100 100 100 642  11   6  544   0   0   0   0   0  10   1   0   0   0   0 100
R_Bentancourt 25 uru  1  1  1 18 30 100 100 107 339   7   5  299   0   0   0   0   1   3   1   0   0   0   0 100
Arm_Vargas    30 col  1  1 15 18 30 100 105 112 195   2   1  145   0   0   0   0   1   4   1   0   0   0   0 100
J_Fredy_Pajoy 30 col  1  1 16 18 30 100 100 107 150   2   0  140   0   0   0   0   1   0   0   0   0   0   0 100
