Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Buffon      40 ita 23  1  1  1 30 230 100 100 100  35   0 3048   0 161  61   0   0   0   0   0  12   0   0 100
T_Strakosha   23 alb 21  1  1  1 30   6 100 100 100   6   2  477   0  19   6   0   0   0   0   0   0   0   0 100
Neto          28 bra 20  1  1  1 30 903 100 100 100  10   3  817   0  42  26   0   0   0   0   0   0   0   0 100
Mats_Hummels  29 ger  1 23  2  2 30  79 805 531 434  39   4 3050   0   0   0  40   3   4   0   0   5   0   0 100
G_Chiellini   33 ita  1 23  2  2 30 110 295 549 569  30   3 2569   0   0   0  33   8   8   0   1  10   0   0 100
A_Barzagli    36 ita  1 21  2  2 30 100 996 565 629  23   2 1909   1   0   0  29   5   3   0   1   4   0   0 100
Iván_Marcano  30 esp  1 21  2  2 30 100 889 462 629  28   4 2377   0   0   0  33   4   8   1   0   8   0   0 100
D_Rugani      23 ita  1 21  2  2 30 111 853 571 477  32   8 2535   2   2   3  34   5   3   0   2   2   0   0 100
V_Lindelöf    23 swe  1 21  2  2 30 100 674 492 513  25   5 1857   0   0   0  27   2   7   1   0  13   0   0 100
E_Garay       31 arg  1 21  1  1 30 100 624 968 884  22   3 1744   0   0   0  17   1   4   0   0   2   0   0 100
A_Moreno      25 esp  1 21 13  5 30 100 406   9 351  26   0 2391   0   0   0  31  24  13   0   2  10   0   0 100
Sami_Khedira  30 ger  1 20 23  2 30 100 456 397 542  35   3 3018   2   0   0  26  59   4   0   5   3   0   0 100
Luiz_Gustavo  30 bra  1 20 21  3 30 100 197 982  49  28   8 2103   0   0   0  22  49   6   2   9   3   0   0 100
Emre_Can      24 ger  1 18 21  2 30 100 833 350 401  25   1 2306   2   0   0  23  41   5   2   6   2   0   0 100
M_Llorente    23 esp  1 17 21  3 30 100 880  58 703  17   0 1534   0   0   0  10  23   8   0   4   2   0   0 100
Cesc_Fàbregas 30 esp  1  8 22 13 30 100 981 834 666  27   0 2433   2   0   0   6  55  31   7   1   1   0   0 100
Paulinho      29 bra  1 14 22  7 30 100 986  47 956  35   8 2629   1   0   0  12  63  18   4   3  13   0   0 100
Pizzi         28 por  1  7 21 14 30 100 461 963 759  23   5 1865   1   0   0   5  37  15   1   4   3   0   0 100
David_Silva   32 esp  1  2 23 21 30 100 433 767 967  33   1 2891   4   0   0   0  47  65   9   2   4   0   0 100
G_Martins     22 por  1  2 21 20 30 100 434 457 384  27  10 1925   2   0   0   1  24  54  10   4   4   0   0 100
E_Forsberg    26 swe  1  2 21 19 30 100 371 329 991  20   4 1564   1   0   0   1  17  31   5   2   1   0   0 100
Amine_Harit   21 mar  1  3 20 17 30 100 518 757 626  13   2 1103   1   0   0   2  13  33   3   0   2   0   0 100
Arjen_Robben  34 ned  1  2 20 25 30 100 600 935 243  38   3 2979   3   0   0   2  16 134  25   1  14   0   0 100
K_Coman       21 fra  1  2 18 22 30 100 253 669 583  29   9 2034   2   0   0   1  16  73  10   0   3   0   0 100
Sadio_Mané    25 sen  1  2 19 22 30 100 206 650 118  37  17 1925   1   0   0   2  25  65  10   1   5   0   0 100
