Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
David_Bingham 29 usa 18  1  1  1 30 776 100 100 100  35   0 3139   0 175  71   0   0   0   0   0  10   0   0 100
J_vom_Steeg   21 usa 17  1  1  1 30 513 100 100 100   8   3  661   0  32  20   0   0   0   0   0   2   0   0 100
Marvin_Matip  33 cmr  1 20  2  2 30 100 677 926 916  26   2 2296   0   0   0  39   3   3   0   0   3   0   0 100
Michaël_Ciani 34 fra  1 20  1  1 30 100 190 418 429  22   0 2010   1   0   0  24   0   2   0   0   6   0   0 100
Ashley_Cole   38 eng  1 19 11  7 30 100 772 646 541  23   1 2118   2   0   0  26  24   7   2   1   4   0   0 100
J_Skjelvik    27 nor  1 19  1  1 30 100 244 440 434  16   1 1383   1   0   0  36   1   1   0   0   1   0   0 100
Daniel_Steres 28 usa  1 19  1  1 30 100 119 440 486  16   0 1449   0   0   0  26   1   4   1   0  11   0   0 100
Dave_Romney   25 usa  1 19  1  1 30 100  76 448 531  20   3 1748   0   0   0  22   2   2   2   0   3   0   0 100
R_Feltscher   28 ven  1 18 10  6 30 100 409 591 476  21   0 1858   0   0   0  25  16   7   1   2  15   0   1 100
Tomas_H-Arce  23 usa  1 17  1  1 30 100 551 472 465   3   0  284   0   0   0   3   1   0   0   0   0   0   0 100
Hugo_Arellano 20 usa  1 17  1  1 30 100 540 456 456   7   0  663   0   0   0   2   0   0   0   0   2   0   0 100
Jack_Rodwell  27 eng  1 18 20  3 30 100 134 481 889  23   0 2187   0   0   0  22  39   5   0   1   2   0   0 100
Perry_Kitchen 26 usa  1 15 19  3 30 100 798 228 489  18   0 1707   2   0   0  26  40   4   1   6   3   0   0 100
João_Pedro    25 por  1 11 20 11 30 100 532 319 488  23   0 2108   0   0   0   5  37   7   1   1   9   0   0 100
S_Lletget     26 usa  1 10 19 11 30 100 547 612 520  18   0 1682   2   0   0   6  36  16   1   7   6   0   0 100
B_Husidic     31 bih  1 12 19 10 30 100 677 196 579  23   0 2183   1   0   0  15  40  17   3   5   4   0   0 100
Marco_Fabián  29 mex  1  1 20 17 30 100 644 719 896  23   0 2189   2   0   0   0  32  34   6   3   3   0   0 100
E_Boateng     24 gha  1  2 17 15 30 100 440 806 554  18   0 1652   1   0   0   0  28  27   1   1  10   0   0 100
P_Guerrero    34 per  1  2  2 22 30 100 801 768 260  24   0 2270   4   0   0   1   2  83  13   0   5   0   0 100
Raúl_Jiménez  27 mex  1  1  7 20 30 100 460 897 501  20   0 1818   2   0   0   1   5  39  10   1   9   0   0 100
Jermain_Defoe 35 eng  1  2  2 20 30 100 921 966 496  22   0 2093   1   0   0   0   3  30   5   1   3   0   0 100
Alessandrini  29 fra  1  1 18 20 30 100 481 598 250  23   1 2085   0   0   0   1  18  35   4   1   6   0   0 100
Ola_Kamara    29 nor  1  1  1 19 30 100 450 450 777  18   0 1708   1   0   0   0   0  47   6   0   0   0   0 100
Chris_Pontius 31 usa  1  1 16 19 30 100 490 665 158  18   0 1708   1   0   0   2  18  36   9   5   3   0   0 100
