Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
K_Schmeichel  31 den 21  1  1  1 30 893 100 100 100  48   0 4510   0 228  92   0   0   0   0   0   1   0   0 100
R-R_Zieler    29 ger 19  1  1  1 30 811 100 100 100   5   0  479   0  17   9   0   0   0   0   0   1   0   0 100
Ben_Hamer     30 eng 17  1  1  1 30 231 100 100 100   1   1   26   0   0   0   0   0   0   0   0   0   0   0 100
Gary_Cahill   32 eng  1 21  1  1 30 127 432 513 609  26   1 2229   1   1   0  26   0   5   2   0   8   0   0 100
L_Hernández   22 fra  1 20  2  2 30 100 553  53  73  30   3 2666   2   0   0  42   2   5   1   1   0   0   0 100
Patrice_Evra  36 fra  1 20 10  5 30 100 358 872 772  21   0 1864   0   0   0  20  12   4   2   0   7   0   0 100
M_Debuchy     32 fra  1 20 12  5 30 100 144  37 702  27   0 2429   0   0   0  29  21  14   2   3   8   0   0 100
C_Fuchs       31 aut  1 20 10  5 30 100  44  15 653  28  12 1989   0   0   0  21  13   4   0   2   3   0   0 100
Wes_Morgan    34 jam  1 19  1  1 30 100 869 560 537  21   3 1792   0   0   0  25   2   2   0   0   1   0   0 100
G_Troupée     20 ned  1 19 11  7 30 100 559 811 770  10   1  905   0   0   0   2   6   1   0   0   1   0   0 100
Danny_Simpson 31 eng  1 19  7  4 30 100 495 740 567  23   4 1854   0   0   0  24  10   3   0   0   2   0   0 100
P_Retsos      19 gre  1 19  2  2 30 100 298 776 770   5   2  345   0   0   0   1   1   1   0   0   1   0   0 100
Illarramendi  28 esp  1 18 20  1 30 100 342 835 794  26   0 2418   0   0   0  21  40   3   0   5   7   0   0 100
N_Mendy       25 fra  1 18 20  1 30 100 113  83 550  23   5 1796   0   0   0  17  27   3   0   2   1   0   0 100
Sergi_Roberto 26 esp  1 13 21  8 30 100 580 384 558  24   0 2226   0   0   0  10  28  13   3   4   7   0   0 100
Mario_Pasalic 23 cro  1 12 20  8 30 100 758 806 443  17   2 1496   1   0   0   5  25  12   1   4   1   0   0 100
Fabian_Delph  28 eng  1 11 20  9 30 100 300 260 281  22   1 1779   1   0   0  11  18  13   1   4   2   0   0 100
F_Valverde    20 uru  1  8 19 11 30 100 135 836 313  25   3 2137   1   0   0   2  29  27   4   5   1   0   0 100
Riyah_Mahrez  27 alg  1  1 21 18 30 100 564 588 555  28   1 2593   4   0   0   2  42  57  14   5   3   0   0 100
Ganso         28 bra  1  1 20 18 30 100 713 325 120  13   0 1056   0   0   0   0  17  18   0   1   8   0   0 100
G_Lo_Celso    21 arg  1  2 20 18 30 100 248 172 947  24   4 2017   2   0   0   4  36  39  10   2   3   0   0 100
I_Williams    23 esp  1  1 18 21 30 100 575 990 378  35   2 2811   7   0   0   1  19  84  24   3   1   0   0 100
Jamie_Vardy   31 eng  1  1  1 20 30 100 452 435 368  26  12 1698   0   0   0   0   1  24   5   0   1   0   0 100
Jonathan_R    24 uru  1  2  2 19 30 100 739 739 750   8   5  423   0   0   0   0   0   9   1   0   0   0   0 100
