Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Mattia_Perin  25 ita 22  1  1  1 30 827 100 100 100  40   0 3525   0 123  49   0   0   0   0   0   7   1   0 100
W_Caballero   36 arg 19  1  1  1 30 595 100 100 100  17   4 1534   0  55  23   0   0   0   0   0   2   0   0 100
Angus_Gunn    22 eng 18  1  1  1 30 484 100 100 100   1   1   43   0   3   1   0   0   0   0   0   0   0   0 100
N_Otamendi    30 arg  1 22  2  2 30 100 659 571 569  33   1 2879   0   0   0  30   2  11   1   1   9   0   0  94
Kyle_Walker   27 eng  1 22 13  7 30 107 557 137 798  37   3 2906   1   3   4  44  40  24   1   2   6   0   0  94
P_Zabaleta    33 arg  1 22 13  8 30 110  17 160 994  35   4 2961   1   0   0  32  20  29   3   1   8   0   0  94
John_Stones   23 eng  1 21  2  2 30 100 974 518 721  37   8 2917   0   0   0  28   2   4   1   0  11   0   0 100
A_Grimaldo    22 esp  1 21 13  6 30 100 566 394 631  34   6 2889   1   0   0  31  32  18   0   6   4   0   0  94
Rúben_Semedo  24 por  1 21  2  2 30 100 484 718 813  28   3 2464   0   0   0  29   5  12   1   0   1   0   0 100
Bacary_Sagna  35 fra  1 20 13  7 30 100 992 425 745  30   5 2392   2   0   0  30  33  13   2   4   0   0   0 100
S_Kolasinac   24 bih  1 20 10  6 30 100 819 428  92  40   7 3276   1   0   0  32  24  19   1   4   9   0   0 100
Johannes_Geis 24 ger  1 17 21  3 30 100 891 559 338  31   0 2794   1   0   0  21  68   5   1   8  10   0   0  94
D_Amartey     23 gha  1 18 19  1 30 100 397 894 985  32  14 2069   0   0   0  12  45   1   0   2   3   0   0 100
Marek_Hamsik  30 svk  1  7 23 16 30 100 785 405 374  36   3 2859   4   0   0   4  78  41   2  15   2   0   0 100
Yaya_Touré    34 civ  1 12 22 10 30 100 868 768  16  44  11 2753   0   0   0  10  77  24   3   8  12   0   0  98
J_Kimmich     23 ger  1 14 22  7 30 100 873 584 732  35   7 2502   2   0   0  10  66  17   4   5   6   0   0 100
Marco_Benassi 23 ita  1 11 21  9 30 100 655 866 790  32   7 2404   1   0   0   7  54  34   4   8   2   0   0 100
Lucas         25 bra  1  2 21 19 30 100 401 725 467  31   4 2461   5   0   0   0  31  81  14   1  13   0   0 100
Max_Meyer     22 ger  1  2 21 19 30 100 281 121 315  33  13 2091   4   0   0   1  48  57  10   4   3   0   0 100
L_Insigne     26 ita  1  2 19 24 30 100 528 943 658  40   9 2909   7   0   0   1  16 127  26   1   8   0   0  98
R_Sterling    23 eng  1  2 20 23 30 100 492 192 315  41  10 2867   3   0   0   0  16  99  18   1   4   0   0  94
M_Rashford    20 eng  1  2  2 23 30 100 782 399  79  39  10 2696   3   0   0   5   1 103  20   0   5   0   0  94
Santi_Mina    22 esp  1  1 17 21 30 100 984 359 624  41  20 2171   0   0   0   0  11  70  14   0   3   0   0 100
M_Gómez       22 uru  1  1  1 20 30 100 484 400 978  33   5 2147   2   0   0   3   0  53  11   0  10   0   0 100
