Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Sergio_Rico   24 esp 22  1  1  1 30 895 100 100 100  34   0 3131   0 163  54   0   0   0   0   0   0   0   0 100
David_Ospina  29 col 21  1  1  1 30 264 100 100 100  15   1 1370   0  56  26   0   0   0   0   0   1   0   0 100
Rafael        27 bra 19  1  1  1 30 734 100 100 100   1   0   93   0   4   4   0   0   0   0   0   0   0   0 100
Eric_Bailly   23 civ  1 22  2  2 30 100 928 467 498  36   1 2604   0   0   0  43   1   6   0   0   4   0   0 100
Alex_Sandro   27 bra  1 22 13  8 30 100 733 285 830  33   3 2638   0   0   0  46  22  14   1   4  11   0   0 100
Serge_Aurier  25 civ  1 22 13  8 30 100 350 194 929  30   2 2435   1   0   0  34  26  14   3   2   7   0   0 100
Niklas_Süle   22 ger  1 22  2  2 30 100 210 585 471  32   9 2412   0   0   0  36   2   4   1   0   3   0   0 100
D_Sánchez     21 col  1 22  2  2 30 100 102 382 490  34   7 2406   0   0   0  35   5   2   0   0   1   0   0 100
João_Cancelo  23 por  1 21 12  6 30 100 248 740 116  27  10 2021   0   0   0  18  27   9   1   2   2   0   0 100
Danilo        26 bra  1 20 12  6 30 100 992 988 510  27   6 1942   0   0   0  23  21   8   2   4  10   0   0 100
Dória         23 bra  1 20  2  2 30 111 790 152 136  26   5 1959   0   1   1  22   2   2   0   1  12   0   0 100
Nemanja_Matic 29 srb  1 20 23  2 30 100 250 293 559  30   2 2692   1   0   0  21  78   1   0   9   1   0   0 100
N'Golo_Kanté  27 fra  1 19 22  1 30 100 378 437 845  32   4 2534   0   0   0  15  45   7   0   1   2   0   0 100
A_Iniesta     33 esp  1  8 24 16 30 100 473 952 483  31   1 2576   1   0   0   2  55  29   3   7  10   0   0 100
Thiago        26 esp  1  8 23 15 30 100 689 894 363  35   5 2852   3   0   0   2  68  46   9   6   3   0   0 100
Eden_Hazard   27 bel  1  1 23 22 30 100 688 629 154  33   2 2660   2   0   0   1  56  56   8  12   2   0   0 100
J_Rodríguez   26 col  1  2 23 20 30 100 630 551 763  35   5 2652   6   0   0   3  51  45  11   7   8   0   0 100
Juan_Cuadrado 29 col  1  2 22 20 30 100 505 114 762  30   8 2201   2   0   0   1  34  39   8   0   9   0   0 100
JF_Quintero   25 col  1  1 20 18 30 100 474 853 766  27  10 1847   3   0   0   0  42  36   7   5   3   0   0 100
Neymar        26 bra  1  2 22 26 30 100 435   5 276  37   3 2694   7   0   0   3  20  96  24   0  18   0   0 100
Dries_Mertens 30 bel  1  2 20 24 30 100 574 985 799  32   2 2723   1   0   0   0  15 105  20   0   6   0   0 100
Falcao        32 col  1  2  2 22 30 100 548 416 707  36  13 2229   0   0   0   1   2  66   7   0   3   0   0 100
Mauro_Icardi  25 arg  1  2  2 22 30 100  41  35 178  38  23 2014   3   0   0   1   3  54  12   0   3   0   0 100
