Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Manuel_Neuer  32 ger 25  1  1  1 30 491 100 100 100  51   0 4822   1 271  72   0   0   0   0   0   2   0   0 100
S_Scuffet     21 ita 20  1  1  1 30 303 100 100 100   5   0  510   0  10   3   0   0   0   0   0   0   0   0 100
Lichtsteiner  34 sui  1 22 13  8 30 100 660 303 834  33   2 2816   1   0   0  38  27  23   3   3  12   0   0 100
Luke_Shaw     22 eng  1 22 13  7 30 100 322 389 749  32   0 2832   2   0   0  39  35  20   2   3  14   0   0 100
Iñigo_Mtnez   26 esp  1 22  2  2 30 100  51 279 205  35   6 2997   1   0   0  30   5   5   0   1   2   0   0 100
M_Nastasic    25 srb  1 21  1  1 30 100 457 927 962  32   4 2568   0   0   0  41   0   4   0   0   7   1   0 100
Rick_Karsdorp 23 ned  1 20 13  7 30 100 897 341 201  31   2 2842   2   0   0  29  42  20   6   4   3   0   0 100
P_Kimpembe    22 fra  1 20  2  2 30 100 688 572 607  28   3 2335   0   0   0  25   4   4   1   0   7   0   0 100
Rúben_Dias    21 por  1 20  1  1 30 100 429 547 490  22   1 2074   0   0   0  27   4   3   0   1   1   0   0 100
Andrea_Raggi  33 ita  1 20  2  2 30 146 359 345 321  19   3 1416   0   0   0  13   3   2   1   1   7   0   0 100
W_Carvalho    25 por  1 20 22  2 30 100 220 818 467  32   2 2797   1   0   0  23  63   9   1   5   9   0   0 100
Fernando      30 bra  1 18 21  2 30 100 980 651 606  24   2 2107   1   0   0  16  61   4   0   9   2   0   0 100
Rúben_Neves   21 por  1 17 20  3 30 100 557 601 180  29  10 2069   0   0   0   8  43   5   0   4   2   0   0 100
I_Gündogan    27 ger  1  9 23 14 30 100 864 918 210  31   1 2762   6   0   0  13  71  43   8   9  12   0   0 100
Aaron_Ramsey  27 wal  1  9 23 13 30 100 587 459 269  34   3 2849   1   0   0   3  69  43   5   7   5   0   0 100
L_Paredes     23 arg  1  8 21 12 30 100 246 245 696  34   1 2879   3   0   0   8  75  41   8   7   4   0   0  88
N_Bentaleb    23 alg  1 13 21  7 30 100 293 201 241  31   3 2389   2   0   0  10  56  17   1   8   3   0   0 100
R_Bazoer      21 ned  1 12 20 10 30 100  22 634  30  19   7 1310   0   0   0   4  33  15   1   2   8   0   0 100
H_Mkhitaryan  29 arm  1  2 23 22 30 100 552 225  80  32   3 2642   5   0   0   1  50  59  19   5   2   0   0 100
O-Chamberlain 24 eng  1  2 21 19 30 100 299 689 318  31   6 2448   5   0   0   0  43  61   8   4  11   0   0 100
Luis_Suárez   31 uru  1  2  2 25 30 100 469 409 888  42   3 3327   6   0   0   3   3 103  20   0  14   0   0 100
Gabriel_Jesus 20 bra  1  2 12 22 30 100 405 699  59  33   7 2638   2   0   0   1   7  78  10   1   2   0   0 100
J_Locadia     24 ned  1  2  2 20 30 100  85 152 382  32   6 2430   0   0   0   1   0  57   7   0   3   0   0 100
