Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Arrizabalaga  23 esp 21  1  1  1 30 811 100 100 100  44   0 4054   0 208  85   0   0   0   0   0   7   3   0 100
Yohann_Pelé   35 fra 20  1  1  1 30 104 100 100 100   4   2  268   0  11   5   0   0   0   0   0   1   0   0 100
Brice_Samba   23 fra 18  1  1  1 30 390 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Hiroki_Sakai  27 jpn  1 21 12  6 30 100 127 923 454  38   1 2911   2   0   0  39  28  14   3   4   5   0   0 100
Rolando       32 por  1 20  2  2 30 100 946 227 225  30   0 2713   0   0   0  48   2   6   0   0  10   0   0 100
Jesús_Vallejo 21 esp  1 20  1  1 30 100 512 544 647  24   5 1963   0   0   0  28   0   3   0   0  10   0   0 100
C_Lenglet     22 fra  1 20  2  2 30 100 442 278 281  31   8 2505   1   0   0  33   1   5   0   1   1   0   0 100
Karim_Rekik   23 ned  1 20  2  2 30 100  39 285 268  26   4 2171   1   0   0  28   2   2   0   0   9   0   0 100
Ben_Chilwell  21 eng  1 19 11  6 30 100 708 531 247  21   4 1753   0   0   0  12  11  10   0   0   5   0   0 100
Pedro_Pereira 20 por  1 19 10  5 30 100 488 654 327  18   1 1542   0   0   0  22   9   5   0   1   1   0   0 100
C_C-Vickers   20 usa  1 19  2  2 30 100 273 327 273  15   4 1198   0   0   0  14   2   3   0   1   1   0   0 100
W_Vainqueur   29 fra  1 18 21  3 30 100   5 552 309  27   1 2349   0   0   0  20  52   8   1   4   6   0   0 100
A_Z_Anguissa  22 cmr  1 17 20  2 30 100 758  30 310  28   6 2248   2   0   0  19  42   2   1   7   2   0   0 100
R_Mandragora  20 ita  1 17 19  2 30 100 959 827 625  27   6 2037   0   0   0  14  32   6   1   1   3   0   0 100
Morgan_Sanson 23 fra  1 13 22  8 30 100 711 390 378  33   0 2627   1   0   0  12  42  13   1   0  20   0   0 100
Maxime_López  20 fra  1  9 20 11 30 100 582 814 570  29  10 2018   1   0   0   8  44  19   3   4  11   0   0 100
Marc_Roca     21 esp  1 14 20  8 30 100 126 405  91   4   0  305   0   0   0   3   4   2   0   1   0   0   0 100
Z_Machach     22 fra  1 11 19  8 30 100 339  97 328  12   0  996   0   0   0   3  10   4   1   3   6   0   0 100
Dimitri_Payet 31 fra  1  2 22 21 30 100 200 675 115  33   1 2672   3   0   0   0  43  43   7   5  15   0   0 100
J_Correa      23 arg  1  2 19 17 30 100 283 961 628  27   5 2243   1   0   0   0  27  39   5   3   1   0   0 100
S-E_Khaoui    22 tun  1  2 18 16 30 100 298 580 329   2   0  187   0   0   0   0   3   1   0   0   1   0   0 100
F_Thauvin     25 fra  1  2 19 22 30 100 337 540 455  32   3 2708   4   0   0   3  19  74  15   1  14   0   0 100
B_Gomis       32 fra  1  2  2 21 30 100 192 199 147  28   3 2265   1   0   0   0   1  35   9   0  13   0   1 100
Richarlison   21 bra  1  1 16 20 30 100 792 883 453  32   6 2076   1   0   0   0  10  46   7   1   4   0   0 100
Clinton_N'Jie 24 cmr  1  2 17 19 30 100 277 399 926  27  15 1584   1   0   0   0   5  34   6   0   1   0   0 100
A_L_Iseka     20 bel  1  2  2 18 30 100 261 267 723   6   2  442   0   0   0   0   0   5   1   0   0   0   0 100
