Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Rulli       25 arg 22  1  1  1 30 505 100 100 100  45   0 4170   0 183  80   0   0   0   0   0   2   1   0 100
Iker_Casillas 36 esp 19  1  1  1 30  41 100 100 100   6   1  544   0  16  12   0   0   0   0   0   1   0   0 100
José_Sá       25 por 18  1  1  1 30 888 100 100 100   2   2   73   0   9   2   0   0   0   0   0   0   0   0 100
Pepe          35 por  1 21  2  2 30 100 700  37  52  25   0 1963   1   0   0  31   2   1   0   0   4   0   0 100
Sebas_Coates  27 uru  1 21  2  2 30 100 388 201 135  30   4 2605   0   0   0  38   3   4   1   1   3   0   0 100
N_Maksimovic  26 srb  1 21  1  1 30 100 100 589 534  27   3 2326   0   0   0  24   3   3   0   0   0   0   0 100
Felipe        28 bra  1 20  1  1 30 100 615 456 434  23   2 2008   1   0   0  27   3   2   0   0   3   0   0 100
Alex_Telles   25 bra  1 20 12  5 30 100 408  22 733  24   3 2106   2   0   0  33  13   8   0   1   2   0   0 100
D_Zappacosta  25 ita  1 20 12  7 30 100 401 570 566  23   3 2050   1   0   0  17   8   9   1   1   3   0   0 100
Maxi_Pereira  33 uru  1 20 12  5 30 106 337 284 767  23   3 1905   1   0   0  21  25   9   0   1   4   0   0 100
Rafinha       32 bra  1 20  9  5 30 100  30 969 656  21   3 1864   0   0   0  29  11   7   0   3   8   0   0 100
N_Radoja      25 srb  1 18 20  3 30 100 719 913 409  26   0 2366   1   0   0  23  54   7   0   6  13   0   0 100
Miguel_Veloso 31 por  1 17 20  2 30 100 291 754 603  27   6 2101   1   0   0  20  38   4   0   3   2   0   0 100
Xabi_Alonso   36 esp  1 17 20  3 30 100 378 438 675  24   6 1913   0   0   0  12  33   3   0   3   2   0   0 100
H_Herrera     27 mex  1  7 21 13 30 100 817 282 170  30   2 2387   2   0   0   6  42  25   6   3   9   0   0 100
André_André   28 por  1  6 20 13 30 100 865 403 932  27   2 2310   1   0   0   6  37  23   2   2   8   0   0 100
F_Melegoni    19 ita  1 10 18  8 30 100 141 991 168  25   4 2067   0   0   0   4  25  11   2   0   0   0   0 100
Denis_Suárez  24 esp  1  1 21 18 30 100 849 344 425  22   0 2043   0   0   0   3  27  27   1   2   4   0   0 100
Otávio        23 bra  1  1 20 18 30 100 642   1 268  19   2 1688   1   0   0   1  24  35   4   3   1   0   0 100
E_Cavani      31 uru  1  2  2 23 30 100  55 121   6  32   4 2641   2   0   0   0   0  68  16   0   3   0   0 100
M_Mandzukic   31 cro  1  1  1 21 30 100 588 570 854  29   4 2436   0   0   0   1   0  64   7   0   1   0   0 100
Wayne_Rooney  32 eng  1  1 17 21 30 100 538 924 320  21   2 1779   2   0   0   1  12  28   3   0   3   0   0 100
Y_Brahimi     28 alg  1  1 17 21 30 100 487 937  96  26   5 1852   0   0   0   0  17  51   6   2   8   0   0 100
Paco_Alcácer  24 esp  1  1  1 20 30 100 544 544 114  16  10  874   0   0   0   1   1  15   3   0   0   0   0 100
