Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Kevin_Dawson  26 uru 18  1  1  1 30 762 100 100 100  36   0 3366   0 117  51   0   0   0   0   0   1   0   0 100
A_Freitas     21 uru 17  1  1  1 30 606 100 100 100   5   0  415   0  16   5   0   0   0   0   0   0   0   0 100
T_Cardozo     22 uru 17  1  1  1 30 186 100 100 100   2   2  115   0   4   3   0   0   0   0   0   0   0   0 100
F_Formiliano  25 uru  1 19  1  1 30 100 801  81  82  34   2 2212   0   0   0  31   0   1   0   0   2   0   0 100
Ramón_Arias   26 uru  1 19  1  1 30 100 509 120 104  28   0 2558   0   0   0  35   3   1   0   0   3   0   0 100
Guille_Varela 25 uru  1 19 11  7 30 100 463 277 141  29   0 2715   0   0   0  33  26  12   2   2   6   0   0 100
Luciano_Lollo 31 arg  1 19  1  1 30 100 166  82 120  32   6 2721   2   0   0  33   2   3   1   0   1   0   0 100
Rodrigo_Rojo  29 uru  1 18 11  7 30 100 455 241 160  26   5 2053   3   0   0  19  17   9   1   1   2   0   0 100
M_Corujo      32 uru  1 18 11  6 30 100 399 197 169  24  10 1691   0   0   0  22  12  14   1   1   4   0   0 100
R_Miller      26 pan  1 18  1  1 30 100 331  96 102  15   6 1093   1   0   0  15   0   2   0   0   2   0   0 100
Luc_Hernández 26 uru  1 18 11  6 30 100 241 128 104  10   2  828   0   0   0   8   5   3   0   0   1   0   0 100
W_Gargano     34 uru  1 18 19  1 30 100 356 998 133  26   4 2127   2   0   0  25  44   3   1   6   7   0   1 100
Marcel_Novick 35 uru  1 15 18  3 30 100 269 310 114  23   8 1573   0   0   0  15  26   4   1   1   3   0   0 100
G_Pereira     27 uru  1 15 18  3 30 100 184 204 101  12   8  606   0   0   0   6   5   1   0   1   0   0   0 100
S_Cristóforo  24 uru  1 13 20  7 30 100 877 679 747  37   2 2769   1   0   0  14  49  12   1   5   3   0   0 100
Luis_Aguiar   33 uru  1 10 19 10 30 100 126 590 174  22   1 1936   2   0   0   2  40  10   2   4   1   0   0 100
F_Martínez    20 uru  1 11 17 11 30 100 158 983 132  18   5 1327   1   0   0   5  25   9   1   2   6   0   0 100
M_Rodríguez   37 arg  1  4 20 16 30 100 117 400 369  23   0 2142   1   0   0   1  32  33   6   2   4   0   0 100
Ceb_Rodríguez 33 uru  1  1 19 18 30 100  76 856 306  19   1 1721   2   0   0   0  18  36   5   3   2   0   0 100
Matías_Moya   20 arg  1  1 17 15 30 100 100 205 148   4   0  381   1   0   0   0   5   5   1   1   0   0   0 100
Gio_González  24 uru  1  2 17 15 30 100  98 190 207   7   1  621   1   0   0   0   6  15   2   0   1   0   0 100
Fid_Martínez  28 ecu  1  1 16 20 30 100 298 459 367  36  11 2689   3   0   0   2  28  85  12   1   4   0   0 100
Lucas_Viatri  31 arg  1  1  1 20 30 100  84  91  20  30   5 2335   1   0   0   0   1  42  10   0   3   0   0 100
Rodrigo_Mora  31 uru  1  1 13 19 30 100 126 185 991  33   2 2725   1   0   0   1   9  45  10   1   6   0   0 100
C_Palacios    28 uru  1  1  1 19 30 100  73  73 383  29  10 1751   0   0   0   0   0  31   3   0   1   0   0 100
F_Estoyanoff  36 uru  1  1 17 18 30 100 103 222 632  22  14 1038   1   0   0   0  17  13   4   0   1   0   0 100
B_Rodríguez   18 uru  1  1  1 17 30 100 100 100 150   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
