Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Jeroen_Zoet   27 ned 22  1  1  1 30 613 100 100 100  45   0 4189   0 236  92   0   0   0   0   0   6   0   0 100
Remko_Pasveer 34 ned 19  1  1  1 30  25 100 100 100   7   1  605   0  32  18   0   0   0   0   0   0   0   0 100
Hidde_Jurjus  24 ned 18  1  1  1 30 828  90  90  90   1   1    1   0   0   0   0   0   0   0   0   0   0   0 100
Luuk_Koopmans 24 ned 18  1  1  1 30 285 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Medhi_Benatia 30 mar  1 21  1  1 30 100 565 782 795  31   2 1938   0   0   0  29   1   3   0   0  13   0   0 100
T_Meunier     26 bel  1 21 12  7 30 100 476 887 534  22   3 1885   0   0   0  25  14  16   1   0   7   0   0 100
Isimat-Mirin  26 fra  1 20  1  1 30 100 774 999 961  26   1 2339   0   0   0  45   5   2   0   0   2   0   0 100
Joshua_Brenet 24 ned  1 20 12  6 30 100 424 516 235  30   4 2176   2   0   0  26  32   6   2   1   4   0   0 100
R_Bensebaini  23 alg  1 20  2  2 30 100 404 753 709  31   6 2427   0   0   0  24   7   3   0   0  12   0   0 100
A_Souquet     26 fra  1 20 12  6 30 100 116 868 363  25   1 2198   1   0   0  27  27  13   3   3   1   0   0 100
D_Schwaab     29 ger  1 19  1  1 30 100 961 961 923  25   6 1955   0   0   0  25   1   3   0   1   4   0   0 100
Menno_Koch    23 ned  1 18  2  1 30 100 840   2 993  22   6 1747   0   0   0  21   0   3   0   0   6   0   0 100
S_Alberto     21 ned  1 18  2  2 30 100  87  52  38  14   5  993   1   0   0  18   2   1   0   0   1   0   0 100
J_Hendrix     23 ned  1 18 20  1 30 100 538 647 954  26   5 2174   0   0   0  16  28   1   0   2   1   0   0 100
Claudio_Gomes 18 fra  1 16 18  2 30 100 451 497 236  18   4 1448   0   0   0  17  14   2   0   1   5   0   0 100
K_Strootman   28 ned  1 13 21  7 30 100  96 667 778  32   2 2203   1   0   0  11  34  11   3   2  11   0   0 100
Davy_Pröpper  26 ned  1  9 21 11 30 100 550 221 466  34   8 2470   1   0   0  14  34  23   3   5   3   0   0 100
M_van_Ginkel  25 ned  1  9 20 11 30 100 356 926 336  30   9 2080   1   0   0   6  41  18   2   2   3   0   0 100
B_Ramselaar   21 ned  1  1 20 18 30 100 936 752 878  29   7 2233   3   0   0   3  23  36   5   4  17   0   0 100
Siem_de_Jong  29 ned  1  1 20 18 30 100 925  29 614  19   2 1567   0   0   0   0  21  20   2   2   1   0   0 100
O_Zinchenko   21 ukr  1  1 20 16 30 100 928  21 702  29  13 1805   3   0   0   0  33  34   8   3   3   0   0 100
R-P_Lundqvist 20 swe  1  1 18 15 30 100 938 153 208  12   7  662   0   0   0   0   6  12   1   0   0   0   0 100
Kenneth_Paal  20 ned  1  1 17 15 30 100 956 665  50   4   4  138   0   0   0   0   3   1   0   0   1   0   0 100
A_Milik       24 pol  1  2  2 22 30 100 287 208  40  33   4 2609   2   0   0   0   3  95  10   0   1   0   0 100
Luuk_de_Jong  27 ned  1  1  1 20 30 100 947 976 939  26   3 2072   0   0   0   0   1  42   2   0   2   0   0 100
G_Pereiro     22 uru  1  1 18 20 30 100 910 565 790  29   6 1985   1   0   0   0   9  39   4   3   7   0   0 100
F_Chiesa      21 ita  1  1 17 20 30 100 303 324  94  14   3 1081   0   0   0   0   3  23   3   0   1   0   0 100
Z_Bakkali     22 bel  1  1 16 19 30 100 762 956 911   3   1  173   0   0   0   1   0   5   2   0   0   0   0 100
S_Bergwijn    20 ned  1  1 16 19 30 100 917 208  38  21   9 1111   1   0   0   0   6  15   3   0   2   0   0 100
Sam_Lammers   20 ned  1  1  2 18 30 100 991  65 289  15  10  645   0   0   0   1   0   8   1   0   1   0   0 100
