Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Franco_Armani 32 arg 21  1  1  1 30 312 100 100 100  41   0 3853   0 158  54   0   0   0   0   0   4   0   0 100
E_Martínez    26 arg 19  1  1  1 30 481 100 100 100   8   2  710   0  14   5   0   0   0   0   0   0   0   0 100
J_D_Ramírez   21 col 17  1  1  1 30 510 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Maidana     33 arg  1 21  1  1 30 100 298 486 555  29   1 2702   0   0   0  27   4   3   2   0   1   0   0  82
L_Vangioni    30 arg  1 20 13  6 30 100 609 298 927  33   1 3072   1   0   0  35  41  15   0   2  14   0   0  82
Javier_Pinola 35 arg  1 20  1  1 30 100 373 459 443  24   2 1717   1   0   0  21   3   1   0   0  11   0   0 100
R_Funes_Mori  27 arg  1 20  1  1 30 100 298 726 784  31   2 2806   0   0   0  21   4   4   1   1   7   0   1  82
Mtnez_Quarta  22 arg  1 20  1  1 30 100 122 508 474  28   5 2159   0   0   0  23   1   5   0   1   5   0   0  96
M_Saracchi    20 uru  1 19 11  7 30 100 950 593 563  27   4 2253   2   0   0  25  19   9   2   0   0   0   0 100
Camilo_Mayada 27 uru  1 19 16 10 30 100 826 715 556  19   2 1574   2   0   0  21  28  12   2   3   2   0   0 100
G_Montiel     21 arg  1 19 11  6 30 100 301 668 540  19   2 1715   3   0   0  14  23  13   1   2   0   0   0 100
J_Mascherano  33 arg  1 20 23  2 30 100 239 386 601  32   3 2887   0   0   0  15  64   8   0   6   2   0   0  82
L_Ponzio      36 arg  1 18 21  2 30 100 661 297 514  32   0 2764   0   0   0  19  54   6   1   4   4   0   0  82
G_Rodríguez   24 arg  1 15 19  4 30 100 588 984 460  22   3 1871   1   0   0  10  30   4   0   7   1   0   0 100
Enzo_Pérez    31 arg  1 12 21 13 30 100 761 980 878  30   0 2799   0   0   0   8  61  36   5   8  15   0   0  82
Ariel_Rojas   32 arg  1 12 19 12 30 100 494 935 553  19   1 1597   0   0   0   3  34  18   2   3   6   0   0 100
E_Palacios    20 arg  1 11 19 12 30 100 520 260 672  22   0 1898   2   0   0   3  34  22   4   3   2   0   0 100
G_Ramirez     28 uru  1  2 22 20 30 100 344 107 643  33   1 2984   7   0   0   3  42  74  16   4  13   0   0  82
Pity_Martinez 25 arg  1  1 20 18 30 100 452  60 918  27  11 2057   1   0   0   0  13  58  12   1   4   0   0  96
Lucas_Ocampos 23 arg  1  2 17 21 30 100 373 655 447  31   3 2791   3   0   0   2  14  94  15   1  10   0   1  82
Lucas_Alario  24 arg  1  2  2 20 30 100 149 135 869  30   5 2031   1   0   0   0   2  48   6   0   2   0   0  92
Seba_Driussi  22 arg  1  1  1 20 30 100 651 658 438  29  14 1878   0   0   0   0   1  58   9   0   7   0   0  92
Martín_Ojeda  19 arg  1  1 15 18 30 100 443 478 751  15   2  881   0   0   0   0   5  28   5   0   1   0   0 100
Rollheiser    19 arg  1  1 10 18 30 100 460 467  91   2   0  189   0   0   0   0   1   2   1   0   0   0   0 100
