Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Rui_Patrício  30 por 22  1  1  1 30 717 100 100 100  44   4 3921   0 184  76   0   0   0   0   0   2   0   0 100
A_Aréola      25 fra 21  1  1  1 30 294 100 100 100  15   2 1103   0  44  17   0   0   0   0   0   0   0   0 100
Kiko_Casilla  31 esp 20  1  1  1 30 467 100 100 100   2   0  191   0   9   3   0   0   0   0   0   0   0   0 100
Sergio_Ramos  31 esp  1 23  2  2 30 100 700 600 437  30   0 2710   0   0   0  44   6  12   0   1   8   0   0 100
Marcelo       29 bra  1 22 14  7 30 100 784 489 765  33   3 2730   0   0   0  37  25  24   0   2   7   0   0 100
R_Varane      24 fra  1 22  2  2 30 100 734 550 408  33   3 2878   0   0   0  35   4   5   1   1   9   0   0 100
D_Carvajal    25 esp  1 22 13  7 30 100 571 355 611  28   0 2484   1   0   0  36  32  19   0   3   6   6   0 100
Juan_Bernat   25 esp  1 21 13  6 30 100 615 115 652  29   2 2411   1   0   0  40  16  16   2   0  17   0   0 100
Nacho_F       27 esp  1 21  1  1 30 100 314 971 755  31   4 2522   0   0   0  37   5   5   0   0   3   0   0 100
Hugo_Mallo    26 esp  1 21 12  6 30 100 274 714 957  26   3 2210   0   0   0  35  21  19   1   3   5   0   0 100
Rúben_Vezo    23 por  1 20  2  2 30 100 625 735 549  26   4 2115   0   0   0  28   4   8   0   1   3   0   0 100
Casemiro      26 bra  1 19 23  3 30 100 825 286 433  35   6 2736   3   0   0  19  80  14   2   6   7   0   0 100
G_Krychowiak  28 pol  1 19 22  2 30 100 820 616 401  37  16 2121   0   0   0  15  51   7   1   4   1   0   0 100
Luka_Modric   32 cro  1  8 25 16 30 100 392  89 301  33   0 2969   3   0   0   3  90  47   8  12   4   0   0 100
Toni_Kroos    28 ger  1 11 24 12 30 100 793 730 235  35   4 2818   0   0   0  10  87  36   7  10  10   0   0 100
Mateo_Kovacic 23 cro  1  8 22 13 30 100 609 741 954  32   1 2869   1   0   0   6  67  41   2   5   4   0   0 100
Dani_Ceballos 21 esp  1  9 21 11 30 100 201 300 211  27   5 2096   2   0   0   7  45  21   5   3   1   0   0 100
Isco          25 esp  1  2 23 21 30 100 340 289 496  35   5 2729   4   0   0   3  46  81  15   6   5   0   0 100
J_Draxler     24 ger  1  2 22 19 30 100 201 877 739  29   3 2356   4   0   0   0  33  74  12   4   6   0   0 100
Marco_Asensio 22 esp  1  2 22 19 30 100 205 486 581  31   5 2479   3   0   0   1  36  68  12   5   6   0   0 100
Lucas_Vazquez 26 esp  1  1 21 19 30 100 742 388 601  24   4 1981   3   0   0   0  25  56   8   3   2   0   0 100
C_Ronaldo     33 por  1  2 23 25 30 100  82 167 695  33   2 2767   3   0   0   0  14 112  20   0   8   0   0 100
R_Lewandowski 29 pol  1  2  2 25 30 100 271 599 178  39   5 3106   3   0   0   2   2  98  18   0   6   0   0 100
André_Silva   22 por  1  2  2 22 30 100 534 455 182  50   3 3160   4   0   0   3   0 111  21   0  12   0   0 100
Iago_Aspas    30 esp  1  2 13 22 30 100 641 972 159  29   8 2122   2   0   0   0   4  72  11   1   3   0   0 100
