Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Ralf_Fährmann 29 ger 22  1  1  1 30 811 100 100 100  43   0 4070   0 145  56   0   0   0   0   0   1   0   0 100
Wellenreuther 22 ger 18  1  1  1 30 740 100 100 100   3   0  285   0  20   8   0   0   0   0   0   0   0   0 100
A_Nübel       21 ger 17  1  1  1 30 458  90  90  90   1   1   29   0   0   0   0   0   0   0   0   0   0   0 100
B_Höwedes     30 ger  1 21  1  1 30 111 729 986 958  31   1 2400   1   1   1  35   3   5   0   0   1   0   0 100
Jonas_Hector  27 ger  1 21 12  6 30 100 723  56 693  37   1 2544   0   0   0  31  28   9   1   2  10   0   0 100
C_Azpilicueta 28 esp  1 21 11  5 30 100 528 370 768  27   0 2493   2   0   0  29  19   5   1   0   1   0   0 100
A_Granqvist   32 swe  1 21  2  2 30 100 409 623 608  33   6 2740   0   0   0  38   2   3   0   0   3   0   0 100
A_Rüdiger     25 ger  1 21  2  2 30 100 275 161 139  31  10 2185   0   0   0  32   1   3   0   0   2   0   0 100
Coke          30 esp  1 20 12  7 30 100 996 466  77  27   6 2162   2   0   0  20  27   7   2   3   1   0   0 100
S_Escudero    28 esp  1 20 12  6 30 100 362 254 106  26  10 1867   0   0   0  10  10   5   0   0   5   0   0 100
Nathan_Aké    23 ned  1 19  1  1 30 100 886 674 666  24  13 1476   1   0   0  18   0   2   0   0   5   0   0 100
Fernandinho   32 bra  1 17 22  5 30 100  54 497 591  36   3 2781   1   0   0  15  66   6   0   4   3   0   0 100
Tomás_Rincón  30 ven  1 19 21  2 30 100  12  60 491  34  13 2324   0   0   0  11  39   2   0   1   1   0   0 100
Thiago_Maia   21 bra  1 16 20  2 30 100 568  94 400  26  13 1561   1   0   0  13  17   3   0   2   3   0   0 100
S_M-Savic     23 srb  1  9 22 14 30 100 851 356 228  38   5 2619   2   0   0   7  53  19   5   3  12   0   0 100
Allan         27 bra  1 13 21  8 30 100 743 708 731  26   2 2198   0   0   0   8  33  14   1   0   1   0   0 100
João_Mário    25 por  1  8 21 13 30 100  86 619 239  17   2 1445   1   0   0   3  26  13   3   2   2   0   0 100
Daniel_Wass   29 den  1  9 21 13 30 100 919 399 879  15   2 1210   0   0   0   5  21  20   2   4   2   0   0 100
Y_Konoplyanka 28 ukr  1  1 21 19 30 100 854 317 637  32   5 2633   1   0   0   1  32  53   6   2   7   0   0 100
Pablo_Sarabia 25 esp  1  1 20 18 30 100 892 422 655  20   4 1638   2   0   0   3  20  37   8   2   1   0   0 100
K_Mitroglou   30 gre  1  2  2 22 30 100 300 450 336  34   0 2981   1   0   0   0   1  56   8   0  16   0   0 100
S_Giovinco    31 ita  1  1 15 21 30 100 429 523 767  34   3 2573   3   0   0   1   8  43   8   3   2   0   0 100
Danny_Ings    25 eng  1  2  2 20 30 100 136 306 147  38  18 2070   0   0   0   1   6  34   5   1   6   0   0 100
Marko_Pjaca   22 cro  1  2 17 20 30 100 187 312  48  28  13 1564   0   0   0   1   8  21   1   0   1   0   0 100
