Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
A_Sidão       36 bra 19  1  1  1 30 468 100 100 100  18   5 1555   0  58  35   0   0   0   0   0   2   0   0 100
Jean_Filho    23 bra 19  1  1  1 30 315 100 100 100  30   0 2737   0 108  51   0   0   0   0   0   2   0   0 100
Lucas_Perri   21 bra 17  1  1  1 30 590 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Martins     31 bra  1 20  1  1 30 100 264 452 430  25   0 2268   0   0   0  27   4   2   0   0   8   0   0 100
Rodrigo_Caio  25 bra  1 20  1  1 30 100 224 446 404  22   1 1993   0   0   0  18   1   1   0   1   1   0   0 100
R_Arboleda    27 ecu  1 20  1  1 30 100 183 405 393  27   5 2230   0   0   0  24   2   2   0   0   2   0   0 100
Reinaldo      29 bra  1 20 11  7 30 100 106 660 486  26   0 2428   1   0   0  29  27  12   1   2   8   0   0 100
A_Santos      27 bra  1 19  1  1 30 100 871 655 646  22   5 1773   0   0   0  22   2   1   0   0   2   0   0 100
Jorge_Fucile  34 uru  1 19 11  7 30 100 823 648 516  22   0 2006   2   0   0  34  27  15   1   1   1   0   0 100
J_Tavares     22 bra  1 19 11  7 30 100 756 671 473  19   0 1777   1   0   0  19  29  10   1   2   2   0   0 100
Stefan_Medina 25 col  1 19  6  5 30 100 456 979 884  20   2 1737   0   0   0  17  17  10   0   0   1   0   0 100
Éder_Militão  20 bra  1 19  1  1 30 100  25 496 446  18   6 1254   0   0   0  16   3   3   0   1   3   0   0 100
Jucilei       30 bra  1 17 20  2 30 100 734 449 502  32   6 2205   2   0   0  24  45   4   1   5   2   0   0 100
Húdson        30 bra  1 15 19  3 30 100 602 493 470  29  10 1794   1   0   0  11  52   6   0   7   1   0   0 100
Petros        29 bra  1 12 21  8 30 100 633 149 529  24   1 2081   0   0   0  11  36  17   1   3   2   0   0 100
Andrés_Tello  21 col  1 11 19  9 30 100 968 661  60  25   2 2009   2   0   0   5  40  20   4   6   3   0   0 100
Diego_Souza   33 bra  1  2 20 17 30 100 420 339 716  26   2 2018   2   0   0   1  44  35   8   5  16   0   0 100
Valdívia      24 bra  1  2 20 17 30 100 514 208 861  29   6 2276   3   0   0   3  41  45  11   5   1   0   0 100
Lucas_Lima    28 bra  1  1 20 16 30 100 650 146 846  26   5 2041   1   0   0   1  36  30   5   4   4   0   0 100
Nenê          37 bra  1  3 20 16 30 100 408 130 784  21   0 1848   3   0   0   0  24  38   9   3   6   0   0 100
Luiz_Adriano  30 bra  1  2  2 21 30 100 963 958 170  26   0 2468   2   0   0   2   7  54  17   0   1   0   0 100
M_Guilherme   23 bra  1  1 17 20 30 100 450 569 443  25   2 2190   3   0   0   0  17  62  14   0   5   0   1 100
C_Stuani      31 uru  1  2  2 20 30 100 889 889 117  24   4 1976   0   0   0   0   0  40   4   0   1   0   0 100
S_Tréllez     28 col  1  1  1 19 30 100 446 432 730  16  10  909   0   0   0   1   2  22   2   0   1   0   0 100
G_Carneiro    23 uru  1  1  1 19 30 100 458 458 277  20   5 1580   0   0   0   0   0  29   5   0   1   0   0 100
