Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
E_Unsain      23 arg 19  1  1  1 30 689 100 100 100  38   0 3349   0 105  55   0   0   0   0   0   1   0   0 100
Alex_Bono     24 usa 18  1  1  1 30 964 100 100 100  10   4  725   0  18   6   0   0   0   0   0   5   0   0 100
Clint_Irwin   29 usa 18  1  1  1 30 750 100 100 100   2   1  189   0   7   0   0   0   0   0   0   0   0   0 100
A_Morgan      27 can  1 19 11  6 30 100 406 705 563  28   2 2488   2   0   0  21  24   8   2   3   3   0   0 100
Chris_Mavinga 27 fra  1 19 11  6 30 100 191 663 498  29   3 2518   1   0   0  31  29  12   1   1   3   0   0 100
C_Romero      20 arg  1 19  1  1 30 100 152 472 437  27   2 2500   0   0   0  16   5   0   0   0   9   0   0 100
Auro          22 bra  1 19 11  6 30 100  14 497 431  25   2 2069   0   0   0  18  13   9   0   0  17   0   0 100
Mason_Holgate 21 eng  1 18  1  1 30 100 488 460 517  24   1 2189   0   0   0  24   2   2   1   0   3   0   0 100
Matías_Viña   21 uru  1 17 10  6 30 100 723 529 573  20   0 1781   2   0   0  19  12  16   2   0   5   0   0 100
E_Cedillo     22 mex  1 17  1  1 30 100 650 418 438  20   1 1813   0   0   0  16   0   3   0   0  11   0   0 100
É_Gutiérrez   22 mex  1 17 19  2 30 100 756 850 500  28   0 2647   3   0   0  26  51   4   1   2   3   0   0 100
R_Jurado      21 mex  1 15 18  3 30 100 648 927 425  29   1 2632   2   0   0  16  40   1   0   2  13   0   0 100
Liam_Fraser   20 can  1 15 17  2 30 100 612 750 416  22   0 2049   1   0   0  14  32   0   0   3   7   0   0 100
J_Osorio      26 can  1 10 19 11 30 100 536 166 516  20   0 1758   1   0   0   5  24  16   1   3   7   0   0 100
Marky_Delgado 23 usa  1 10 18 10 30 100 577 848 517  22   2 1931   1   0   0   6  37  10   1   4   1   0   0 100
F_Waller      21 uru  1  8 18 10 30 100 532 631 511  19   0 1589   0   0   0   4  19  11   1   0   6   0   0 100
M_Henrique    21 bra  1  2 17 15 30 100 480 831 642  18   0 1666   1   0   0   1  24  32   3   3   1   0   0 100
Mariano_Miño  24 arg  1  1 17 16 30 100 486 806 529  10   0  926   0   0   0   1  14  17   1   0   1   0   0 100
Aidan_Daniels 20 can  1  2 17 15 30 100 483 686 560  20   2 1646   1   0   0   1  20  18   2   2   2   0   0 100
Mariano_Díaz  24 dom  1  2  2 20 30 100 667 635 537  38  10 2360   1   0   0   1   1  59   7   0   9   0   0 100
Henry_Martín  26 mex  1  1  1 19 30 100 426 426 514  34  17 1763   2   0   0   0   0  52  12   0   2   0   0 100
Ryan_Telfer   24 can  1  1 14 18 30 100 466 554 315  24   4 1857   1   0   0   1  10  36   6   2  11   0   0 100
Ayo_Akinola   18 usa  1  1 13 18 30 100 457 565  26  28   7 1992   1   0   0   1  16  47   6   1  13   0   0 100
