Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Miguel_Vargas 22 chi 17  1  1  1 30 676 100 100 100  11   5  930   0  34  13   0   0   0   0   0   0   0   0 100
Álvaro_Ogalde 21 chi 17  1  1  1 30 490 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Voboril     31 arg  1 19 11  7 30 100 920 700 486  32   2 2522   1   0   0  43  26  17   0   3   5   0   0  82
JP_Fuenzalida 33 chi  1 19 15 10 30 100 537 745 657  34   7 2705   2   0   0  37  33  31   4   4   7   0   0  82
S_Magnasco    26 chi  1 19 11  6 30 100 509 630 597  31   3 2522   1   0   0  36  25  16   3   1   8   0   0  82
Fer_Cordero   31 chi  1 18 11  6 30 100 888 660 471  34   9 2674   1   0   0  33  21  16   0   3   5   0   0  82
B_Kuscevic    22 chi  1 18  1  1 30 100 348 426 418  22   4 1716   0   0   0  28   2   2   0   0   9   0   0 100
Rai_Rebolledo 21 chi  1 18 10  6 30 100 345 555 493  26   6 2113   2   0   0  27  20  10   1   0   0   0   0 100
B_Ampuero     25 chi  1 18  1  1 30 100 299 420 425  16   0 1494   1   0   0  19   0   1   0   0   5   0   0 100
Y_Oyanedel    18 chi  1 17 10  6 30 100 667 538 442  20   3 1695   2   0   0  13   9   5   0   2   7   0   0 100
César_Fuentes 25 chi  1 16 18  2 30 100 552 969 444  30   0 2477   1   0   0   9  44   5   0   4   0   0   0  82
I_Saavedra    19 chi  1 15 17  2 30 100 686 630 454  22   6 1561   0   0   0  17  16   2   0   1   1   0   0 100
Luciano_Aued  31 arg  1 12 19 11 30 100 562 860 473  27   1 2297   1   0   0   8  42  19   0   5   7   0   0  82
Carlos_Lobos  21 chi  1 10 18 11 30 100 521 656 520  26   8 1845   0   0   0   6  23  19   2   2   9   0   0 100
Jaime_Carreño 21 chi  1 10 18 10 30 100 454 592 430  16   2 1419   0   0   0   2  18   6   0   0   2   0   0 100
D_Buonanotte  30 arg  1  2 20 17 30 100 465 186 625  29   3 2374   2   0   0   2  41  38   4   5   7   0   0  82
Mark_González 33 chi  1  3 20 17 30 100  36  39 242  31   3 2464   2   0   0   5  38  42   8   6   2   0   0  82
Diego_Rojas   23 chi  1  3 19 15 30 100 494  50 626  19   4 1609   0   0   0   2  27  24   4   1   4   0   0  82
M_Bolados     22 chi  1  2 18 16 30 100 426 806 658  24   9 1563   1   0   0   0  23  24   6   1   2   0   0 100
E_Paredes     37 chi  1  2  2 19 30 100 889 945 814  38   1 2784   5   0   0   0   1  57  13   0  11   0   0  82
A_Vilches     26 chi  1  1  1 19 30 100 456 400 484  34  11 2520   1   0   0   2   0  54  13   0   5   0   0 100
David_Llanos  29 chi  1  1  1 19 30 100 431 431 370  35  10 2526   1   0   0   0   0  41   6   0   7   0   0 100
D_Henríquez   19 chi  1  1  1 17 30 100 431 431 781  12   6  780   0   0   0   0   0   9   3   0   2   0   0 100
