Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Johny_Herrera 37 chi 20  1  1  1 30 298 100 100 100  47   0 4354   0 156  46   0   0   0   0   0   3   0   0 100
F_De_Paul     27 arg 18  1  1  1 30 498 105 105 105   5   3  358   0  11   7   0   0   0   0   0   0   0   0 100
Ignacio_Azúa  20 chi 17  1  1  1 30 510 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Beausejour  34 chi  1 19 16  7 30 100 837 660 580  30   1 2514   1   0   0  31  23  17   2   2   9   0   0  90
Gonzalo_Piovi 23 arg  1 18 11  6 30 100 960 606 633  33   2 2802   1   0   0  27  21  20   4   1  16   0   0  90
Matías_Rguez  32 arg  1 18 11  6 30 100 889 676 687  34   2 3140   1   0   0  33  24  27   4   2   2   0   0  93
Fabián_Monzón 31 arg  1 18 11  6 30 100 780 678 634  32   2 2927   2   0   0  26  26  25   3   2  13   0   0  93
N_Gallardo    19 arg  1 18 10  6 30 100  18 578 471  20   3 1657   0   0   0  13  14   6   0   1   6   0   0  93
Léo_Gomes     22 bra  1 17 10  6 30 100 882 632 466  27   2 2480   0   0   0  18  14  11   0   4  12   0   0 100
F_Saavedra    22 chi  1 17 10  6 30 100 825 575 525  30   4 2486   1   0   0  26  15  13   1   1   6   0   0  95
Fabio_Rojas   19 per  1 17 10  6 30 100 663 662 523  22   2 1953   1   0   0  13  23  12   1   2   4   0   0 100
Lucas_Alarcón 18 chi  1 17  1  1 30 100 624 465 463   9   2  724   0   0   0   8   1   1   0   0   1   0   0 100
Erick_Pulgar  24 chi  1 18 20  2 30 100  42 111 930  19   5 1182   0   0   0  10  26   4   0   1   2   0   0  99
Lorenzo_Reyes 27 chi  1 17 20  2 30 100 648  22 493  42   7 2963   0   0   0  21  48   5   2   5  22   0   0  93
Rafael_Caroca 29 chi  1 15 19  1 30 100 701 486 470  43  15 3032   2   0   0  17  56   3   0   7   6   0   0 100
Feli_Seymour  31 chi  1 13 19 10 30 100 626 979 726  42   9 3134   3   0   0  11  53  40   5   6  15   0   0  93
Yerko_Leiva   20 chi  1 10 18 10 30 100 578  55 672  32   4 2316   2   0   0   8  57  34   4   4  17   0   0 100
Diego_Valdés  24 chi  1  2 20 19 30 100 903 316 164  15   1 1289   1   0   0   1  17  23   4   2   2   0   0  93
Franz_Schultz 27 chi  1  2 18 16 30 100 467 691 841  35   5 2653   1   0   0   1  26  54   9   1   5   0   0  99
Ángelo_Araos  21 chi  1  1 17 16 30 100 453 647 600  13   5  873   1   0   0   0  12  25   3   3   1   0   0 100
Iván_Rozas    20 chi  1  2 17 15 30 100 460 510 492   2   2   69   0   0   0   0   0   1   1   0   0   0   0 100
Isaac_Díaz    28 chi  1  1  1 19 30 100 468 468 772  19   7 1348   0   0   0   0   0  33   6   0   1   0   0 100
J_Zacaría     28 arg  1  1 17 19 30 100 550 653 456  34   7 2691   2   0   0   3  21  63  12   2   2   0   0 100
Yef_Soteldo   21 ven  1  1 15 19 30 100 469 648 394  29   6 2053   2   0   0   1  17  52   4   4   2   0   0 100
Gonzalo_Bueno 25 uru  1  1 15 19 30 100 488 481 162  12   6  645   0   0   0   1   3  18   2   0   0   0   0 100
F_Arancibia   22 chi  1  1 15 18 30 100 487 523 811  28   4 2151   9   0   0   1   6  80  20   1   3   0   0  93
