Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
M_Campaña     28 uru 20  1  1  1 30 446 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Damián_Albil  38 arg 17  1  1  1 30 935 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Franco_Vélez  21 arg 17  1  1  1 30 410 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Bustos      21 arg  1 20 11  7 30 100  78 214 149   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gastón_Silva  23 uru  1 20 11  7 30 100  61 343 219   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jorge_Figal   23 arg  1 19  1  1 30 100 946  86  98   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Amorebieta  32 ven  1 19  1  1 30 100 810  87  91   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Juan_S_Miño   28 arg  1 19 17 11 30 100 810 348 271   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alan_Franco   21 arg  1 19  1  1 30 100 624  82 106   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Brítez      25 arg  1 18 11  6 30 100 818 207 103   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Moreira     21 arg  1 18  1  1 30 100 786  85  78   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Diego_Rguez   28 uru  1 16 19  3 30 100 387 951 195   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Domingo     32 arg  1 17 19  2 30 100 222 744  74   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Gaibor      26 ecu  1 10 19 10 30 100 280 642 241   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Ortiz       25 arg  1 10 17 10 30 100 225 851 229   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Maxi_Meza     26 arg  1  3 20 17 30 100  56 550 206   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gastón_Togni  20 arg  1  2 18 16 30 100  77 677 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Blanco      22 arg  1  1 17 16 30 100  90 484 213   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Silvio_Romero 27 arg  1  1  1 20 30 100  85  99 681   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Gigliotti   30 arg  1  1  1 20 30 100  97  76 578   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Leandro_Fdez  26 arg  1  1 12 19 30 100  96 227 989   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Menéndez    23 arg  1  1 16 19 30 100  85 197 838   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Pizzini     24 arg  1  1 16 19 30 100 100 142 647   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Benítez     22 arg  1  1 17 18 30 100  80 108 948   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gonzalo_Verón 28 arg  1  1  1 18 30 100 100 100 636   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Braian_Romero 26 arg  1  1 16 18 30 100 100 135 570   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
