Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
T_Courtois    24 bel 23  1  1  1 30 958 100 100 100  54   0 5120   0 280  77   0   0   0   0   0   0   0   0 100
Keylor_Navas  30 crc 20  1  1  1 30 850 100 100 100   5   1  378   0  12   3   0   0   0   0   0   0   0   0 100
Eduardo       34 por 18  1  1  1 30 132 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gary_Cahill   31 eng  1 20  1  1 30 100 873 259 251  34   0 2866   1   0   0  34   2   2   0   0   6   0   1 100
C_Azpilicueta 27 esp  1 20 10  5 30 100 801 781 356  29   1 2631   1   0   0  37  26   7   0   3   6   0   0  94
Daley_Blind   27 ned  1 20 10  6 30 100 348 614 455  31   3 2743   0   0   0  38  24  23   2   1   6   2   0 100
Kurt_Zouma    22 fra  1 20  1  1 30 100 310 326 293  34   1 3076   0   0   0  36   4   5   0   1   8   0   0  94
John_Terry    36 eng  1 19  1  1 30 100 640 257 290  16   1 1449   0   0   0   9   1   0   0   0   3   0   0  94
Nathan_Aké    22 ned  1 19  1  1 30 100  31 299 285  29   7 2226   1   0   0  24   2   4   0   0   6   0   0 100
Kenedy        21 bra  1 18  9  4 30 100 866 530 407  29  14 1815   0   0   0  21  11  11   1   1   1   0   0 100
Todd_Kane     23 eng  1 18 10  5 30 100  38 462 365  18   3 1389   0   0   0  12  16  11   2   1   6   0   0 100
Ola_Aina      20 nga  1 17 10  5 30 100 108 389 286   4   0  378   0   0   0   4   5   3   0   1   0   0   0 100
N'Golo_Kanté  26 fra  1 18 21  1 30 100 778 382 396  38   4 3277   1   0   0  25  58   9   3   4   1   0   0 100
Thiago_Motta  34 ita  1 17 20  2 30 100 868 205 556  27   3 2130   0   0   0  16  39   4   0   1   2   0   0 100
M_Carrick     35 eng  1 18 19  1 30 100 640 946 265  16   2 1177   0   0   0   9  23   2   0   2  11   0   0 100
N_Chalobah    22 eng  1 15 18  2 30 100 604 641 237  17   4 1227   0   0   0  12  12   2   0   1   0   0   0 100
Cesc_Fàbregas 29 esp  1  8 21 12 30 100 437 868 937  45   1 3357   3   0   0   5  77  44   9   7   9   0   1 100
D_Drinkwater  27 eng  1 11 19  8 30 100 360 844 509  27  19 1270   0   0   0   2  29   9   2   2   2   0   0  94
Loftus-Cheek  21 eng  1  6 17 11 30 100 326 700 323  16  13  634   0   0   0   2   8   6   0   0   1   0   0  94
Eden_Hazard   26 bel  1  1 22 21 30 100 224 408 289  43   1 3552   7   0   0   0  49  78  16   4   8   0   0  89
Willian       28 bra  1  1 20 20 30 100 262 974 205  26   2 1979   4   0   0   0  27  49   8   3   1   0   0 100
Victor_Moses  26 nga  1  1 19 16 30 100 277 247 739  18   8 1121   0   0   0   1  12  24   5   2   0   0   0 100
C_Musonda     20 bel  1  1 19 17 30 100 288  30 530  20  13  842   0   0   0   0   9  18   1   0   0   0   0 100
Diego_Costa   28 esp  1  1  1 22 30 100 254 253 213  44  17 2567   2   0   0   1   0  80  14   0   5   0   0 100
Chicharito    28 mex  1  1  1 20 30 100 266 276 890  45   5 3364   3   0   0   1   2  78  14   1  13   0   0 100
Pedro         29 esp  1  1 18 20 30 100 327 507 442  21  16  775   0   0   0   2   6  20   3   0   0   0   0 100
