Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Cássio        31 bra 20  1  1  1 30 663 100 100 100  37   0 3346   0 131  61   0   0   0   0   0   7   0   0 100
Walter        31 bra 18  1  1  1 30 940 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Caíque_França 23 bra 18  1  1  1 30 878 100 100 100   7   3  560   0  37   7   0   0   0   0   0   0   0   0 100
Éder_Balanta  26 col  1 21  2  2 30 100 391 864 925  32   0 2437   2   0   0  32   4   5   1   0  13   0   0 100
Fágner        29 bra  1 20 11  8 30 100 532 756 509  29   0 2525   2   0   0  42  25  13   1   6  10   0   0 100
F_Balbuena    27 par  1 20  1  1 30 100 246 412 415  27   0 2338   2   0   0  33   1   1   0   0   5   0   0 100
Vilson        30 bra  1 20  1  1 30 100 146 436 422  25   0 2109   0   0   0  32   2   0   0   0   4   0   0 100
P_Henrique    23 bra  1 19  1  1 30 100 908 432 428  28   6 2115   0   0   0  29   2   2   0   0  11   0   0 100
Sidcley       25 bra  1 18 11  7 30 100 869 547 436  22   8 1481   0   0   0  21  11   6   0   2   6   0   0 100
Marllon       26 bra  1 18  1  1 30 100 848 471 429  20  10 1272   1   0   0  20   1   1   0   1   1   0   0 100
Léo_Príncipe  22 bra  1 18 10  6 30 100 264 487 450  14   5  970   0   0   0  11   7   4   0   0   6   0   0 100
J_Capixaba    21 bra  1 18 10  6 30 100 241 455 453  12  11  548   0   0   0   8   2   4   0   0   2   0   0 100
Gabriel       26 bra  1 16 19  3 30 100 531 949 416  25   1 2051   1   0   0  10  42   3   0   3  12   0   0 100
Renê_Júnior   29 bra  1 16 19  3 30 100 623 861 482  27   3 2269   0   0   0  16  30  12   1   2   5   0   0 100
Paulo_Roberto 31 bra  1 15 19  3 30 100 488 209 442  13   6  840   0   0   0   4  11   2   0   0   4   0   0 100
Diego_Laxalt  25 uru  1 11 20  9 30 100 675 945 752  32   0 2531   0   0   0   6  57  22   4   3   8   0   0 100
Maycon        21 bra  1 10 19 11 30 100 423 410 469  25   6 1893   0   0   0   1  33  14   1   4   8   0   0 100
Rodriguinho   30 bra  1  2 19 17 30 100 503 826 631  25   3 2051   2   0   0   3  24  28   5   2   4   0   0 100
Marq_Gabriel  28 bra  1  2 19 17 30 100 488 760 634  27   5 1899   3   0   0   3  33  25   6   4   9   0   0 100
Mateus_Vital  20 bra  1  2 18 16 30 100 455 928 500  18   8 1099   1   0   0   1  16  14   1   2   1   0   0 100
Pedrinho      20 bra  1  3 18 15 30 100 440 618 490  10   8  456   0   0   0   0   4   7   1   0   0   0   0 100
Raúl_Ruidíaz  27 per  1  1  1 21 30 100 868 936 365  33   2 2404   0   0   0   1   0  49  11   0  14   0   0 100
M_Gómez       22 uru  1  1  1 20 30 100 464 380 943  32   4 2119   2   0   0   3   0  50  11   0  10   0   0 100
Ángel_Romero  26 par  1  1 17 20 30 100 421 593 119  28  12 1649   1   0   0   0  16  26   5   3   2   0   0 100
Lucca         28 bra  1  1 16 19 30 100 440 524 953  22  12 1187   3   0   0   0   9  33   5   1   0   0   0 100
Clayson       23 bra  1  1  1 18 30 100 408 408 563  10   9  391   0   0   0   0   0   5   0   0   1   0   0 100
