Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Fábio         38 bra 19  1  1  1 30 846 100 100 100  10   0  924   0  35  14   0   0   0   0   0   0   0   0 100
Rafael        29 bra 18  1  1  1 30 808 100 100 100   6   1  503   0  30  12   0   0   0   0   0   0   0   0 100
Lucas_França  22 bra 17  1  1  1 30 250 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Vitor_Eudes   20 bra 17  1  1  1 30 150 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Manoel        28 bra  1 19  1  1 30 100 680  97  90   9   0  706   0   0   0   4   1   0   0   0   0   0   0  90
Ezequiel      25 bra  1 19 11  7 30 100 608 187 140   9   0  771   0   0   0  11   9   3   1   1   1   0   0  82
Digão         30 bra  1 19  1  1 30 100 558  98  98   9   1  802   0   0   0   6   0   0   0   0   1   0   0  76
Egídio        32 bra  1 19 11  7 30 100 540 107 148   7   0  540   0   0   0   4   1   5   1   0   0   0   0  85
Léo           30 bra  1 19  1  1 30 100 435  95  95   9   2  748   0   0   0  14   0   0   0   0   0   0   0  78
Dedé          30 bra  1 19  1  1 30 100 250  90  90  10   2  707   0   0   0   6   0   0   0   0   5   0   0  68
M_Hermes      23 bra  1 18 11  6 30 100 445 125  95   7   2  550   0   0   0   5   5   1   0   0   0   0   0 100
Edílson       32 bra  1 18 11  6 30 100 363 133 104   7   2  480   0   0   0   5   5   2   0   0   1   2   0 100
M_Cerqueira   21 bra  1 18  1  1 30 100 346  80  86   8   2  593   0   0   0   6   0   2   0   0   0   0   0  94
Victor_Luiz   21 bra  1 17 10  6 30 100 612 114 100   2   1  142   0   0   0   1   2   0   0   0   0   0   0 100
Arthur        19 bra  1 17  1  1 30 100 298  98  98   3   3  139   0   0   0   0   0   0   0   0   1   0   0 100
F_Augusto     24 bra  1 18 20  2 30 100 361 490 209   7   0  625   0   0   0   3   9   1   0   1   0   0   0 100
Henrique      33 bra  1 17 19  2 30 100 136 544  98   9   3  650   0   0   0   4   8   1   0   0   1   0   0 100
Lucas_Romero  24 arg  1 16 19  3 30 100 134 397 140   8   1  640   0   0   0   3  12   2   1   1   0   0   0 100
F_Mancuello   29 arg  1  8 19 12 30 100 131 666 130   9   1  631   0   0   0   2  11   3   1   0   3   0   0  92
Lucas_Silva   25 bra  1 12 19 12 30 100 141 657 140   9   1  708   0   0   0   3   7   4   1   1   0   0   0  76
Ariel_Cabral  31 arg  1 13 19 10 30 100  95 616 106   6   0  576   0   0   0   0   3   3   0   0   0   0   0 100
Bruno_Silva   32 bra  1  7 19 11 30 100 144 367 155   8   2  427   0   0   0   2   7   8   1   1   0   0   0 100
Thiago_Neves  33 bra  1  3 20 17 30 100 116 449 192   7   0  668   2   0   0   1  13   7   3   4   0   0   0 100
Rafinha       35 bra  1  2 19 17 30 100 100 660 140   5   3  341   0   0   0   0   6   3   1   1   0   0   0 100
Robinho       31 bra  1  2 19 17 30 100 100 328 106   3   2  188   0   0   0   0   4   2   0   0   0   0   0 100
N_Sansone     26 ita  1  2  2 20 30 100  21 148 971   9   0  792   2   0   0   0   1  14   6   0   1   0   0  76
Fred          35 bra  1  1  1 20 30 100 114  86 388  10   2  755   0   0   0   1   0   8   3   0   2   0   0  76
Rafael_Sóbis  33 bra  1  1  1 19 30 100  95  95 953   8   2  563   0   0   0   0   0  18   2   0   5   0   0  82
R_Marques     35 bra  1  1  1 18 30 100 100 100 887   4   1  216   0   0   0   0   0   4   1   0   0   0   0 100
Sassá         24 bra  1  1  3 18 30 100  90  90 831   3   2  146   0   0   0   0   0   4   1   0   0   0   0 100
Carlos_Auzqui 27 arg  1  1 16 18 30 100 100 100 500   1   1   50   0   0   0   0   0   0   0   0   0   0   0 100
David         23 bra  1  1 16 18 30 100 100 100 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
