Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Joel_Robles   27 esp 20  1  1  1 30 921 100 100 100  28   0 2574   0 112  48   0   0   0   0   0   3   0   0 100
Stekelenburg  35 ned 18  1  1  1 30  71 100 100 100   2   1  165   0   6   1   0   0   0   0   0   0   0   0 100
L_Baines      33 eng  1 21 11  6 30 100 131 894 411  17   0 1567   0   0   0  19  14   6   1   0   4   0   0 100
A_Williams    33 wal  1 20  1  1 30 111 966 270 224  21   4 1827   0   0   0  21   1   1   0   0   5   0   0 100
F_Fazio       31 arg  1 20  1  1 30 100 897 497 500  17   1 1523   0   0   0  17   1   1   0   0   3   0   0 100
S_Coleman     29 irl  1 20 11  7 30  79 846 704 351  18   0 1703   0   0   0  22  11  10   1   2   0   0   0 100
Phil_Jagielka 35 eng  1 19  1  1 30 100 455 365 381  13   1 1098   0   0   0   7   2   0   0   0   0   0   0  88
Josh_Tymon    19 eng  1 19 11  6 30 100   9 387 298  11   1  862   0   0   0   6   6   5   0   2   1   0   0 100
Eriq_Zavaleta 26 usa  1 18  1  1 30 100 733 292 288  11   1  939   0   0   0   5   2   2   0   0   6   0   0  88
Luke_Garbutt  24 eng  1 18  9  4 30 100 464 506 305  13   1 1158   0   0   0  14   8   1   0   0   3   3   0  92
M_Pennington  23 eng  1 17  1  1 30 100 265 256 250   6   0  569   1   0   0   6   0   0   0   0   3   0   0  88
Schneiderlin  28 fra  1 18 20  1 30 100 864 925 215  25   7 1791   0   0   0  10  19   0   0   2   5   0   0 100
Muhamed_Besic 25 bih  1 17 19  1 30 100 569 378 239  20   7 1237   0   0   0  10  24   0   0   1   0   0   0  94
Gareth_Barry  37 eng  1 18 19  1 30 100 741 203 283  12   0  900   0   0   0   2  11   1   0   1   7   0   1 100
Idrissa_Gueye 28 sen  1 12 20  7 30 100 616 420 329  20   1 1607   0   0   0   8  21   8   1   1   2   0   0 100
J_McCarthy    27 irl  1 12 20  7 30 100 450 221 421  19   3 1563   0   0   0   6  23  12   3   1   3   0   0 100
Tom_Davies    19 eng  1  6 18 10 30 100 355 150 943  15   2 1100   1   0   0   1  22  21   5   2   1   0   0  88
Ross_Barkley  24 eng  1  1 20 18 30 100 192 945 405  24   7 1721   2   0   0   0  20  40   8   0   1   0   0  88
Aaron_Lennon  30 eng  1  1 19 17 30 100 220 562 823  22  10 1145   1   0   0   0  15  25   3   1   3   0   0 100
Y_Bolasie     28 cod  1  1 19 17 30 100 286 487 571  16   5 1076   1   0   0   0  15  12   1   1   1   0   0  96
Karim_Benzema 30 fra  1  2  1 23 30 100  92 971  24  22   2 1779   2   0   0   2   1  45   8   0   7   0   0 100
Leon_Bailey   20 jam  1  2 18 20 30 100 139 504 817  23  11 1114   1   0   0   1  10  35   6   1   1   0   0 100
K_Mirallas    30 bel  1  1 18 20 30 100 315 561 444  12   6  632   0   0   0   1   6  10   1   2   0   0   0 100
E_Valencia    28 ecu  1  1  1 19 30 100 275 247   9   6   3  341   0   0   0   0   0   4   1   0   1   0   0  90
Arouna_Koné   34 civ  1  1  1 18 30 100 266 273 604   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Lookman     20 eng  1  1 14 17 30 100 296 310 282   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_C-Lewin     21 eng  1  1  1 17 30 100 280 280  67   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
