Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Marcelo_Grohe 31 bra 21  1  1  1 30 167 100 100 100  44   0 4161   0 142  55   0   0   0   0   0   6   0   0 100
Paulo_Victor  31 bra 19  1  1  1 30 469 100 100 100   1   0   97   0   1   5   0   0   0   0   0   0   0   0 100
Léo           23 bra 17  1  1  1 30 640 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
W_Kannemann   27 arg  1 20  1  1 30 100 931 514 460  42   3 2780   0   0   0  39   4   2   0   1   5   0   0 100
Pedro_Geromel 33 bra  1 20  1  1 30 100 431 444 426  33   7 2319   1   0   0  31   3   3   0   0  16   0   0 100
Paulo_Miranda 30 bra  1 20  1  1 30  68 313 451 457  28   5 2347   0   0   2  36   1   4   0   0   3   0   0 100
M_Oliveira    31 bra  1 20 11  7 30 100 200 546 612  27   6 2214   1   0   0  23  15  22   3   0   2   0   0 100
Léo_Moura     40 bra  1 19 11  7 30 100 746 633 572  32   7 2565   1   0   0  23  31  15   3   0   7   0   0 100
Bressan       25 bra  1 19  1  1 30 100 200 470 550  27   9 1967   0   0   0  19   2   4   2   0   2   0   0 100
Madson        26 bra  1 19 11  6 30 100  55 602 600  18   0 1669   0   0   0  10  15  11   3   2   0   0   0 100
Bruno_Cortês  31 bra  1 19 11  6 30 100   8 589 583  17   8 1110   3   0   0  14  17  11   3   1   3   0   0 100
Michel        28 bra  1 16 20  3 30 100 581 583 439  21   0 1996   0   0   0  12  53   6   0   8   5   0   0 100
Ramiro        25 bra  1 15 20 10 30 100 568 572 541  26   4 2132   0   0   0  10  51  25   1   5   6   0   0 100
Jailson       23 bra  1 17 20  2 30 100 580 213 470  23   0 2189   1   0   0  14  42   5   1   6   4   0   0 100
Arthur        22 bra  1 12 22 12 30 100 506 479 613  48   1 3017   2   0   0   4  69  35   2  10   6   0   0 100
Maicon        33 bra  1 10 20 10 30 100 548 266 622  26   6 2067   2   0   0   7  54  27   4   7   0   0   0 100
C_Carbonero   27 col  1  7 19 13 30 100  75 894 261  40  34 1639   0   0   0   1  39  24   2   2   4   0   0 100
Pablo_Fornals 22 esp  1  2 20 18 30 100 510 901 765  22   0 2026   3   0   0   3  34  44   8   2  13   0   0 100
V_Vázquez     31 esp  1  4 20 16 30 100 496 112  59  24   1 2218   4   0   0   2  42  68  14   4   2   0   0 100
Vinícius_Lima 22 bra  1  2 18 16 30 100 440 740 440   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
André_Silva   22 por  1  2  2 22 30 100 518 439  61  46   3 2845   4   0   0   3   0  98  18   0  10   0   0 100
Luan          25 bra  1  1 12 21 30 100 445 621 474  31   5 2545   4   0   0   0  18  79  17   2   5   0   0 100
Alisson       25 bra  1  1 17 20 30 100 433 613 429  27  12 1788   3   0   0   0  20  66  13   2   6   0   0 100
Everton       22 bra  1  1 17 20 30 100 406 558 359  34  26 1585   0   0   0   0  16  64  11   2   7   0   0 100
Jael          30 bra  1  1  1 19 30 100 440 440 842   1   1   33   0   0   0   0   0   2   0   0   0   0   0 100
