Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Rodolfo_Cota  31 mex 19  1  1  1 30 740 100 100 100  35   0 3237   1 180  71   0   0   0   0   0   2   0   0 100
Ant_Rodríguez 26 mex 18  1  1  1 30 324 100 100 100   5   2  363   0  11   6   0   0   0   0   0   0   0   0 100
M_Jiménez     28 mex 17  1  1  1 30 700 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Torres      22 mex 17  1  1  1 30 150 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Salcido     38 mex  1 19  1  1 30 100 658  65  58  27   2 1968   0   0   0  39   1   0   0   0   6   0   0 100
Jesús_Sánchez 29 mex  1 19 11  7 30 100 556 254 139  23   0 2068   1   0   0  28  18  12   1   2   2   0   0 100
Raúl_López    25 mex  1 19 10  5 30 100 517 638 569  24   3 2005   1   0   0  29  13   6   0   0   7   0   0 100
Edwin_Hdez    32 mex  1 19 11  7 30 100 470 233 240  22   0 1896   0   0   0  18  13  13   3   2   0   0   0 100
O_Alanís      29 mex  1 19  1  1 30 100 130 300 300   9   5  496   0   0   0   8   0   0   0   0   0   0   0 100
Jair_Pereira  32 mex  1 18  1  1 30 100 696  85  78  23   7 1696   0   0   0  18   1   0   0   0   1   0   0 100
H_Marín       25 mex  1 18  1  1 30 100  59  98  82  23   9 1613   1   0   0  27   3   1   0   0   4   0   0 100
M_Basulto     26 mex  1 17  1  1 30 100 888  95 103  22  11 1362   0   0   0  20   1   2   0   0   6   0   0 100
A_Cervantes   20 mex  1 15 17  2 30 100 307 898  89  22   4 1730   0   0   0  16  25   2   0   2   1   0   0 100
Michael_Pérez 25 mex  1 15 17  2 30 100 222 800  88  23   8 1696   0   0   0  10  14   2   0   1   4   0   0 100
Luis_Montes   31 mex  1  7 19 12 30 100 789 336 644  28   1 2085   0   0   0  12  33  23   2   5   3   0   0 100
O_Pineda      22 mex  1 10 18  9 30 100 189 989 121  27   3 2093   1   0   0   7  34  12   1   5   7   0   0 100
C_Orrantía    27 mex  1 10 18 10 30 100 226 623 173  25   5 1981   2   0   0   7  39  16   1   3   1   0   0 100
R_Pizarro     24 mex  1  4 19 15 30 100 185 440 303  18   0 1701   1   0   0   4  17  23   5   2   0   0   0 100
Carlos_Fierro 23 mex  1  2 19 17 30 100 542  18 722  18   5 1317   2   0   0   0  12  21   4   1   7   0   0 100
Javier_López  24 mex  1  2 18 16 30 100 116 493 176  15   4 1174   2   0   0   1  21  11   2   3   3   0   0 100
Gael_Sandoval 23 mex  1  1 17 16 30 100  88 446 134  10   7  510   1   0   0   0  14   8   1   3   1   0   0 100
Mich_Benítez  22 mex  1  2 17 15 30 100  90 324 174   5   2  308   0   0   0   0   2  10   2   1   0   0   0 100
Alan_Pulido   27 mex  1  1  1 19 30 100  73  73 877  23   0 2002   1   0   0   0   0  41   7   0   6   0   0 100
I_Brizuela    28 mex  1  1 16 19 30 100 101 150 347  26   2 1980   0   0   0   0   7  46   4   0   2   0   0 100
Á_Zaldívar    24 mex  1  1  1 18 30 100  87  87 949  26   7 1718   0   0   0   0   0  32   7   0   4   0   0 100
C_Cisneros    25 mex  1  1 15 18 30 100  71 106 426  23  13 1120   0   0   0   0   5  14   4   0   2   0   0 100
R_Cisneros    21 mex  1  1  1 18 30 100 105 105 272  13  10  574   0   0   0   0   0  13   3   0   0   0   0 100
