Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
S_Handanovic  33 svn 23  1  1  1 30 615 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_P_Carrizo   33 arg 19  1  1  1 30 176 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Andrei_Radu   20 rou 17  1  1  1 30 374 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Miranda       33 bra  1 22  1  1 30 100 414 944 974   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Ansaldi     31 arg  1 21 12  7 30 100 407 604 299   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Tonelli     28 ita  1 20  2  2 30 100 635  56 151   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Antonelli   31 ita  1 20 12  6 30 100 455 474 228   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Davide_Santon 27 ita  1 20 12  6 30 100 455 284  99   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Andreolli   31 ita  1 19  1  2 30 100 969 892  11   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_D'Ambrosio  29 ita  1 19 10  6 30 100 820 139  27   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Sainsbury   26 aus  1 19  1  1 30 100 760 917 946   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Eloge_Yao     22 civ  1 18  1  1 30 100 518 902 998   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gary_Medel    30 chi  1 19 21  1 30 100 663 571 963   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Bakayoko    23 fra  1 17 21  2 30 100 327 144 963   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Éver_Banega   29 arg  1  6 22 15 30 100 251 253 530   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Brozovic    25 cro  1 13 21  8 30 100 402 608 206   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Gagliardini 23 ita  1 14 20  6 30 100 163 369 108   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Juan_Mata     29 esp  1  2 22 20 30 100  77 213   6   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Candreva    31 ita  1  2 20 19 30 100  39 907 935   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Brahim_Díaz   19 esp  1  2 18 16 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_El_Shaarawy 25 ita  1  1 19 21 30 100 877 406 908   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gabriel_B     21 bra  1  2 17 21 30 100  18  83 180   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Lapadula    28 ita  1  2  2 20 30 100 153  65   1   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Simeone     21 arg  1  2 13 19 30 100 251 260 856   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Pinamonti   18 ita  1  1  1 17 30 100 960 887 700   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
