Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
R_Zapata      40 col 19  1  1  1 30 713 100 100 100  24   0 2219   1 114  34   0   0   0   0   0   2   0   0 100
L_Castellanos 34 col 18  1  1  1 30 930 100 100 100   7   1  629   0  24  13   0   0   0   0   0   1   0   0 100
Y_Mosquera    22 col 17  1  1  1 30 150 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Miguel_Solís  35 col 17  1  1  1 30 150 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Balanta     28 col  1 19 11  7 30 100 444 171 146  19   1 1312   0   0   0  19  11   5   1   0   3   0   0  90
W_Tesillo     28 col  1 19  1  1 30 100 285  92  90  16   0 1215   0   0   0   8   1   1   0   0   5   0   0  84
Javier_López  30 col  1 19  1  1 30 100  86  76  87  17   0 1427   0   0   0  29   0   2   0   0   7   0   0  82
V_Giraldo     33 col  1 18 11  6 30 100 893 180  72  17   1 1447   0   0   0  17  14   4   0   1   7   0   0  73
Héctor_Urrego 26 col  1 18  1  1 30 100 338  77  70  15   2 1212   0   0   0  18   1   0   0   0  10   1   0 100
Carlos_Henao  30 col  1 18  1  1 30 100 284  72 104  17   6 1221   0   0   0  16   2   1   1   0  11   0   0  72
C_Arboleda    32 col  1 18 11  6 30 100 265 198  94  16   3 1243   0   0   0  12   9   3   0   2   1   0   0  88
J_D_Valencia  32 col  1 18 11  6 30 100 226 164 119  19   7 1361   1   0   0  10  14   5   1   0   2   0   0  80
Nicolás_Gil   21 col  1 17  1  1 30 100 200  78  78  14   9  723   0   0   0   6   0   0   0   0   6   0   0  73
José_Moya     26 col  1 17  1  1 30 100 174  88  90   9   7  442   0   0   0   3   0   2   0   0   1   0   0  88
B_Perlaza     26 col  1 16 18  2 30 100 205 493  99  17   1 1542   0   0   0   9  31   3   0   2   1   0   0  70
Y_Gordillo    26 col  1 15 18  3 30 100 196 352 109  20  10 1237   1   0   0   7  21   3   0   3   1   0   0  86
D_Mosquera    20 col  1 10 17 10 30 100 116 334  86  18   0 1242   0   0   0   2  18   4   0   4   1   0   0  86
Seba_Salazar  23 col  1 10 17  7 30 100 134 274 119  16   2 1268   1   0   0   4  18  10   1   2  11   0   0  74
Valdelamar    21 col  1 10 17 10 30 100 132 176 142  17   4 1186   1   0   0   4  10   6   2   0   7   0   0 100
J_D_Roa       27 col  1  4 19 15 30 100 115 345 140  14   0 1327   0   0   0   1  15  18   0   0   0   0   0 100
K_Salazar     22 col  1  3 18 15 30 100 168 299 242  12   0 1118   1   0   0   3  20  19   3   1   5   0   0 100
Jona_Herrera  22 col  1  3 17 14 30 100 141 187 107   5   1  430   0   0   0   2   4   6   0   1   3   0   0 100
Almir_Soto    24 col  1  2 17 15 30 100 127 178 174   6   0  522   0   0   0   1   4   4   2   0   0   0   0 100
K_Iheanacho   21 nga  1  2  2 20 30 100  82 154 132  16   0 1481   0   0   0   2   0  11   0   0   2   0   0  82
Wilson_Morelo 31 col  1  1  1 19 30 100  78  78 360  18   2 1390   0   0   0   0   0  19   3   0   1   0   0  88
J_Agudelo     26 col  1  1  1 19 30 100  83  90 307  20   3 1382   1   0   0   0   1  18   5   0   1   0   0  68
A_Rentería    25 col  1  1 16 19 30 100  95 151 159  21  10 1209   0   0   0   0   5  10   0   1   0   0   0  88
Brayan_Fdez   26 col  1  1  1 18 30 100 100 100 642  11   6  544   0   0   0   0   0  10   1   0   0   0   0  94
R_Bentancourt 25 uru  1  1  1 18 30 100 100 107 339   7   5  299   0   0   0   0   1   3   1   0   0   0   0 100
Arm_Vargas    30 col  1  1 15 18 30 100 105 112 195   2   1  145   0   0   0   0   1   4   1   0   0   0   0 100
J_Fredy_Pajoy 30 col  1  1 16 18 30 100 100 107 150   2   0  140   0   0   0   0   1   0   0   0   0   0   0 100
Á_Plata       28 col  1  1 10 18 30 100 100 100 150   1   1   50   0   0   0   0   0   0   0   0   0   0   0 100
