Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Buffon      40 ita 22  1  1  1 30 972 100 100 100  14   0 1258   0  67  28   0   0   0   0   0   6   0   0 100
Neto          28 bra 20  1  1  1 30 613 100 100 100   2   1  161   0   6   8   0   0   0   0   0   0   0   0 100
Mats_Hummels  29 ger  1 23  2  2 30  79 372 272 181  12   0  835   0   0   0  12   1   0   0   0   0   0   0  44
G_Chiellini   33 ita  1 22  2  2 30 110 903 255 294  10   1  797   0   0   0  12   2   1   0   1   1   0   0  49
A_Barzagli    36 ita  1 21  2  2 30 100 599 275 355   9   0  856   1   0   0  13   2   2   0   1   1   0   0  64
Iván_Marcano  30 esp  1 21  2  2 30 100 438 156 278   9   0  829   0   0   0  14   3   4   0   0   5   0   0  64
D_Rugani      23 ita  1 21  2  2 30 100 409 274 218  12   4  908   1   0   0  12   3   0   0   1   1   0   0  40
E_Garay       31 arg  1 21  1  1 30 100 237 688 596  10   3  752   0   0   0   4   0   1   0   0   1   0   0  68
V_Lindelöf    23 swe  1 21  2  2 30 100 218 214 236   8   4  504   0   0   0   3   0   2   1   0   5   0   0 100
Sami_Khedira  30 ger  1 19 22  2 30 100 989 781 254  10   1  888   0   0   0   7  18   2   0   2   1   0   0  56
Luiz_Gustavo  30 bra  1 19 21  2 30 100 767 358 710  10   6  532   0   0   0   7  14   2   1   3   2   0   0 100
M_Llorente    23 esp  1 17 20  3 30 100 494 667 417   4   0  377   0   0   0   0  10   0   0   2   0   0   0 100
C_Marchisio   32 ita  1 14 23  8 30 100 554  45 598  10   0  738   0   0   0   3  17   3   0   1   0   0   0  78
Cesc_Fàbregas 30 esp  1  8 22 13 30 100 616 328 297  10   0  890   1   0   0   1  22  16   5   0   1   0   0  40
Adrien_Rabiot 22 fra  1 13 22  8 30 100 554 180 577   9   2  692   1   0   0   6   9   3   0   2   0   0   0 100
Pizzi         28 por  1  7 21 14 30 100 107 462 430   7   2  528   0   0   0   1   8   4   0   2   1   0   0 100
David_Silva   32 esp  1  2 23 21 30 100 164 253 361   8   0  761   0   0   0   0  16  12   1   0   1   0   0  76
A_Schürrle    27 ger  1  2 21 20 30 100 276 483 284   7   0  662   1   0   0   0  12  20   6   1   0   0   0  88
G_Martins     22 por  1  2 20 19 30 100 128 988 751   7   2  542   0   0   0   0   6  13   0   0   1   0   0 100
Amine_Harit   21 mar  1  3 20 17 30 100 226 435 224   3   1  224   0   0   0   1   5   8   0   0   0   0   0 100
Arjen_Robben  34 ned  1  2 20 24 30 100 295 621 417  10   0  745   1   0   0   0   7  46   9   1   7   0   0  64
Álvaro_Morata 25 esp  1  2  2 22 30 100 139 224 451  10   3  693   1   0   0   0   1  28   7   0   0   0   0  92
K_Coman       21 fra  1  1 18 21 30 100 967 305 950   7   3  350   0   0   0   0   1  18   1   0   0   0   0 100
