Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
David_Bingham 29 usa 17  1  1  1 30 700 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Sylvestre   26 hai 17  1  1  1 30 250 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_vom_Steeg   21 usa 17  1  1  1 30 150 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Michaël_Ciani 34 fra  1 19  1  1 30 100 600 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ashley_Cole   38 eng  1 19 11  7 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dave_Romney   25 usa  1 18  1  1 30 100 500 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Skjelvik    27 nor  1 18  1  1 30 100 500 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Daniel_Steres 28 usa  1 18  1  1 30 100 500 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Feltscher   28 ven  1 17 10  6 30 100 800 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Hugo_Arellano 20 usa  1 17  1  1 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tomas_H-Arce  23 usa  1 17  1  1 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Klimenta    27 mne  1 17  1  1 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Perry_Kitchen 26 usa  1 15 18  3 30 100 100 500 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
João_Pedro    25 por  1 11 19 11 30 100 100 700 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Lletget     26 usa  1 10 18 11 30 100 100 900 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Husidic     31 bih  1 12 18 10 30 100 100 500 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Se_Carrasco   30 usa  1  7 17  8 30 100 100 800 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marco_Fabián  29 mex  1  1 20 17 30 100 300 100 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Boateng     24 gha  1  2 17 15 30 100 100 250 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Samuel_Eto'o  36 cmr  1  1  1 21 30 100 100 100 500   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Raúl_Jiménez  27 mex  1  1  7 19 30 100 100 500 800   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alessandrini  29 fra  1  1 18 19 30 100 100 100 700   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ola_Kamara    29 nor  1  1  1 19 30 100 100 100 150   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Chris_Pontius 31 usa  1  1 16 18 30 100 100 100 500   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Lassiter    24 usa  1  1 15 17 30 100 100 100 250   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Jamieson_IV 22 usa  1  1  1 17 30 100 100 100 150   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
