Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
K_Schmeichel  30 den 21  1  1  1 30 568 100 100 100  52   0 4940   0 231 103   0   0   0   0   0   0   0   0 100
R-R_Zieler    28 ger 19  1  1  1 30 764 100 100 100   1   0   94   0   7   4   0   0   0   0   0   0   0   0 100
Ben_Hamer     29 eng 17  1  1  1 30 161 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mau_Lemos     21 uru  1 20  2  1 30 100 674 114 992  35   5 2790   0   0   0  39   5   5   0   0   5   0   0 100
Patrice_Evra  35 fra  1 20 10  5 30 100 548 763 626  30   3 2431   0   0   0  27  16   7   1   1   8   0   0  93
Danilo        25 bra  1 20 12  6 30 100 371 534 207  26   0 2375   0   0   0  31  22   6   0   2   3   0   0  93
Fede_Ricca    22 uru  1 19 12  6 30 100 988 429 387  29   2 2642   3   0   0  43  22  17   3   1   3   0   0 100
Robert_Huth   32 ger  1 19  1  1 30 100 968 481 474  28   3 2384   0   0   0  30   4   2   0   0   9   0   0  93
M_Debuchy     31 fra  1 19 11  5 30 100 835 778 548  23   5 1776   0   0   0  27  17  10   0   1   2   0   0  93
C_Fuchs       30 aut  1 19  9  5 30 100 785 813 591  19   3 1556   1   0   0  29  14   6   1   1   6   0   0 100
Wes_Morgan    33 jam  1 19  1  1 30 100 586 503 488  15   3 1059   0   0   0   7   1   2   0   0   2   0   0 100
Danny_Simpson 30 eng  1 19  7  4 30 100 244 629 506   6   4  341   0   0   0   7   1   0   0   0   0   0   0 100
Illarramendi  27 esp  1 18 20  1 30 100  75 350 746  25   4 2078   0   0   0  16  39   3   0   2   7   0   0  93
M_Llorente    22 esp  1 17 20  3 30 100 322 168 269  26   0 2171   0   0   0   9  45   8   1   3   8   0   0  93
N_Mendy       24 fra  1 17 19  1 30 100 882 760 497  15   3 1189   0   0   0   6  18   0   0   2   0   0   0 100
Jean_M_Seri   25 civ  1 15 21  6 30 100 366 159 127  40   7 3056   3   0   0  12  61   8   2   6   1   0   0 100
Fabian_Delph  27 eng  1 11 20  9 30 100  81   5 170  25   3 2063   0   0   0   5  29  12   1   1   2   0   0 100
Andy_King     28 wal  1 10 18  7 30 100 617 337 570   3   0  285   0   0   0   3   4   0   0   1   1   0   0 100
Franck_Ribéry 33 fra  1  1 21 20 30 100 494 372 103  34  13 2140   0   0   0   0  31  41   4   0   2   0   0  93
Riyah_Mahrez  26 alg  1  1 21 17 30 100 479  11 967  32   3 2791   3   0   0   1  41  43   5   2   4   0   0 100
Óliver_Torres 22 esp  1  2 20 17 30 100  71 695 705  20   4 1494   1   0   0   0  21  26   4   4   8   0   0  93
M_Albrighton  27 eng  1  1 19 17 30 100 508 165 577   2   1  118   0   0   0   0   1   2   1   0   0   0   0 100
Islam_Slimani 28 alg  1  1  1 20 30 100 546 476 931  40   8 2852   2   0   0   3   1  67  16   0  13   0   0 100
Lucas_Pérez   28 esp  1  1  1 20 30 100 484 463 560  31   7 2223   1   0   0   1   1  62   7   0   1   0   0  93
I_Williams    22 esp  1  1 18 20 30 100 544 742 382  27   6 1862   0   0   0   2  12  41   7   2   1   0   0 100
Jamie_Vardy   30 eng  1  1  1 20 30 100 444 420 213  22  10 1332   0   0   0   0   0  31   3   0   3   0   0  93
