Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Joe_Hart      30 eng 22  1  1  1 30 282 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Ruffier     31 fra 21  1  1  1 30 935 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Muslera     31 uru 21  1  1  1 30 905 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Mandanda    33 fra 21  1  1  1 30 673 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Yann_Sommer   29 sui 21  1  1  1 30 640 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
O_Karnezis    33 gre 21  1  1  1 30 415 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Benoît_Costil 30 fra 21  1  1  1 30 350 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Viviano     32 ita 21  1  1  1 30 260 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Antonio_Adán  30 esp 21  1  1  1 30 180 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Sportiello  25 ita 21  1  1  1 30 180 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Ochoa       32 mex 21  1  1  1 30 178 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Fabianski   32 pol 21  1  1  1 30  28 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marvwin_Hitz  30 sui 20  1  1  1 30 980 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Adrián        31 esp 20  1  1  1 30 920 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
W_Hennessey   31 wal 20  1  1  1 30 775 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Babacan     30 tur 20  1  1  1 30 746 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alexander_D   31 ecu 20  1  1  1 30 701 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tom_Heaton    31 eng 20  1  1  1 30 640 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Carlos_Kameni 34 cmr 20  1  1  1 30 635 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pepe_Reina    35 esp 20  1  1  1 30 633 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
