Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
David_de_Gea  27 esp 24  1  1  1 30 833 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Mignolet    30 bel 20  1  1  1 30 369 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Clyne       26 eng  1 22 13  7 30 100 392 246 678   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dejan_Lovren  28 cro  1 22  2  2 30 100 227 390 396   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Valencia    32 ecu  1 22 12  7 30 155 104 994 730   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Raúl_Albiol   32 esp  1 21  2  2 30 100 753 159 310   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mamadou_Sakho 28 fra  1 21  2  2 30 100 537 965 902   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Glen_Johnson  33 eng  1 20 13  5 30 100 605 147 990   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joe_Gomez     20 eng  1 20  2  2 30 100 407 382 341   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lucas_Leiva   31 bra  1 19 21  2 30 100 835 641 302   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ivan_Rakitic  30 cro  1  9 23 14 30 100 715 872 449   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Marchisio   32 ita  1 14 23  8 30 128 984 669 935   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Henderson   27 eng  1 15 23  7 30 100  85  82 735   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
James_Milner  32 eng  1  7 21 14 30 100 397 942 894   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marko_Grujic  21 srb  1  9 19 10 30 100 288 654 449   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Oscar         26 bra  1  2 22 19 30 100 479 661 805   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Adam_Lallana  29 eng  1  2 22 20 30 100 372 477 555   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sheyi_Ojo     20 eng  1  2 18 15 30 100 208 517 534   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Harry_Kane    24 eng  1  2  2 24 30 100 596 457 211   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Álvaro_Morata 25 esp  1  2  2 23 30 100 439 518  98   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Sturridge   28 eng  1  2  2 22 30 100 106 209 727   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Leo_Baptistão 25 bra  1  2  2 21 30 100 161 294 307   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Divock_Origi  22 bel  1  2 18 20 30 100 196 454 817   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
