Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Anthony_Lopes 26 por 21  1  1  1 30 153 100 100 100  45   0 4143   1 199  87   0   0   0   0   0   4   0   0 100
Luigi_Sepe    25 ita 18  1  1  1 30 960 100 100 100   2   2  135   0  14   0   0   0   0   0   0   0   0   0 100
M_Gorgelin    26 fra 17  1  1  1 30 539 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lucas_Mocio   22 fra 16  1  1  1 30 686 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Christensen 21 den  1 20  1  1 30 100 431 828 836  32   1 2817   0   0   0  37   2   5   1   1  11   0   0 100
Rafael_P      26 bra  1 19 11  5 30 100 820 420 254  24   0 2082   0   0   0  32  19  12   2   2  13   0   0 100
Jesús_Vallejo 20 esp  1 19  1  1 30 100 533  64 155  21   0 1913   0   0   0  25   0   3   1   0   3   0   0  88
Issa_Diop     20 fra  1 19  1  1 30 100 527 794 799  25   4 2135   0   0   0  28   1   3   0   0   4   0   0  88
C_Jallet      33 fra  1 19 11  5 30 100 257 274  70  21   0 1946   0   0   0  27  17   7   0   0   8   0   0  88
E_Mammana     21 arg  1 19  1  1 30 100 256 118 105  23   0 1961   1   0   0  31   2   3   0   0  10   0   0 100
Maciej_Rybus  27 pol  1 18  9  5 30 100 969 219 217  25   0 2371   0   0   0  32  12  15   2   0   3   0   0 100
M_Yanga-Mbiwa 27 fra  1 18  1  1 30 100 936  76  90   6   3  461   0   0   0   5   0   1   0   0   0   0   0 100
M_Diakhaby    20 fra  1 18  1  1 30 100 805 165 131  21   0 2001   0   0   0  24   2   2   1   1   1   0   0  88
Jérémy_Morel  32 fra  1 18 11  5 30 100 781 272 140   1   1   70   0   0   0   0   0   0   0   0   0   0   0 100
Jordy_Gaspar  19 fra  1 16 10  5 30 100 836 149 114   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Gonalons    28 fra  1 18 19  1 30 100 633 940 128  45  21 2250   1   0   0  25  44   2   1   4   4   0   0 100
Lucas_Tousart 19 fra  1 17 19  1 30 100 539 137  66  43  22 2053   2   0   0  18  42   1   0   3   5   0   0  96
M_Kranevitter 23 arg  1 14 19  4 30 100 289  95 198  21   0 2001   1   0   0  11  33   7   2   3   1   0   0  88
C_Tolisso     22 fra  1 14 20  5 30 100 453 730 163  26   0 2384   1   0   0  13  59   9   0  12   7   0   0 100
Houssem_Aouar 18 fra  1  6 17 10 30 100 266 670 362  42  21 2545   0   0   0   6  45  20   2   2   3   0   0  88
F_Anderson    23 bra  1  1 20 18 30 100 806 529 976  24   0 2255   0   0   0   0  39  28   3   4   2   0   0 100
M_Valbuena    32 fra  1  1 20 17 30 100  44   7 334  14  13  277   0   0   0   0  10  10   1   1   1   0   0 100
Nabil_Fekir   23 fra  1  1 19 17 30 100  62 948 640  34   6 2189   1   0   0   0  23  43   5   2   3   0   0 100
Bernard       24 bra  1  1 19 18 30 100 660 928 267  21   0 1670   0   0   0   0  16  39   6   3   5   0   1 100
A_Lacazette   25 fra  1  1  1 21 30 100  44  66 710  29   3 2498   2   0   0   0   0  66  16   0  11   0   0 100
Memphis_Depay 23 ned  1  1 17 20 30 100  78 406 665  30   5 2104   3   0   0   1  10  59  12   1   3   0   0 100
Lucas_Alario  23 arg  1  1  1 19 30 100 803 775 967  41  20 2432   3   0   0   1   0  63  10   0   5   0   0  88
R_Ghezzal     24 alg  1  1 16 19 30 100  78 215 122  21  20  615   2   0   0   0   6  15   3   2   6   0   0 100
Maxwel_Cornet 20 fra  1  1 17 19 30 100  57 164  51  21   0 1374   1   0   0   0   8  31   5   0   7   0   0  98
Gaëtan_Perrin 20 fra  1  1  1 16 30 100  80  80 947   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J-P_Mateta    19 fra  1  1  1 16 30 100 100 100 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
