Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Donnarumma  18 ita 22  1  1  1 30 867 100 100 100  32   0 2636   0  98  42   0   0   0   0   0   1   0   0 100
Pedro_Gallese 27 per 20  1  1  1 30 310 100 100 100  24   4 2162   0  87  44   0   0   0   0   0   2   0   0 100
A_Plizzari    17 ita 17  1  1  1 30 308 100 100 100  10   5  634   0  15  15   0   0   0   0   0   1   0   0 100
Thiago_Silva  32 bra  1 23  2  2 30 100 123 124  31  32   3 2806   0   0   0  41   2   7   0   0   5   0   0 100
L_Bonucci     29 ita  1 22  2  2 30 100 471  72  82  34   3 2957   0   0   0  37   2   7   0   0   8   0   0  96
Marquinhos    22 bra  1 21  2  2 30 100 847  64  65  29   4 2484   0   0   0  36   1   3   0   0   8   0   0  94
R_Rodríguez   24 sui  1 21 12  7 30 100 693 608 216  37   4 3024   1   0   0  39  33  25   3   3   2   0   0 100
Dani_Alves    33 bra  1 21 12  6 30 100 574 382 146  30   3 2448   1   0   0  28  22  15   1   0   7   0   0  94
A_Romagnoli   22 ita  1 21  2  2 30 100 394 159  33  26   2 2263   0   0   0  26   2   2   0   1   2   0   0  91
Atsuto_Uchida 29 jpn  1 20 11  6 30 100  62 497 125  27   1 2351   0   0   0  26  22  16   2   4  19   0   0 100
Yuto_Nagatomo 30 jpn  1 19 12  6 30 100 716 270 987  28   0 2643   2   0   0  30  28  15   2   4  10   0   0 100
D_Calabria    20 ita  1 18 10  5 30 100 656 182 112  16   5 1132   1   0   0   8  10   5   0   0   6   0   0  94
D_De_Rossi    33 ita  1 19 21  1 30 100 342 561 822  31   0 2976   2   0   0  20  83   3   0   6   5   0   0 100
M_Locatelli   19 ita  1 16 19  2 30 100  50 675 756  16   0 1506   0   0   0   7  25   2   0   1   3   0   0  94
B_Matuidi     29 fra  1 16 22  6 30 100 479 514 253  31   2 2680   2   0   0  12  55  24   4   5   7   0   0 100
G_Bonaventura 27 ita  1  7 22 14 30 100 177  37 654  29   1 2721   2   0   0   2  54  61   8   8   5   0   0 100
Andrea_Pirlo  38 ita  1 13 21  8 30 100 491 403 182  29   2 2591   2   0   0   7  53  27   3   3   1   0   0  94
Paulinho      28 bra  1 14 21  7 30 100 402  94 345  27   2 2325   1   0   0  10  56  15   2   6   8   0   0  94
Shinji_Kagawa 28 jpn  1  2 21 18 30 100 112 232 635  26   0 2462   3   0   0   1  44  51  11   5   5   0   0 100
Keisuke_Honda 30 jpn  1  2 20 17 30 100  43 532 672  27   0 2449   1   0   0   0  38  49   8   5  11   0   0 100
Z_Ibrahimovic 35 swe  1  1  2 23 30 100 992  79 298  31   4 2548   2   0   0   0   0  80  13   0  22   0   0 100
Suso          23 esp  1  2 18 21 30 100 106 523 408  26   0 2344   6   0   0   0  22  82  14   3   5   0   0 100
P_Guerrero    33 per  1  2  2 21 30 100 369 349 223  16   0 1520   1   0   0   1   1  38   6   0   4   0   0 100
M_Balotelli   26 ita  1  2  2 21 30 100  34  85 193  22   3 1559   0   0   0   0   0  59   6   0   7   0   0  94
A_Carrillo    25 per  1  2 18 20 30 100 175 348 388  26   0 2487   1   0   0   2  26  60   8   1   6   0   0  94
S_Okazaki     30 jpn  1  2  2 20 30 100 121 115  97  18   2 1578   4   0   0   0   0  46  12   0   0   0   0 100
P_Cutrone     19 ita  1  2  2 17 30 100  88  28 996  13   7  666   0   0   0   0   0  19   2   0  10   0   2 100
