Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Sergio_Rico   24 esp 22  1  1  1 30 849 100 100 100  33   0 3121   0 162  54   0   0   0   0   0   0   0   0 100
David_Ospina  29 col 21  1  1  1 30 200 100 100 100  11   0 1003   0  46  22   0   0   0   0   0   0   0   0 100
Rafael        27 bra 19  1  1  1 30 717 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Eric_Bailly   23 civ  1 22  2  2 30 100 874 427 457  34   1 2481   0   0   0  41   1   5   0   0   4   1   0 100
Alex_Sandro   27 bra  1 22 13  8 30 100 674 226 779  29   2 2318   0   0   0  44  20  12   1   4  11   0   0 100
Serge_Aurier  25 civ  1 22 13  8 30 100 282 136 899  27   2 2228   1   0   0  30  22  14   3   2   2   0   0 100
Niklas_Süle   22 ger  1 22  2  2 30 100 163 545 386  30   8 2291   0   0   0  35   2   3   0   0   3   3   0 100
D_Sánchez     21 col  1 22  2  2 30 100  41 342 450  30   6 2121   0   0   0  32   5   2   0   0   1   0   0 100
João_Cancelo  23 por  1 21 12  6 30 100 208 693  71  24   9 1803   0   0   0  18  26   8   1   2   2   0   0 100
Danilo        26 bra  1 20 12  6 30 100 925 934 470  25   5 1817   0   0   0  20  19   8   2   4  10   0   0 100
Dória         23 bra  1 20  2  2 30 111 714  70  91  24   5 1799   0   1   1  18   1   1   0   0  12   0   0 100
Nemanja_Matic 29 srb  1 20 23  2 30 100 201 211 519  28   2 2502   1   0   0  20  72   1   0   9   1   0   0 100
N'Golo_Kanté  27 fra  1 19 22  1 30 100 303 356 795  29   4 2282   0   0   0  12  42   6   0   0   2   0   0 100
A_Iniesta     33 esp  1  8 24 16 30 100 433 898 443  30   1 2482   1   0   0   2  53  29   3   7  10   0   1 100
Thiago        26 esp  1  8 23 15 30 100 628 777 207  31   5 2530   2   0   0   1  59  35   6   5   3   0   0 100
Eden_Hazard   27 bel  1  1 23 22 30 100 643 521  79  30   2 2432   1   0   0   1  49  46   8  11   2   0   0 100
J_Rodríguez   26 col  1  2 23 20 30 100 563 462 644  32   5 2391   5   0   0   2  46  38   9   6   8   0   0 100
Juan_Cuadrado 29 col  1  2 22 20 30 100 465  67 661  26   6 1964   2   0   0   1  33  34   6   0   9   0   0 100
JF_Quintero   25 col  1  1 20 18 30 100 436 780 655  24  10 1565   2   0   0   0  37  31   5   5   2   0   0 100
Neymar        26 bra  1  2 21 26 30 100 363 960 113  34   3 2469   6   0   0   2  20  87  19   0  18   0   0 100
Dries_Mertens 30 bel  1  2 20 24 30 100 534 931 709  29   2 2466   1   0   0   0  13  97  19   0   6   0   0 100
Falcao        32 col  1  2  2 22 30 100 510 378 627  32  12 1947   0   0   0   1   2  61   6   0   2   0   0 100
Mauro_Icardi  25 arg  1  1  1 22 30 100 975 997 101  35  22 1797   3   0   0   0   3  47  11   0   2   0   0 100
