Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
M_Andújar     35 arg 20  1  1  1 30 518 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Esteban_Conde 35 uru 18  1  1  1 30 166 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Caceres     31 uru  1 21 12  8 30 100 114 794 635   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gonzalo_Jara  33 chi  1 20 12  6 30 100 642 686 284   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_C_Paredes   31 ecu  1 20 11  7 30 100  66 165  87   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Espino      26 uru  1 19 11  6 30 100  47 310 165   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gino_Peruzzi  26 arg  1 18 11  6 30 100 996 293 163   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Erramuspe   28 arg  1 18  1  1 30 100 976  72  72   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alexis_Rolín  29 uru  1 18  1  1 30 100 739  81  84   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Agustín_Rogel 21 uru  1 17  1  1 30 100 627  85  83   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Arismendi   30 uru  1 16 19  3 30 100 354 641 144   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Oliva       22 uru  1 15 17  2 30 100 233 628  91   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Seba_Prediger 32 arg  1 12 20  7 30 100 795 494 432   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tata_González 34 uru  1 12 19 12 30 100 274 617 187   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Seb_Rodríguez 26 uru  1 11 19 10 30 100 229 119 146   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sant_Romero   28 uru  1 10 18 11 30 100 190 910 235   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tabaré_Viúdez 29 uru  1  2 19 17 30 100 193 558 365   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lea_Barcia    26 uru  1  3 18 15 30 100  98 375 235   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alex_Müller   22 uru  1  2 17 15 30 100 100 966 240   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Viruta_Vera   33 uru  1  2  2 21 30 100 557 564 283   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mudo_Vázquez  29 arg  1  1 17 21 30 100 588 916   6   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Seb_Fernández 33 uru  1  1 10 19 30 100  93 156 505   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Bergessio   34 arg  1  1  1 18 30 100  73  80 910   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_de_Pena     26 uru  1  1 17 18 30 100  78 120 314   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
