Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Manuel_Neuer  32 ger 25  1  1  1 30 319 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ederson       24 bra 22  1  1  1 30 798 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Scuffet     21 ita 19  1  1  1 30 850 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lichtsteiner  34 sui  1 22 12  8 30 100  38 693 301   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luke_Shaw     22 eng  1 21 12  7 30 100 664 708 245   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Iñigo_Mtnez   26 esp  1 21  1  1 30 100 388 822 796   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marcos_Alonso 27 esp  1 20 12  7 30 100 836 492 301   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Nastasic    25 srb  1 20  1  1 30 100 679 536 559   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Kimpembe    22 fra  1 20  2  2 30 100  87 168 175   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Andrea_Raggi  33 ita  1 19  1  1 30 146 858 928 914   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rúben_Dias    21 por  1 19  1  1 30 100 750 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
W_Carvalho    25 por  1 19 21  2 30 100 616 920  28   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Fernando      30 bra  1 18 20  2 30 100 428 703 218   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rúben_Neves   21 por  1 17 19  2 30 100  85 856 787   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
I_Gündogan    27 ger  1  9 22 13 30 100 268 959 501   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Aaron_Ramsey  27 wal  1  9 22 12 30 100 152 499 622   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Bentaleb    23 alg  1 12 20  6 30 100 771 316 801   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Paredes     23 arg  1  7 20 11 30 100 715 246 954   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Bazoer      21 ned  1 11 19  9 30 100 571 990 571   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Mkhitaryan  29 arm  1  2 22 21 30 100 164 440 103   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
O-Chamberlain 24 eng  1  1 20 18 30 100 966 991 596   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luis_Suárez   31 uru  1  2  2 24 30 100  41  41 868   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Milik       24 pol  1  2  1 21 30 100  89 990 338   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gabriel_Jesus 20 bra  1  1 12 21 30 100 992 239 229   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Iheanacho   21 nga  1  2  2 20 30 100  62 188 135   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
