Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Y_Cardinale   24 fra 21  1  1  1 30 651 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
W_Benítez     25 arg 18  1  1  1 30 808 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nélson_Semedo 24 por  1 21 12  6 30 100 221 521 227   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lucas_Digne   24 fra  1 21 12  6 30 100  55 569 446   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Pereira     24 por  1 20 12  6 30 100 937 295 980   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Loïc_Perrin   32 fra  1 20  2  1 30 100 878 136 999   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dalbert       24 bra  1 20 12  6 30 100 721 342   5   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Paul_Baysse   29 fra  1 20  2  2 30 100 384 190  51   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Kolasinac   24 bih  1 20  9  5 30 100 149 788 626   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Souquet     26 fra  1 19 12  6 30 100 655 411  12   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Burner      21 fra  1 18  9  4 30 100 124 147 907   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Kondogbia   25 fra  1 17 20  2 30 100 164  65 794   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Onyinye_Ndidi 21 nga  1 18 19  1 30 100  22 795 817   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alexis_Blin   21 fra  1 17 19  1 30 100 954 633 758   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jean_M_Seri   26 civ  1 15 21  6 30 100 416 413 178   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Koziello    22 fra  1 13 20  6 30 100 325 720 969   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lucas         25 bra  1  2 21 18 30 100  52 143 549   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Caligiuri   30 ita  1  1 19 16 30 100 506 577 598   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Lusamba     21 fra  1  2 19 17 30 100  78 136  32   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Lozano      22 mex  1  2 18 20 30 100 184 620 957   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jonas         34 bra  1  1  2 20 30 100 932  66 935   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Onyekuru    21 nga  1  2 18 19 30 100 571 571 990   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Guedes      21 por  1  1 18 19 30 100 920 261 951   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Chiesa      21 ita  1  1 17 19 30 100 100 100 750   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alexy_Bosetti 24 fra  1  2  2 18 30 100 110 110 422   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
