Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Arrizabalaga  23 esp 21  1  1  1 30 738 100 100 100  41   0 3841   0 179  75   0   0   0   0   0   7   0   0 100
Yohann_Pelé   35 fra 20  1  1  1 30  84 100 100 100   3   1  195   0   6   2   0   0   0   0   0   0   0   0 100
Brice_Samba   23 fra 18  1  1  1 30 350 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Hiroki_Sakai  27 jpn  1 21 12  6 30 100  31 862 402  33   1 2509   2   0   0  32  25  11   3   4   5   0   0 100
Rolando       32 por  1 20  2  2 30 100 816 187 184  27   0 2427   0   0   0  38   2   5   0   0  10   0   0 100
Jesús_Vallejo 21 esp  1 20  1  1 30 100 459 509 606  21   5 1677   0   0   0  26   0   2   0   0  10   0   0 100
C_Lenglet     22 fra  1 20  2  2 30 100 394 248 251  29   6 2429   1   0   0  31   1   5   0   1   1   0   0 100
Karim_Rekik   23 ned  1 19  2  2 30 100 999 245 228  25   3 2139   1   0   0  28   2   2   0   0   9   0   0 100
Ben_Chilwell  21 eng  1 19 11  6 30 100 668 491 207  21   4 1753   0   0   0  12  11  10   0   0   5   0   0 100
Pedro_Pereira 20 por  1 19 10  5 30 100 448 614 287  18   1 1542   0   0   0  22   9   5   0   1   1   0   0 100
C_C-Vickers   20 usa  1 19  2  2 30 100 233 287 233  15   4 1198   0   0   0  14   2   3   0   1   1   0   0 100
W_Vainqueur   29 fra  1 17 21  3 30 100 922 510 274  25   1 2193   0   0   0  16  51   8   1   4   1   0   0 100
A_Z_Anguissa  22 cmr  1 17 19  2 30 100 670 908 269  25   6 1959   2   0   0  15  38   1   1   4   2   0   0 100
R_Mandragora  20 ita  1 17 19  2 30 100 909 754 586  25   6 1845   0   0   0  13  27   5   1   1   2   0   0 100
Morgan_Sanson 23 fra  1 13 22  8 30 100 657 324 329  31   0 2435   1   0   0  11  38  10   1   0  19   0   0 100
Maxime_López  20 fra  1  9 20 11 30 100 512 680 540  28  10 1925   1   0   0   6  34  19   3   2   6   0   0 100
Marc_Roca     21 esp  1 14 20  8 30 100  71 327  46   2   0  149   0   0   0   2   1   1   0   0   0   0   0 100
Z_Machach     22 fra  1 11 19  8 30 100 294  38 243  10   0  808   0   0   0   3   8   2   0   3   6   0   0 100
Dimitri_Payet 31 fra  1  2 22 21 30 100 162 609  76  31   1 2478   3   0   0   0  39  42   7   5  14   0   0 100
J_Correa      23 arg  1  2 19 17 30 100 243 914 586  26   5 2145   1   0   0   0  26  37   5   3   1   0   0 100
S-E_Khaoui    22 tun  1  2 18 16 30 100 258 540 289   2   0  187   0   0   0   0   3   1   0   0   1   0   0 100
F_Thauvin     25 fra  1  2 19 22 30 100 280 510 350  30   3 2583   4   0   0   2  19  63  13   1   9   0   0 100
B_Gomis       32 fra  1  2  2 20 30 100 162 169 983  25   3 2009   0   0   0   0   1  26   4   0   8   0   0  99
Richarlison   21 bra  1  1 16 20 30 100 764 855 398  30   5 1956   1   0   0   0  10  45   6   1   3   0   0 100
Clinton_N'Jie 24 cmr  1  2 17 19 30 100 237 359 886  26  15 1520   1   0   0   0   5  34   6   0   1   0   0 100
A_L_Iseka     20 bel  1  2  2 18 30 100 221 227 683   5   1  408   0   0   0   0   0   5   1   0   0   0   0 100
