Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Rulli       25 arg 22  1  1  1 30 578 100 100 100  14   0 1287   0  63  27   0   0   0   0   0   2   3   0 100
Iker_Casillas 36 esp 19  1  1  1 30  73 100 100 100   1   1   41   0   0   1   0   0   0   0   0   1   0   0 100
José_Sá       25 por 18  1  1  1 30 830 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pepe          35 por  1 21  2  2 30 100 539  57  79   9   0  551   1   0   0  10   1   1   0   0   3   0   0 100
Sebas_Coates  27 uru  1 21  2  2 30 100 176 159  98   7   0  665   0   0   0  11   0   1   0   0   1   0   0  88
N_Maksimovic  26 srb  1 20  1  1 30 100 963 598 557   8   0  757   0   0   0   4   0   0   0   0   0   0   0  76
Felipe        28 bra  1 20  1  1 30 100 449 476 458   9   2  735   0   0   0   7   1   0   0   0   1   0   0  76
D_Zappacosta  25 ita  1 20 12  7 30 100 288 537 503   8   2  606   0   0   0   5   4   2   0   1   3   0   0  92
Alex_Telles   25 bra  1 20 11  5 30 100 255 972 772   8   2  635   0   0   0  10   2   5   0   0   0   0   0  88
Maxi_Pereira  33 uru  1 20 12  5 30 106 223 171 779   8   3  448   0   0   0   6   8   2   0   0   1   0   0  97
Rafinha       32 bra  1 19  9  5 30 100 843 868 645   6   1  561   0   0   0   9   3   1   0   1   0   0   0  76
N_Radoja      25 srb  1 18 20  3 30 100 597 646 422   7   0  665   1   0   0   9  21   0   0   2   2   0   0 100
Miguel_Veloso 31 por  1 17 20  2 30 100 130 540 590   9   2  715   0   0   0   7  13   0   0   1   2   0   0  94
Xabi_Alonso   36 esp  1 17 20  3 30 100 294 262 685   8   5  450   0   0   0   4  11   1   0   1   1   0   0  88
H_Herrera     27 mex  1  7 21 13 30 100 784  71  38  10   0  700   1   0   0   3  14   8   2   0   0   0   0  82
André_André   28 por  1  6 20 13 30 100 802 271 853   9   1  713   0   0   0   2  14   5   0   2   1   0   0  98
F_Melegoni    19 ita  1 10 18  8 30 100  99 879  82   9   3  617   0   0   0   1   7   2   0   0   0   0   0  76
Denis_Suárez  24 esp  1  1 21 18 30 100 799 231 348   7   0  667   0   0   0   1  10   8   0   2   1   0   0  88
Otávio        23 bra  1  1 19 18 30 100 654 818 142   7   2  540   0   0   0   1   4  13   1   0   0   0   0 100
E_Cavani      31 uru  1  2  2 22 30 100  69 135 584   9   1  725   0   0   0   0   0  20   3   0   1   0   0  94
M_Mandzukic   31 cro  1  1  1 21 30 100 582 592 609   9   2  691   0   0   0   0   0  17   1   0   0   0   0  94
Wayne_Rooney  32 eng  1  1 17 21 30 100 548 913 271  10   2  757   2   0   0   1   9  14   2   0   3   0   0  84
Y_Brahimi     28 alg  1  1 17 20 30 100 503 815 969   9   1  531   0   0   0   0   3  15   4   0   5   0   0  82
Paco_Alcácer  24 esp  1  1  1 20 30 100 516 544  64  10   7  483   0   0   0   0   1   7   2   0   0   0   0  82
