Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Kevin_Dawson  26 uru 18  1  1  1 30 250 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Freitas     21 uru 17  1  1  1 30 500 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Cardozo     22 uru 17  1  1  1 30 200 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Formiliano  25 uru  1 19  1  1 30 100 500 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ramón_Arias   26 uru  1 19  1  1 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Guille_Varela 25 uru  1 19 11  7 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luciano_Lollo 31 arg  1 18  1  1 30 100 800 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rodrigo_Rojo  29 uru  1 18 11  7 30 100 250 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luc_Hernández 26 uru  1 18 11  6 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Corujo      32 uru  1 18 11  6 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Miller      26 pan  1 18  1  1 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
W_Gargano     34 uru  1 18 19  1 30 100 100 600 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marcel_Novick 35 uru  1 15 18  3 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Pereira     27 uru  1 15 18  3 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Cristóforo  24 uru  1 13 20  7 30 100 664 262 679   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luis_Aguiar   33 uru  1 10 19 10 30 100 100 250 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Martínez    20 uru  1 11 17 11 30 100 100 800 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Rodríguez   37 arg  1  4 20 16 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ceb_Rodríguez 33 uru  1  1 19 18 30 100 100 700 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gio_González  24 uru  1  2 17 15 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Matías_Moya   20 arg  1  1 17 15 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lucas_Viatri  31 arg  1  1  1 19 30 100 100 100 650   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rodrigo_Mora  31 uru  1  1 13 19 30 100 100 100 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Fid_Martínez  28 ecu  1  1 16 19 30 100 100 100 500   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Palacios    28 uru  1  1  1 19 30 100 100 100 250   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Estoyanoff  36 uru  1  1 17 18 30 100 100 100 500   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Rodríguez   18 uru  1  1  1 17 30 100 100 100 150   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
