Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Kevin_Dawson  26 uru 18  1  1  1 30 706 100 100 100  34   0 3179   0 105  47   0   0   0   0   0   1   0   0 100
A_Freitas     21 uru 17  1  1  1 30 606 100 100 100   5   0  415   0  16   5   0   0   0   0   0   0   0   0 100
T_Cardozo     22 uru 17  1  1  1 30 186 100 100 100   2   2  115   0   4   3   0   0   0   0   0   0   0   0 100
F_Formiliano  25 uru  1 19  1  1 30 100 771  91  92  32   2 2098   0   0   0  27   0   1   0   0   2   0   0 100
Ramón_Arias   26 uru  1 19  1  1 30 100 479 120 104  26   0 2371   0   0   0  32   3   1   0   0   3   0   0 100
Guille_Varela 25 uru  1 19 11  7 30 100 443 273 149  27   0 2528   0   0   0  30  24  10   2   2   6   0   0 100
Luciano_Lollo 31 arg  1 19  1  1 30 100 146  92 130  30   5 2591   2   0   0  30   2   3   1   0   1   0   0 100
Rodrigo_Rojo  29 uru  1 18 11  7 30 100 444 241 160  25   4 2017   3   0   0  18  17   9   1   1   2   0   0 100
M_Corujo      32 uru  1 18 11  6 30 100 399 197 169  24  10 1691   0   0   0  22  12  14   1   1   4   0   0 100
R_Miller      26 pan  1 18  1  1 30 100 331  96 102  15   6 1093   1   0   0  15   0   2   0   0   2   0   0 100
Luc_Hernández 26 uru  1 18 11  6 30 100 241 128 104  10   2  828   0   0   0   8   5   3   0   0   1   0   0 100
W_Gargano     34 uru  1 18 20  1 30 100 366   1 143  25   4 2082   2   0   0  25  43   3   1   6   2   0   0 100
Marcel_Novick 35 uru  1 15 18  3 30 100 251 306 123  22   8 1511   0   0   0  13  24   3   1   1   3   0   0 100
G_Pereira     27 uru  1 15 18  3 30 100 184 204 101  11   7  574   0   0   0   6   5   1   0   1   0   0   0 100
S_Cristóforo  24 uru  1 13 20  7 30 100 845 627 732  35   2 2613   0   0   0  12  44   9   1   4   3   0   0 100
Luis_Aguiar   33 uru  1 10 19 10 30 100 107 590 174  21   0 1905   2   0   0   1  40  10   2   4   1   0   0 100
F_Martínez    20 uru  1 11 17 11 30 100 158 983 132  18   5 1327   1   0   0   5  25   9   1   2   6   0   0 100
M_Rodríguez   37 arg  1  4 20 16 30 100 119 388 370  21   0 1955   1   0   0   1  30  32   6   2   3   0   0 100
Ceb_Rodríguez 33 uru  1  1 19 18 30 100  76 856 304  18   1 1628   2   0   0   0  18  34   5   3   2   0   0 100
Matías_Moya   20 arg  1  1 17 15 30 100 100 205 148   4   0  381   1   0   0   0   5   5   1   1   0   0   0 100
Gio_González  24 uru  1  2 17 15 30 100  98 190 207   7   1  621   1   0   0   0   6  15   2   0   1   0   0 100
Lucas_Viatri  31 arg  1  1  1 20 30 100  84  91   4  28   5 2148   1   0   0   0   1  38  10   0   3   0   0 100
Rodrigo_Mora  31 uru  1  1 13 19 30 100 126 178 980  31   2 2538   1   0   0   1   8  42  10   1   6   0   0 100
C_Palacios    28 uru  1  1  1 19 30 100  73  73 354  27  10 1607   0   0   0   0   0  29   2   0   1   0   0 100
F_Estoyanoff  36 uru  1  1 17 18 30 100 105 210 634  20  12  995   1   0   0   0  15  13   4   0   0   0   0 100
B_Rodríguez   18 uru  1  1  1 17 30 100 100 100 150   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
