Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Kevin_Trapp   26 ger 22  1  1  1 30 118 100 100 100  21   0 1880   0 123  45   0   0   0   0   0   1   0   0 100
Asmir_Begovic 29 bih 21  1  1  1 30 141 100 100 100  34   2 3151   1 235 105   0   0   0   0   0   2   0   0 100
David_Luiz    29 bra  1 21  1  1 30 100 383 810 783  31   6 2429   0   0   0  40   1   4   0   0  10   0   1 100
G_Paletta     31 ita  1 20  2  1 30 100 927  33 894  23   1 2118   0   0   0  29   2   0   0   0   3   0   0  88
D_Criscito    30 ita  1 20 12  6 30 100 784 343 227  24   0 2245   0   0   0  40  26  14   1   1   6   0   0  88
L_López       27 arg  1 20  2  2 30 100 550 125  96  22   1 1952   0   0   0  32   1   1   0   0   8   0   0 100
Sime_Vrsaljko 25 cro  1 20 12  6 30 100 526 395 227  27   0 2558   0   0   0  36  29  14   1   1   4   0   0  88
Gustavo_Gómez 23 par  1 20  2  2 30 100 319 132 101  18   1 1529   0   0   0  28   5   4   0   0   1   0   0  88
C_Zapata      30 col  1 20  2  1 30 100 281  71 944  19   3 1574   0   0   0  31   2   2   0   0   5   0   0 100
Maxwell       35 bra  1 19 10  6 30 100 801 259 126   4   0  381   0   0   0   3   8   0   0   0   1   0   0 100
T_Vermaelen   31 bel  1 19  1  1 30 100 643 464 464   5   1  406   0   0   0   6   0   0   0   0   5   0   0 100
Rémi_Walter   21 fra  1 17 20  3 30 100 452 330  80  26   2 2310   0   0   0  25  68   8   2   3   8   0   0  88
R_Montolivo   32 ita  1 17 20  2 30 100 320 175 979   5   0  474   1   0   0  11  13   0   0   1   1   0   0 100
Santi_Cazorla 32 esp  1  7 22 15 30 100  37 513 506  24   0 2252   3   0   0   3  58  37   5   8   4   0   0  88
A_Florenzi    26 ita  1  5 21 15 30 100 974 474 232  23   0 2096   2   0   0   7  55  28   4   5   6   0   0  88
Axel_Witsel   28 bel  1 14 21  7 30 100 346 333 274  27   3 2365   1   0   0  11  65  23   2   6   4   0   0 100
Pizzi         27 por  1  6 21 14 30 100 927 186 260  22   0 2039   3   0   0   4  47  38   5   8   5   0   0  88
K_Asamoah     28 gha  1  8 20 13 30 100 256 658 322  14   0 1320   1   0   0   7  23  15   3   3   5   0   0 100
Mario_Pasalic 22 cro  1 12 20  8 30 100 430 160 122  19   1 1651   0   0   0  18  41   4   0   0   9   0   0 100
Jesse_Lingard 24 eng  1  1 20 18 30 100 955 363 668  18   0 1717   1   0   0   0  33  51   2   6   5   0   0 100
V_Eysseric    25 fra  1  2 20 18 30 100  92  68 252   4   1  334   0   0   0   0   4   5   1   0   0   0   0 100
Ganso         27 bra  1  1 19 17 30 100 469 925 826   3   0  284   0   0   0   0   3   4   0   1   0   0   0 100
J_Gallardo    22 mex  1  2 19 17 30 100  10 309 452  28  18 1333   0   0   0   1  25  31   3   3   2   0   0 100
O_Giroud      30 fra  1  1  1 21 30 100 839 985 723  18   0 1523   0   0   0   0   1  49  10   0  10   0   0  88
Mohamed_Salah 24 egy  1  1 19 21 30 100 765 105 498  23   0 2103   4   0   0   2   8  63  12   2  11   0   0  88
G_Deulofeu    23 esp  1  2 19 21 30 100  65 619 491  20   0 1879   3   0   0   0  26  60   8   1  14   0   0 100
H_Ben_Arfa    30 fra  1  2 19 21 30 100  22 255 239  19   1 1726   1   0   0   0   6  62   8   0   8   0   0 100
Edin_Dzeko    31 bih  1  1  1 20 30 100 494 461 757  25   1 2327   2   0   0   1   0  63  12   0   5   0   0 100
Alassane_Pléa 24 fra  1  2  2 20 30 100 102 102 659  14   1 1167   0   0   0   1   1  25   6   0   5   0   0 100
A_Zivkovic    20 srb  1  2 17 20 30 100   2 292 210  16   2 1239   2   0   0   0   9  36   9   1   0   0   0 100
