Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Jeroen_Zoet   27 ned 22  1  1  1 30 753 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Hidde_Jurjus  24 ned 18  1  1  1 30 898  90  90  90   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Remko_Pasveer 34 ned 18  1  1  1 30 575 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luuk_Koopmans 24 ned 18  1  1  1 30 355 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Medhi_Benatia 30 mar  1 21  1  1 30 100 565 782 795   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Meunier     26 bel  1 21 12  7 30 100 556 887 534   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Isimat-Mirin  26 fra  1 20  1  1 30 100 924 999 961   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Bensebaini  23 alg  1 20  2  2 30 100 644 753 709   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joshua_Brenet 24 ned  1 20 12  6 30 100 574 516 235   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Souquet     26 fra  1 20 12  6 30 100 266 868 363   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Schwaab     29 ger  1 20  1  1 30 100  11 961 923   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Menno_Koch    23 ned  1 19  2  1 30 100  40   2 993   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Alberto     21 ned  1 18  2  2 30 100 187  52  38   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Hendrix     23 ned  1 18 20  1 30 100 538 887 954   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Claudio_Gomes 18 fra  1 16 18  2 30 100 451 617 236   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Strootman   28 ned  1 13 21  7 30 100  96 727 778   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Davy_Pröpper  26 ned  1  9 21 11 30 100 550 341 466   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_van_Ginkel  25 ned  1  9 21 11 30 100 356  26 336   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Ramselaar   21 ned  1  1 20 18 30 100 936 992 878   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
O_Zinchenko   21 ukr  1  1 20 16 30 100 928 181 702   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Siem_de_Jong  29 ned  1  1 20 18 30 100 925  69 614   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R-P_Lundqvist 20 swe  1  1 18 15 30 100 938 273 208   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kenneth_Paal  20 ned  1  1 17 15 30 100 956 795  50   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Milik       24 pol  1  2  2 22 30 100 287 208 130   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luuk_de_Jong  27 ned  1  1  1 20 30 100 947 976 979   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Pereiro     22 uru  1  1 18 20 30 100 910 565 950   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Chiesa      21 ita  1  1 17 20 30 100 303 324 174   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Z_Bakkali     22 bel  1  1 16 20 30 100 762 956   1   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Bergwijn    20 ned  1  1 16 19 30 100 917 208 148   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sam_Lammers   20 ned  1  1  2 18 30 100 991  65 409   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
