Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
A_Saldívar    28 mex 19  1  1  1 30 173 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Magaña      25 mex 17  1  1  1 30 589 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
José_Castillo 23 mex 17  1  1  1 30 410 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Advíncula   28 per  1 21 12  7 30 100 123  32  61   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Arribas     29 esp  1 21  1  1 30 100  39 265 422   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Alcoba      33 uru  1 20  2  2 30 100 320 763 910   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luis_Fuentes  32 mex  1 19 11  7 30 100 682 464 533   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_van_Rankin  25 mex  1 19 11  6 30 100 392 400 506   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luis_Quintana 26 mex  1 18  1  1 30 100 317 265 433   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alan_Mozo     21 mex  1 18 10  6 30 100 259 486 547   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rodrigo_Glez  23 mex  1 18  1  1 30 100 239 260 409   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marcelo_Díaz  32 chi  1 19 21  1 30 100 471 421 413   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Y_Yotún       28 per  1 18 20  3 30 100  15 196 869   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
David_Cabrera 29 mex  1 16 19  3 30 100 472 922 476   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Escamilla   23 mex  1 16 17  1 30 100 429 959 401   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Raphinha      21 bra  1  2 20 18 30 100 752 762 174   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mauro_Formica 30 arg  1  2 19 17 30 100 240 886 635   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Gallardo    22 mex  1  1 19 15 30 100 251 520 585   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Figueroa    19 mex  1  1 17 15 30 100 436 436 727   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Castillo    25 chi  1  1  1 21 30 100 249 221 180   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pablo_Barrera 31 mex  1  1 17 20 30 100 256 456 236   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Érick_Torres  25 mex  1  1  1 19 30 100 250 307 898   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Alustiza    34 arg  1  1 10 19 30 100 229 374 683   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Bryan_Silva   19 mex  1  1  1 18 30 100 268 311 138   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alan_Acosta   22 mex  1  1 15 17 30 100 270 291 666   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
