Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Franco_Armani 32 arg 21  1  1  1 30 188 100 100 100  38   0 3541   0 137  51   0   0   0   0   0   4   0   0 100
E_Martínez    26 arg 19  1  1  1 30 432 100 100 100   7   2  616   0   9   4   0   0   0   0   0   0   0   0 100
J_D_Ramírez   21 col 17  1  1  1 30 490 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Maidana     33 arg  1 21  1  1 30 100 233 454 530  27   1 2483   0   0   0  22   3   3   2   0   1   0   0 100
L_Vangioni    30 arg  1 20 13  6 30 100 580 236 907  30   1 2755   1   0   0  34  35  15   0   2  14   0   0 100
Javier_Pinola 35 arg  1 20  1  1 30 100 354 442 428  22   2 1579   1   0   0  20   2   0   0   0   6   0   0 100
R_Funes_Mori  27 arg  1 20  1  1 30 100 274 711 769  29   2 2587   0   0   0  20   4   4   1   1   2   0   0 100
Mtnez_Quarta  22 arg  1 20  1  1 30 100  93 488 454  26   5 2009   0   0   0  22   1   5   0   1   5   0   0 100
M_Saracchi    20 uru  1 19 11  7 30 100 910 552 538  25   4 2066   2   0   0  23  16   8   2   0   0   0   0 100
Camilo_Mayada 27 uru  1 19 16 10 30 100 796 674 535  17   2 1387   2   0   0  20  25  11   2   3   2   0   0 100
G_Montiel     21 arg  1 19 11  6 30 100 281 641 515  17   2 1528   3   0   0  14  22  12   1   2   0   0   0 100
J_Mascherano  33 arg  1 20 23  2 30 100 178 284 576  28   2 2537   0   0   0  11  55   8   0   5   2   0   0 100
L_Ponzio      36 arg  1 18 21  2 30 100 632 230 496  30   0 2545   0   0   0  18  47   6   1   4   3   0   0 100
G_Rodríguez   24 arg  1 15 19  4 30 100 568 950 440  20   3 1684   1   0   0  10  28   4   0   7   1   0   0 100
Enzo_Pérez    31 arg  1 12 21 13 30 100 724 916 847  28   0 2580   0   0   0   7  57  33   5   7  15   0   1 100
Ariel_Rojas   32 arg  1 12 19 12 30 100 474 876 531  17   1 1426   0   0   0   3  31  16   2   2   6   0   0 100
E_Palacios    20 arg  1 11 19 12 30 100 500 226 631  20   0 1711   1   0   0   3  32  17   4   3   2   0   0 100
G_Ramirez     28 uru  1  2 22 20 30 100 338  80 593  29   1 2575   7   0   0   3  39  64  15   4  11   0   0 100
Pity_Martinez 25 arg  1  1 19 18 30 100 427 997 887  25  11 1908   1   0   0   0  10  56  12   0   4   0   0 100
Lucas_Ocampos 23 arg  1  2 17 21 30 100 355 637 302  29   3 2572   1   0   0   2  14  84  11   1   9   0   0 100
Lucas_Alario  24 arg  1  2  2 20 30 100 131 110 831  26   3 1775   1   0   0   0   1  40   6   0   1   0   0 100
Seba_Driussi  22 arg  1  1  1 20 30 100 633 640 376  25  12 1622   0   0   0   0   1  52   8   0   6   0   0 100
Martín_Ojeda  19 arg  1  1 15 18 30 100 423 458 731  13   1  771   0   0   0   0   5  28   5   0   1   0   0 100
Rollheiser    19 arg  1  1 10 18 30 100 440 447  41   1   0   95   0   0   0   0   1   0   0   0   0   0   0 100
