Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
W_Szczesny    27 pol 23  1  1  1 30  83 100 100 100  38   1 3501   0 190  50   0   0   0   0   0  12   0   0 100
Timo_Horn     24 ger 21  1  1  1 30 988 100 100 100  19   2 1476   0  98  29   0   0   0   0   0   2   0   0 100
Raúl_Gudiño   22 mex 18  1  1  1 30 767 100 100 100   2   0  189   0  20   4   0   0   0   0   0   0   0   0 100
K_Manolas     26 gre  1 21  1  1 30 127 995 935 871  30   1 2555   1   1   0  34   4   6   0   0   9   0   0 100
Héctor_Moreno 30 mex  1 21  2  2 30 100 759 386 397  29   2 2503   0   0   0  46   4   5   1   1   8   0   0 100
Sime_Vrsaljko 26 cro  1 21 13  6 30 100 485   1 698  33   3 3102   1   0   0  40  27  10   1   1   3   0   0 100
Bruno_Peres   28 bra  1 20 12  5 30 100 914 538  65  21   0 1827   2   0   0  27  18   7   0   3   1   0   0 100
Emerson       23 bra  1 20 12  6 30  95 879 722 357  26   1 2311   2   1   2  36  22  13   2   3   8   0   0 100
Mário_Rui     26 por  1 20 12  6 30 100 602 224  16  18   0 1486   0   0   0  23   9   7   0   0   9   0   0 100
Aleix_Vidal   28 esp  1 20 12  6 30 100 368 697 525  20   5 1682   0   0   0  27  10   2   0   1   3   0   0 100
A_Nura        20 nga  1 18  9  4 30 100 515 206 942  12   1 1088   0   0   0  10  10   1   0   0   1   0   0 100
J_Campuzano   22 col  1 15 18  3 30 100 542 609 472  15   0 1368   0   0   0   9  15   5   1   2   7   0   0 100
R_Nainggolan  29 bel  1 16 23  6 30 100 821 945 698  31   2 2831   1   0   0  20  63  17   3  10  10   0   0 100
Arturo_Vidal  30 chi  1 11 23 11 30 100 433 158 624  31   1 2534   1   0   0   8  37  27   3   4   0   0   0 100
A_Guardado    31 mex  1 12 21  9 30 100 942 864 543  28   3 2287   0   0   0  10  41  14   1   3   9   0   1 100
Wilfried_Zaha 25 civ  1  2 21 21 30 100 884 625 277  39   7 2708   2   0   0   0  39  56   7   2   5   0   0 100
Marko_Rog     22 cro  1  2 20 18 30 100 352 510 857  32  23 1369   0   0   0   0  32  13   1   2   2   0   0 100
Cengiz_Ünder  20 tur  1  2 20 19 30 100 964 412  65  34  25 1489   1   0   0   2  22  27   3   4   3   0   0 100
J_Manzaneda   24 per  1  2 20 18 30 100 602 397 477  29   2 1893   1   0   0   0  44  39   6   5   2   0   0 100
Ante_Coric    21 cro  1  2 20 19 30 100 935 272  47  26  18 1127   1   0   0   2  16  22   4   0   0   0   0 100
Mohamed_Salah 25 egy  1  2 19 22 30 100 172 773 416  39   4 2777   1   0   0   1  36  50  11   2   5   0   0 100
M_Balotelli   27 ita  1  2  2 22 30 100 485 482 222  29   4 2470   3   0   0   2   0  66  15   0   3   0   0 100
A_Belotti     24 ita  1  2  2 21 30 100 302 254 645  22   3 1758   2   0   0   1   1  45  13   0   3   0   0 100
Simone_Zaza   26 ita  1  1  1 20 30 100 904 913 828  14   1 1094   0   0   0   0   1  30   1   0   6   0   0 100
Patrik_Schick 22 cze  1  1  1 20 30 100 433 433 709  14   1 1182   0   0   0   0   0  24   3   0   6   0   0 100
