Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Ralf_Fährmann 28 ger 22  1  1  1 30 292 100 100 100  37   0 3429   0 157  53   0   0   0   0   0   5   0   0 100
Wellenreuther 21 ger 18  1  1  1 30 188 100 100 100  10   3  663   0  30  21   0   0   0   0   0   0   0   0 100
A_Nübel       20 ger 16  1  1  1 30 938 100 100 100   3   2  186   0   9   5   0   0   0   0   0   0   0   0 100
B_Höwedes     29 ger  1 20  1  1 30 100 972 607 591  35   2 2570   0   0   0  39   4   8   2   1   2   0   0 100
Jonas_Hector  26 ger  1 20 11  6 30 100 955 468 284  33   5 2725   1   0   0  44  26  10   1   2  10   0   0  95
A_Granqvist   31 swe  1 20  2  2 30 100 639 245 233  27   2 2243   0   0   0  32   4   2   1   1  10   0   0 100
A_Rüdiger     24 ger  1 20  1  1 30 100 484 808 782  25   4 2034   0   0   0  36   2   0   0   0  10   0   0  95
Coke          29 esp  1 20 11  6 30 100 388 854 626  27   4 2157   2   0   0  33  21  13   0   1  11   0   0 100
G_Paulista    26 bra  1 20  1  1 30 100  54 492 559  27   4 2218   2   0   0  25   0   5   1   0   5   0   0 100
S_Escudero    27 esp  1 19 11  5 30 100 800 802 714  24   5 1870   1   0   0  29  22  17   2   1   6   0   0  95
H_Badstuber   28 ger  1 19  1  1 30 100 668 518 502  23  13 1235   0   0   0  17   1   0   0   0   2   0   0 100
Fernandinho   31 bra  1 16 21  5 30 100 480 518 208  28   0 2646   2   0   0  24  59  10   1   6   2   0   0 100
Tomás_Rincón  29 ven  1 18 20  2 30 100 540 379 130  21   0 1991   1   0   0  21  45   1   0   7   1   0   0  95
S_M-Savic     22 srb  1  9 21 13 30 100 370 212 638  45   1 3523   2   0   0   8  71  36  10  11   6   0   0  92
Allan         26 bra  1 13 20  8 30 100 251 962 303  33   4 2607   1   0   0   9  54  21   4   5   8   0   0 100
Daniel_Wass   28 den  1  9 20 13 30 100 453 803 391  15   3 1112   0   0   0   6  19   9   1   1   6   0   0 100
Dani_Ceballos 20 esp  1  8 20 10 30 100 810 191 727  37  11 2286   0   0   0   8  52  16   3   6   4   0   0 100
S_Sturaro     24 ita  1 11 20  9 30 100 223  44 210  22   1 1745   0   0   0   7  40   9   2   2   1   0   0 100
Y_Konoplyanka 27 ukr  1  1 20 19 30 100 517 590  12  37   4 3219   6   0   0   1  69  68  12  14  18   0   3 100
Pablo_Sarabia 24 esp  1  1 19 17 30 100 440 693 979  25   5 2073   4   0   0   0  39  41  10   3  10   0   2  95
Gabriel_Jesus 19 bra  1  1 12 20 30 100 932 179 763  47  10 3230   1   0   0   1  15  91  19   0   5   0   0 100
Timo_Werner   21 ger  1  1  2 20 30 100 984 111 419  33  12 2096   2   0   0   0   0  60   8   0   2   0   0 100
Sandro        21 esp  1  1  1 19 30 100 901 894 834  28  12 1733   0   0   0   1   1  48   7   0   1   0   0  95
Mariano_Díaz  23 dom  1  2  2 19 30 100 248 236 651  25  11 1463   1   0   0   1   2  34   7   0   2   0   0 100
Marko_Pjaca   21 cro  1  1 16 19 30 100 786 883 504  11   7  543   0   0   0   0   3  14   2   0   0   0   0 100
